
[00:00:00.000 --> 00:00:03.660]  我們首先看看這個啟述第一章的第九節
[00:00:03.660 --> 00:00:05.360]  這個啟述第一章的第九節
[00:00:05.360 --> 00:00:07.140]  我們有經文
[00:00:07.140 --> 00:00:09.200]  首先他說
[00:00:09.200 --> 00:00:13.640]  我約翰就是你們的弟兄
[00:00:13.640 --> 00:00:19.280]  在耶穌女和你們一同在患難國度忍耐
[00:00:19.280 --> 00:00:22.080]  這三個名稱是一起的
[00:00:22.080 --> 00:00:23.480]  是一組的東西
[00:00:23.480 --> 00:00:27.900]  如果不要介意牧師有時候會有些英文講文法
[00:00:27.900 --> 00:00:30.000]  在英文文法來說
[00:00:30.000 --> 00:00:32.100]  它只有一個definite article
[00:00:32.100 --> 00:00:32.860]  the
[00:00:32.860 --> 00:00:34.800]  但是包括了三樣東西
[00:00:34.800 --> 00:00:36.100]  所以是希臘文
[00:00:36.100 --> 00:00:37.260]  其實它是希臘文的
[00:00:37.260 --> 00:00:38.560]  不過如果用英文講
[00:00:38.560 --> 00:00:40.340]  它只有一個article
[00:00:40.340 --> 00:00:41.800]  一個definite article
[00:00:41.800 --> 00:00:42.600]  是the
[00:00:42.600 --> 00:00:43.600]  teach you the
[00:00:43.600 --> 00:00:44.800]  這個teach you the
[00:00:44.800 --> 00:00:46.600]  它就包括了這三件東西
[00:00:46.600 --> 00:00:48.400]  所以這三個是一個
[00:00:48.400 --> 00:00:49.960]  好像是整體的
[00:00:49.960 --> 00:00:51.100]  你就不可以只講一樣
[00:00:51.100 --> 00:00:51.500]  三個東西
[00:00:51.500 --> 00:00:51.760]  好了
[00:00:51.760 --> 00:00:52.760]  我們先看下去
[00:00:52.760 --> 00:00:54.060]  他說我約翰
[00:00:54.060 --> 00:00:56.360]  那約翰就表達自己是哪一個
[00:00:56.360 --> 00:01:00.100]  我約翰就是你們的弟兄
[00:01:00.100 --> 00:01:06.300]  在耶穌基督女和你們一同在患難國度忍耐裡有份的
[00:01:06.300 --> 00:01:10.100]  我是你的弟兄
[00:01:10.100 --> 00:01:11.660]  有份的
