
[00:00:00.000 --> 00:00:02.000]  我們領受神的位置之外
[00:00:02.000 --> 00:00:03.000]  先低頭去祈禱
[00:00:03.000 --> 00:00:07.320]  請請求您親自的彌大人去幫助我們
[00:00:07.320 --> 00:00:10.880]  讓我們能夠看到神給我們很大的恩典和祝福
[00:00:10.880 --> 00:00:12.880]  讓我們不是徒然領受恩惠
[00:00:12.880 --> 00:00:14.480]  讓我們能夠有信心
[00:00:14.480 --> 00:00:15.880]  帶領日日的時間
[00:00:15.880 --> 00:00:17.480]  公華子所說的信息
[00:00:17.480 --> 00:00:18.840]  成為我們的提醒
[00:00:18.840 --> 00:00:20.600]  祈禱拉動主德聖的命
[00:00:20.600 --> 00:00:21.320]  Amen
[00:00:21.320 --> 00:00:25.240]  以你也去給神彌大人去呼召
[00:00:25.240 --> 00:00:27.000]  去到阿蝦王面前
[00:00:27.000 --> 00:00:27.800]  來宣告
[00:00:27.800 --> 00:00:30.800]  如果我不祈禱就不會有雨下來了
[00:00:30.800 --> 00:00:32.160]  為什麼呢?
[00:00:32.160 --> 00:00:37.160]  原來當時阿蝦王娶了一個外邦的女子
[00:00:37.160 --> 00:00:38.840]  夜洗別為妻
[00:00:38.840 --> 00:00:41.680]  於是他順從自己妻子
[00:00:41.680 --> 00:00:44.520]  引入了偶像的敬拜
[00:00:44.520 --> 00:00:49.720]  由政府推行來敬拜巴力和亞瑟拉
[00:00:49.720 --> 00:00:51.280]  這兩個的假神
[00:00:51.280 --> 00:00:55.880]  在自己的首都裡面來建立這些神廟
[00:00:56.720 --> 00:00:58.160]  而拜這些神
[00:00:58.160 --> 00:01:01.560]  他們相信巴力會赤下雨水
[00:01:01.560 --> 00:01:05.160]  會風雨雷電都由他掌管
[00:01:05.160 --> 00:01:07.520]  當時是一個農作業的社會
[00:01:07.520 --> 00:01:09.520]  所以雨水對他們來說是很重要
[00:01:09.520 --> 00:01:11.720]  而更加可悲的是
[00:01:11.720 --> 00:01:13.120]  拜這個神的時候
[00:01:13.120 --> 00:01:15.920]  他們拜完之後就在高崗山上
[00:01:15.920 --> 00:01:18.440]  男女雜交
[00:01:18.440 --> 00:01:21.720]  他們認為這樣就能夠討神的喜悅
[00:01:21.720 --> 00:01:24.120]  因為巴力有他的妹妹
[00:01:24.120 --> 00:01:25.160]  大家亂倫的
[00:01:25.160 --> 00:01:26.240]  就是亞瑟拉
[00:01:26.480 --> 00:01:28.040]  也是他的妻子
[00:01:28.040 --> 00:01:29.960]  他們認為這個神話裡面
[00:01:29.960 --> 00:01:31.600]  當他們發生關係的時候
[00:01:31.600 --> 00:01:33.200]  就會天降雨露
[00:01:33.200 --> 00:01:35.440]  所以為了要討神的喜悅
[00:01:35.440 --> 00:01:36.960]  他們就會做這樣的事情
[00:01:36.960 --> 00:01:38.480]  所以拜這個假神
[00:01:38.480 --> 00:01:41.200]  不單單令他們偏離了正統的信仰
[00:01:41.200 --> 00:01:45.400]  更加是破壞了他們家庭裡面的制度
[00:01:45.400 --> 00:01:48.800]  夫婦之間的關係會產生很大的問題
[00:01:48.800 --> 00:01:50.880]  甚至他們的下一代
[00:01:50.880 --> 00:01:52.400]  都不知道是誰生的
[00:01:52.400 --> 00:01:54.480]  所以其實是很嚴重
[00:01:54.480 --> 00:01:58.080]  所以神就要叫以利亞針對他們所相信的神
[00:01:58.080 --> 00:02:01.280]  我們不祈禱三年就不會有雨落
[00:02:01.280 --> 00:02:03.240]  總之不祈禱雨就不會落下來
[00:02:03.240 --> 00:02:06.280]  你如果相信這個神是賜雨水的
[00:02:06.280 --> 00:02:08.520]  但是你就會知道這個神是假的
[00:02:08.520 --> 00:02:09.800]  好了
[00:02:09.800 --> 00:02:11.600]  經過三年多的時間
[00:02:11.600 --> 00:02:15.360]  神叫以利亞重出江湖
[00:02:15.360 --> 00:02:18.680]  去挑戰這些假先知
[00:02:18.680 --> 00:02:21.440]  所以你記住神有祂自己的時間表
[00:02:21.800 --> 00:02:26.240]  神是愛每一個人祂不用讓別人失敗離開祂
[00:02:26.240 --> 00:02:29.560]  神是會等候盼望他們會回歸
[00:02:29.560 --> 00:02:31.840]  但是在這個過程裡面神是會有工作
[00:02:31.840 --> 00:02:34.320]  或許是懲治或許是拯救
[00:02:34.320 --> 00:02:38.960]  神命令已經隱藏了三年多的以利亞
[00:02:38.960 --> 00:02:43.000]  在外邦之地再一次回到首都裡面
[00:02:43.000 --> 00:02:44.440]  來去見阿蝦
[00:02:44.440 --> 00:02:47.240]  然後要跟阿蝦宣告
[00:02:47.240 --> 00:02:51.040]  來跟這一群假先知對抗
[00:02:52.640 --> 00:02:55.280]  我們一起來讀聶王記上第十八章
[00:02:55.280 --> 00:02:57.560]  第一、第二兩節我們一起來讀出
[00:02:57.560 --> 00:03:17.680]  當時撒瑪利亞有大饑荒
[00:03:17.680 --> 00:03:20.960]  以利亞是刻意地被沉澱的
[00:03:21.520 --> 00:03:25.080]  時間問題我不詳細講其中一段經文
[00:03:25.080 --> 00:03:29.160]  以利亞出現就見到阿蝦的一個神僕
[00:03:29.160 --> 00:03:33.040]  這個神僕就叫做「俄巴底」
[00:03:33.040 --> 00:03:38.520]  我覺得這個俄巴底很值得我們今天這群基督徒去探索一下他的心路歷程
[00:03:38.520 --> 00:03:39.280]  為什麼呢?
[00:03:39.280 --> 00:03:42.280]  俄巴底是服侍阿蝦
[00:03:42.280 --> 00:03:44.640]  某個程度為虎作倀
[00:03:44.640 --> 00:03:49.720]  他要幫助阿蝦推動那些政治的工作
[00:03:49.960 --> 00:03:53.600]  更加甚至可能要推動那個偶像的敬拜
[00:03:53.600 --> 00:03:57.040]  但是俄巴底又是敬畏神的人
[00:03:57.040 --> 00:04:02.120]  聖經裡面記載他私底下收藏了一百個神的先知
[00:04:02.120 --> 00:04:05.000]  因為當時神的先知會來帶去被追殺的
[00:04:05.000 --> 00:04:07.920]  他暗地裡保護神的先知
[00:04:07.920 --> 00:04:11.160]  但可能他又在幫阿蝦推動一些政策
[00:04:11.160 --> 00:04:14.720]  在這個時代裏面我在想
[00:04:14.720 --> 00:04:18.680]  今天在政府裏面有很多高官都是基督徒
[00:04:19.080 --> 00:04:20.960]  有些議員都是基督徒
[00:04:20.960 --> 00:04:25.200]  包括譚嗣源、梁美芬這些
[00:04:25.200 --> 00:04:28.720]  可能在想當他去推動這些政策的時候
[00:04:28.720 --> 00:04:31.400]  他自己接不接受他所說的那些
[00:04:31.400 --> 00:04:37.080]  他是不是真的會甘心地相信他所說的代誅仙是對的呢?
[00:04:37.080 --> 00:04:39.480]  還是基於這個位置無奈呢?
[00:04:39.480 --> 00:04:45.040]  所以俄巴底我都怕他是一個精神或者人格分裂的人
