
[00:00:00.000 --> 00:00:02.000]  好 大兄姊妹平安
[00:00:02.000 --> 00:00:05.000]  好 我們再一次低頭禱告
[00:00:05.000 --> 00:00:09.000]  天父我們今天來到你面前聚集的時候
[00:00:09.000 --> 00:00:11.000]  我們再一次思想
[00:00:11.000 --> 00:00:13.000]  我們所信的是哪一位的時候
[00:00:13.000 --> 00:00:15.000]  我們實在覺得
[00:00:15.000 --> 00:00:18.000]  我們是何等的不配
[00:00:18.000 --> 00:00:20.000]  因為你是榮耀無比的神
[00:00:20.000 --> 00:00:23.000]  但是你卻是將你的兒子
[00:00:23.000 --> 00:00:26.000]  他的生命都是為我們豁出去
[00:00:26.000 --> 00:00:28.000]  為我們死了十字架
[00:00:28.000 --> 00:00:29.000]  經歷死亡
[00:00:29.000 --> 00:00:31.000]  但他也是得聖復活的主
[00:00:31.000 --> 00:00:34.000]  今天我們在你面前聚集的時候
[00:00:34.000 --> 00:00:36.000]  我們成為有永生盼望的人
[00:00:36.000 --> 00:00:39.000]  因為我們知道
[00:00:39.000 --> 00:00:41.000]  你就是聖過死亡的主
[00:00:41.000 --> 00:00:43.000]  我們今天在你面前敬拜
[00:00:43.000 --> 00:00:46.000]  願你自己的復活的大能
[00:00:46.000 --> 00:00:48.000]  在我們中間來彰顯
[00:00:48.000 --> 00:00:49.000]  給我們盼望
[00:00:49.000 --> 00:00:53.000]  給我們經歷到你的真實的時候
[00:00:53.000 --> 00:00:55.000]  我們更加能夠活出你自己
[00:00:55.000 --> 00:00:58.000]  聖過死亡的聖過罪惡的大能
[00:00:58.000 --> 00:01:00.000]  奉耶穌基督的名祈求
[00:01:00.000 --> 00:01:01.000]  哈門
[00:01:01.000 --> 00:01:06.000]  我們繼續讀一讀《使徒信經》
[00:01:06.000 --> 00:01:08.000]  我信上帝全能的父
[00:01:08.000 --> 00:01:10.000]  創造天地的主
[00:01:10.000 --> 00:01:12.000]  我信我主耶穌基督
[00:01:12.000 --> 00:01:13.000]  上帝的獨生子
[00:01:13.000 --> 00:01:15.000]  因聖靈感恩
[00:01:15.000 --> 00:01:17.000]  由童貞女瑪利亞所生
[00:01:17.000 --> 00:01:20.000]  在本丟比拉多手下受難
[00:01:20.000 --> 00:01:22.000]  被釘十字架
[00:01:22.000 --> 00:01:23.000]  受死埋葬
[00:01:23.000 --> 00:01:26.000]  第三天從死人中復活
[00:01:26.000 --> 00:01:30.000]  聖天在在全能上帝的右邊
[00:01:30.000 --> 00:01:32.000]  將來必從那裡降臨
[00:01:32.000 --> 00:01:34.000]  審判活人死人
[00:01:34.000 --> 00:01:35.000]  我信聖靈
[00:01:35.000 --> 00:01:37.000]  我信聖兒公之教會
[00:01:37.000 --> 00:01:39.000]  我信聖徒相通
[00:01:39.000 --> 00:01:41.000]  我信罪得赦免
[00:01:41.000 --> 00:01:43.000]  我信身體復活
[00:01:43.000 --> 00:01:44.000]  我信永生
[00:01:44.000 --> 00:01:45.000]  哈門
[00:01:45.000 --> 00:01:47.000]  今天我們就會看
[00:01:47.000 --> 00:01:49.000]  一路講下去
[00:01:49.000 --> 00:01:52.000]  我們已經看了之前那幾句
[00:01:52.000 --> 00:01:54.000]  今天我們就會看
[00:01:54.000 --> 00:01:56.000]  受難被釘十字架
[00:01:56.000 --> 00:01:58.000]  在本丟比拉多手下受難
[00:01:58.000 --> 00:02:00.000]  被釘十字架
[00:02:00.000 --> 00:02:02.000]  受死埋葬
[00:02:02.000 --> 00:02:04.000]  第三天從死人中復活
[00:02:04.000 --> 00:02:06.000]  這一句
[00:02:06.000 --> 00:02:08.000]  我們不如一開始
[00:02:08.000 --> 00:02:10.000]  從頭讀到復活
[00:02:10.000 --> 00:02:12.000]  讀三次
[00:02:12.000 --> 00:02:14.000]  繼續讀完三次之後
[00:02:14.000 --> 00:02:16.000]  又試一下背
[00:02:16.000 --> 00:02:18.000]  我信上帝全能的父
[00:02:18.000 --> 00:02:20.000]  創造天地的主
