
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹五安
[00:00:02.000 --> 00:00:04.000]  在這個疫情之下
[00:00:04.000 --> 00:00:06.000]  我們仍然在網上
[00:00:06.000 --> 00:00:11.000]  一起去聽上帝的話
[00:00:11.000 --> 00:00:14.000]  在這個疫情的階段裏面
[00:00:14.000 --> 00:00:16.000]  其實我想大家都有很多的擔憂
[00:00:16.000 --> 00:00:18.000]  有很多不同的情緒
[00:00:18.000 --> 00:00:25.000]  有信心就好像是基督徒一個很特質
[00:00:25.000 --> 00:00:29.000]  所以我們經常和弟兄姊妹
[00:00:29.000 --> 00:00:31.000]  或者和我們旁邊的人說
[00:00:31.000 --> 00:00:33.000]  都要對上帝很有信心
[00:00:33.000 --> 00:00:36.000]  所以我們在教會裏面
[00:00:36.000 --> 00:00:40.000]  就會一直都要努力對上帝有信心
[00:00:40.000 --> 00:00:45.000]  但是很事實去看
[00:00:45.000 --> 00:00:48.000]  我們又好像經常都很沒有信心
[00:00:48.000 --> 00:00:50.000]  為什麼呢?
[00:00:50.000 --> 00:00:53.000]  為什麼我們經常都做不到有信心呢?
[00:00:53.000 --> 00:00:57.000]  其實事例我自己都很經歷過
[00:00:57.000 --> 00:00:59.000]  我經常都告訴自己
[00:00:59.000 --> 00:01:01.000]  我要有信心對上帝有信心
[00:01:01.000 --> 00:01:04.000]  但是我每次遇到困難的時候
[00:01:04.000 --> 00:01:06.000]  我都會很害怕
[00:01:06.000 --> 00:01:09.000]  上台講道
[00:01:09.000 --> 00:01:11.000]  第一次的時候又害怕到腳震
[00:01:11.000 --> 00:01:14.000]  你遇到很多事情
[00:01:14.000 --> 00:01:16.000]  你又害怕自己究竟做不做到
[00:01:16.000 --> 00:01:21.000]  或者我根本又害怕未來會發生什麼事
[00:01:21.000 --> 00:01:23.000]  究竟我走這條路對不對呢?
[00:01:23.000 --> 00:01:24.000]  你每次害怕的時候
[00:01:24.000 --> 00:01:26.000]  你發覺我自己又好像很沒有信心
[00:01:26.000 --> 00:01:29.000]  又失敗了
[00:01:29.000 --> 00:01:31.000]  那我就會問
