
[00:00:00.000 --> 00:00:03.200]  早晨,哥林多前書
[00:00:03.200 --> 00:00:06.080]  其實應該今天去到第2章第5節
[00:00:06.080 --> 00:00:09.800]  第2章的第5節,我們待會在港島當中再讀
[00:00:09.800 --> 00:00:12.360]  先說些
[00:00:12.360 --> 00:00:16.500]  隱言,大家知道我們進入去之前
[00:00:16.500 --> 00:00:19.300]  留意一下身邊周圍發生的事
[00:00:19.300 --> 00:00:22.780]  我想先問下大家一個新名詞
[00:00:22.780 --> 00:00:25.140]  check gbt,有沒有人完全不知什麼來的
[00:00:25.140 --> 00:00:26.780]  什麼叫check gbt
[00:00:27.300 --> 00:00:30.240]  有啦,他們應該很誠實
[00:00:30.240 --> 00:00:33.820]  可能不懂舉手,都不知道在問什麼問題
[00:00:33.820 --> 00:00:36.580]  英文一來二來
[00:00:36.580 --> 00:00:39.280]  我還沒想到有中文翻譯
[00:00:39.280 --> 00:00:41.080]  這個是一個
[00:00:41.080 --> 00:00:45.200]  AI,即是人工智能的對話軟件
[00:00:45.200 --> 00:00:48.080]  都是一直在發展
[00:00:48.080 --> 00:00:50.380]  不過剛剛這兩個月
[00:00:50.380 --> 00:00:53.460]  很多人去留意,因為有一個突破
[00:00:53.460 --> 00:00:55.880]  就是去到4.0的版本
[00:00:55.880 --> 00:00:58.680]  而且發覺是很容易用的
[00:00:58.680 --> 00:01:01.540]  我的女兒在英國讀書,他們都在用
[00:01:01.540 --> 00:01:04.440]  可以一些不明的問題打上去
[00:01:04.440 --> 00:01:07.460]  那個check gbt就會全答你
[00:01:07.460 --> 00:01:10.740]  我也見過我們有些團體問什麼叫宣教,什麼叫傳科音
[00:01:10.740 --> 00:01:13.680]  都答得頭頭是道,甚至有些人說
[00:01:13.680 --> 00:01:16.180]  將來可能那些什麼醫生
[00:01:16.180 --> 00:01:18.440]  律師,實用服務師
[00:01:18.440 --> 00:01:21.460]  都不用做,因為全部這些知識型的東西
[00:01:21.460 --> 00:01:24.720]  都可以透過這些軟件幫忙解答
[00:01:24.920 --> 00:01:27.560]  所以微軟
[00:01:27.560 --> 00:01:30.120]  大家應該知道微軟,即是我們現在經常用電腦的
[00:01:30.120 --> 00:01:33.120]  Word啊,Excel啊,那些
[00:01:33.120 --> 00:01:36.440]  很出名的Windows的軟件的創辦人
[00:01:36.440 --> 00:01:39.460]  Bill Gates都說check gbt
[00:01:39.460 --> 00:01:42.200]  將會改變世界
[00:01:42.200 --> 00:01:45.260]  如果你知道在我們人類的時代,當亞特發明了蒸汽機
[00:01:45.260 --> 00:01:47.580]  推動了工業革命
[00:01:47.580 --> 00:01:50.580]  接著有電腦革命,接著有互聯網革命
[00:01:50.580 --> 00:01:53.720]  有人說可能check gbt就是可能是下一個
[00:01:53.720 --> 00:01:56.720]  或時代革命,到時可能我們不用用腦
[00:01:56.720 --> 00:01:58.920]  因為所有用腦想的東西
[00:01:58.920 --> 00:02:01.540]  都可以透過check gbt去做
[00:02:01.540 --> 00:02:03.840]  所以我們見到其實在這個世代
[00:02:03.840 --> 00:02:06.640]  我們很高舉理性,知識
[00:02:06.640 --> 00:02:09.640]  智慧,科技,工程,技術
[00:02:09.640 --> 00:02:13.080]  這些都是我們世人裡面去推崇的
[00:02:13.080 --> 00:02:15.840]  但當我預備今天的講道
[00:02:15.840 --> 00:02:18.560]  當我預備今天三個分題
[00:02:18.560 --> 00:02:21.420]  以為聰明的被掛一巴
[00:02:21.740 --> 00:02:24.500]  如絕軟弱的,卻蒙揀選
