
[00:00:00.000 --> 00:00:04.540]  正如剛才所說 今年的2020年
[00:00:04.540 --> 00:00:08.400]  其實真是有很多的挑戰 也有很多的不同
[00:00:08.400 --> 00:00:12.220]  我不知道在2020年 你回想起來的時候
[00:00:12.220 --> 00:00:15.080]  你會有些什麼的感覺
[00:00:15.080 --> 00:00:19.620]  我相信大部份的人都不會有很良好的感覺的
[00:00:19.620 --> 00:00:24.000]  無論你在什麼的環境 你都會發覺2020年
[00:00:24.000 --> 00:00:27.980]  真是很多事情我們不想發生
[00:00:27.980 --> 00:00:31.580]  也都猜不到會發生的 都會發生
[00:00:31.580 --> 00:00:36.940]  但是不論如何 正是在一個這樣的環境之下
[00:00:36.940 --> 00:00:43.040]  更加需要我們去在神面前用正確的態度去面對
[00:00:43.040 --> 00:00:45.940]  當我想到這樣的時候 我就想起
[00:00:45.940 --> 00:00:51.000]  其實正正是這些最需要的時間 我們需要禱告
[00:00:51.740 --> 00:00:54.900]  沒錯 在生活當中有很多的挑戰
[00:00:54.900 --> 00:00:57.780]  沒錯 在環境當中有很多的混亂
[00:00:57.780 --> 00:01:01.740]  沒錯 在前面當中有很多的未知數
[00:01:01.740 --> 00:01:06.460]  但是我們好像有一個聖所
[00:01:06.460 --> 00:01:11.680]  可以坦然無懼的去到施恩的寶座面前
[00:01:11.680 --> 00:01:15.280]  向著永生的神來去呼喚
[00:01:15.280 --> 00:01:18.520]  外面的動盪不休
[00:01:18.520 --> 00:01:22.360]  當我們進入這個聖所的時候 可以給我們
[00:01:22.360 --> 00:01:26.600]  一個平靜、安穩、得力的場所
[00:01:26.600 --> 00:01:29.500]  這個就是禱告的場所
[00:01:29.500 --> 00:01:35.040]  在這樣的時候 我們比其它更多的時間
[00:01:35.040 --> 00:01:39.460]  我們更加需要禱告 而求神幫助我們
[00:01:39.460 --> 00:01:43.320]  叫我們明白禱告的力量 也都教導我們
[00:01:43.320 --> 00:01:48.280]  用正確的態度和心情 好像藉著禱告
[00:01:48.280 --> 00:01:51.160]  來去走過這些動盪的日子
[00:01:51.160 --> 00:01:57.620]  所以今天想和大家分享一段的禱文 一段的禱告
[00:01:57.620 --> 00:02:00.420]  這一段的禱文 我相信大家都很熟悉的
