
[00:00:00.000 --> 00:00:03.800]  今天我們的講題是「盼望人生不一樣」
[00:00:03.800 --> 00:00:06.740]  我不知道你聽完之後有什麼感受
[00:00:06.740 --> 00:00:12.120]  我想請師母幫我讀今天我引用的那段聖經
[00:00:12.120 --> 00:00:15.080]  在傳道書的三章十到十四節
[00:00:15.080 --> 00:00:18.520]  傳道書的三章十到十四節
[00:00:18.520 --> 00:00:19.480]  我們讀完聖經
[00:00:19.480 --> 00:00:21.880]  然後我們一起再回應一下
[00:00:21.880 --> 00:00:23.720]  梁大兄他的經歷
[00:00:23.720 --> 00:00:27.160]  和我們的生命有什麼啟發
[00:00:27.160 --> 00:00:28.840]  有什麼共鳴
[00:00:28.840 --> 00:00:30.640]  有什麼得著
[00:00:30.640 --> 00:00:33.160]  我請師母幫我們讀聖經
[00:00:33.160 --> 00:00:36.240]  傳道書三章十到十四節
[00:00:36.240 --> 00:00:39.320]  我觀看神給世人的擔子
[00:00:39.320 --> 00:00:41.840]  是他們在其中勞苦
[00:00:41.840 --> 00:00:43.160]  神造萬物
[00:00:43.160 --> 00:00:45.880]  各按其時成為美好
[00:00:45.880 --> 00:00:49.120]  有將永恆安放在世人心裡
[00:00:49.120 --> 00:00:52.120]  願意神從此至終的作為
[00:00:52.120 --> 00:00:53.720]  人不能測透
[00:00:53.720 --> 00:00:57.240]  我知道人除了終身喜樂樂福
[00:00:57.240 --> 00:00:59.680]  沒有一件幸福的事
[00:00:59.680 --> 00:01:01.880]  並且人人吃喝
[00:01:01.880 --> 00:01:04.400]  在他的一切勞碌中享福
[00:01:04.400 --> 00:01:07.040]  這也是神的賞賜
[00:01:07.040 --> 00:01:09.040]  我知道神所做的
[00:01:09.040 --> 00:01:11.160]  都必傳道永遠
[00:01:11.160 --> 00:01:13.640]  無所增添無所減少
[00:01:13.640 --> 00:01:15.040]  神這樣做
[00:01:15.040 --> 00:01:17.440]  是要人在他面前
[00:01:17.440 --> 00:01:19.080]  傳敬畏的心
[00:01:19.080 --> 00:01:20.680]  好,謝謝
[00:01:20.680 --> 00:01:24.640]  我們說人生的盼望
[00:01:25.040 --> 00:01:28.160]  跟梁帝兄的分享很貼切
[00:01:28.160 --> 00:01:32.160]  當他發現自己患病的時候
[00:01:32.160 --> 00:01:33.920]  他已經是一個基督徒
[00:01:33.920 --> 00:01:38.400]  剛才分享他面對的病
[00:01:38.400 --> 00:01:40.400]  宣告死亡
[00:01:40.400 --> 00:01:42.400]  只有半年
[00:01:42.400 --> 00:01:44.080]  剛才的數字
[00:01:44.080 --> 00:01:48.160]  大家知道胰臟癌稱為癌中的「黃」
[00:01:48.160 --> 00:01:52.680]  傳播率只有97%是死亡
[00:01:52.680 --> 00:01:56.960]  只有2-3%是可以活多於半年
[00:01:56.960 --> 00:01:59.720]  但他今天活了11年多
[00:01:59.720 --> 00:02:05.280]  剛才他說去年他輸了10包血
[00:02:05.280 --> 00:02:07.280]  做了9個小時手術
[00:02:07.280 --> 00:02:08.560]  到今天
[00:02:08.560 --> 00:02:09.760]  一年
[00:02:09.760 --> 00:02:11.760]  剛剛好一年另一天
[00:02:11.760 --> 00:02:16.280]  生命好像背著炸彈一樣
[00:02:16.280 --> 00:02:18.640]  我不知道你有什麼感受
[00:02:20.480 --> 00:02:25.160]  我很明白去年梁帝兄做的手術
[00:02:25.160 --> 00:02:29.280]  因為我媽媽一樣有類似的胰臟癌
[00:02:29.280 --> 00:02:33.960]  在膽管和胰臟胃的地方
[00:02:33.960 --> 00:02:38.560]  胰臟在胃後面和脊骨之間
[00:02:38.560 --> 00:02:42.600]  我記得當年我媽媽有癌症的時候
[00:02:42.600 --> 00:02:44.600]  就在這些位置
[00:02:44.600 --> 00:02:47.400]  醫生叫她要拼
[00:02:47.400 --> 00:02:50.000]  外科醫生叫她拼一下
[00:02:50.000 --> 00:02:52.000]  做手術
[00:02:52.000 --> 00:02:57.240]  在那裡幾個主要器官都要割掉
[00:02:57.240 --> 00:03:00.800]  梁帝兄有半個胃
[00:03:00.800 --> 00:03:03.320]  我媽媽應該都沒有了
[00:03:03.320 --> 00:03:05.320]  後來我們就不拼了
[00:03:05.320 --> 00:03:07.320]  因為媽媽都七十多歲了
[00:03:07.320 --> 00:03:09.960]  我媽媽大概一年不到就去世了
[00:03:09.960 --> 00:03:13.000]  對比梁帝兄
[00:03:13.000 --> 00:03:16.000]  他信了主遇到這個病
[00:03:16.000 --> 00:03:19.800]  我媽媽就未信主遇到這個病
[00:03:19.800 --> 00:03:21.800]  同樣有一點相同
[00:03:21.800 --> 00:03:23.800]  我媽媽因為癌症
[00:03:23.800 --> 00:03:25.800]  她信主
[00:03:25.800 --> 00:03:27.800]  她體會到人生的無常
[00:03:27.800 --> 00:03:29.800]  她反省人生
[00:03:29.800 --> 00:03:32.800]  她肯祈禱她接受耶穌基督再去救主
[00:03:32.800 --> 00:03:35.800]  梁帝兄就信了主的基督徒
[00:03:35.800 --> 00:03:39.800]  他然後去經歷這麼重的病
[00:03:39.800 --> 00:03:41.800]  直到今天
[00:03:41.800 --> 00:03:44.800]  他的出現簡直是奇蹟中的奇蹟
[00:03:44.800 --> 00:03:46.800]  醫生都解釋不了
[00:03:46.800 --> 00:03:48.800]  為什麼這麼惡的癌症會這樣
[00:03:48.800 --> 00:03:53.800]  人生講到盼望
[00:03:53.800 --> 00:03:55.800]  其實盼望都幾特別
[00:03:55.800 --> 00:03:58.800]  人生沒有希望是痛苦
[00:03:58.800 --> 00:04:00.800]  但更痛苦的是
[00:04:00.800 --> 00:04:02.800]  他給了你希望
[00:04:02.800 --> 00:04:04.800]  然後又拿走了
[00:04:04.800 --> 00:04:06.800]  有種更大的失望
[00:04:06.800 --> 00:04:08.800]  我不知道
[00:04:08.800 --> 00:04:12.800]  當你聽到梁帝兄的經歷的時候
[00:04:12.800 --> 00:04:15.800]  有沒有想起一些人生的問題
[00:04:15.800 --> 00:04:18.800]  其中我們經常想到的
[00:04:18.800 --> 00:04:22.800]  為什麼人生會有這麼多苦難呢
[00:04:22.800 --> 00:04:25.800]  苦難有什麼意思呢
[00:04:25.800 --> 00:04:28.800]  人生的苦難是否必要呢
[00:04:28.800 --> 00:04:31.800]  如果聖經說神愛我們
[00:04:31.800 --> 00:04:35.800]  為什麼神還讓我們經歷這些苦難呢
[00:04:35.800 --> 00:04:37.800]  有時候我們不明白
[00:04:37.800 --> 00:04:42.800]  好像剛才醫生說要幫梁帝兄做這麼大的手術
[00:04:42.800 --> 00:04:45.800]  牽涉三四個主要器官
[00:04:45.800 --> 00:04:47.800]  有些要全部割掉
[00:04:47.800 --> 00:04:49.800]  有些沒有了一半
[00:04:49.800 --> 00:04:51.800]  為什麼會這樣呢
[00:04:51.800 --> 00:04:53.800]  我不知道朋友們
[00:04:53.800 --> 00:04:56.800]  螢光幕前的親友
[00:04:56.800 --> 00:04:58.800]  你們有沒有想過
[00:04:58.800 --> 00:05:00.800]  苦難有什麼意思呢
[00:05:00.800 --> 00:05:02.800]  為什麼要這樣呢
[00:05:02.800 --> 00:05:06.800]  剛才我們讀的聖經
[00:05:06.800 --> 00:05:08.800]  傳道書三章十到十四節
[00:05:08.800 --> 00:05:10.800]  很特別的
[00:05:10.800 --> 00:05:12.800]  聖經給了我們答案
[00:05:12.800 --> 00:05:15.800]  留意第三章十節和十一節
[00:05:15.800 --> 00:05:17.800]  我請PowerPoint再展示一次
[00:05:17.800 --> 00:05:20.800]  第三章十節和十一節
[00:05:20.800 --> 00:05:24.800]  請師母再幫我讀十和十一節
[00:05:24.800 --> 00:05:25.800]  十和十一節
[00:05:25.800 --> 00:05:28.800]  我觀看神給世人的擔子
[00:05:28.800 --> 00:05:30.800]  使他們在其中勞苦
[00:05:30.800 --> 00:05:32.800]  神造萬物
[00:05:32.800 --> 00:05:34.800]  各按其時成為美好
[00:05:34.800 --> 00:05:37.800]  又將永恆安放在世人心裡
[00:05:37.800 --> 00:05:40.800]  然而神從始至終的作為
