
[00:00:00.000 --> 00:00:03.960]  猶太從他馬氏生法勒斯和借拉
[00:00:03.960 --> 00:00:06.160]  這個上個禮拜我們做過了
[00:00:06.160 --> 00:00:08.160]  他說的是什麼呢
[00:00:08.160 --> 00:00:11.880]  這件事很明顯是一個大罪
[00:00:11.880 --> 00:00:13.680]  但如果你記得我們上個禮拜說
[00:00:13.680 --> 00:00:16.360]  最後猶太有沒有配改
[00:00:16.360 --> 00:00:19.800]  有 所以在創世紀的最終
[00:00:19.800 --> 00:00:24.520]  誰是被選爲將來救主的始祖
[00:00:24.520 --> 00:00:25.640]  是猶太
[00:00:25.640 --> 00:00:26.760]  所以他迴轉
[00:00:26.760 --> 00:00:29.320]  但你要想
[00:00:29.320 --> 00:00:32.120]  一個人配改就不一定能救
[00:00:32.120 --> 00:00:35.360]  你配改也要有人救他纔行
[00:00:35.360 --> 00:00:37.440]  你明白我說什麼嗎
[00:00:37.440 --> 00:00:40.560]  如果我們今天從新的角度去看
[00:00:40.560 --> 00:00:41.680]  什麼叫救恩的時候
[00:00:41.680 --> 00:00:43.880]  救恩需要兩件事發生
[00:00:43.880 --> 00:00:45.800]  第一 需要那個人要配改
[00:00:45.800 --> 00:00:47.080]  所以如果你不配改
[00:00:47.080 --> 00:00:48.840]  耶穌救不了你的
[00:00:48.840 --> 00:00:50.720]  第二
[00:00:50.720 --> 00:00:54.200]  你配改了也要有人來救你纔行
[00:00:54.200 --> 00:00:57.040]  所以這個家譜是講救主的出生
[00:00:57.040 --> 00:01:01.280]  但當中必須要有人願意配改才能救
[00:01:01.280 --> 00:01:06.600]  這個家譜不會自然地在天堂全部出來
[00:01:06.600 --> 00:01:09.880]  我相信這個家譜裏有些人在天堂不會出來
[00:01:09.880 --> 00:01:11.160]  你明白我的意思嗎
[00:01:11.160 --> 00:01:13.720]  但這個講救主的家譜
[00:01:13.720 --> 00:01:16.360]  當中有一羣配改了的人
[00:01:16.360 --> 00:01:20.240]  他們會和救主連上個人的關係
[00:01:20.240 --> 00:01:28.600]  法律師生希斯倫 希斯倫生阿蘭 阿蘭生阿米拿達 阿米拿達生拿順 拿順生撒門
[00:01:28.600 --> 00:01:36.600]  撒門從拉合士生波阿斯 波阿斯從路德士生俄比德 俄比德生耶細
[00:01:36.600 --> 00:01:39.560]  OK
[00:01:39.560 --> 00:01:44.160]  我們大家過去幾個星期一直在說波阿斯 路德 波阿斯 路德
[00:01:44.160 --> 00:01:45.920]  我們從來沒有問過一個問題
[00:01:45.920 --> 00:01:48.960]  就是波阿斯的媽媽是誰
[00:01:48.960 --> 00:01:51.000]  波阿斯的媽媽是誰
[00:01:51.000 --> 00:01:54.040]  拉合士 是不是猶太人
[00:01:54.040 --> 00:01:57.120]  不是 是耶利哥的人
[00:01:57.120 --> 00:02:00.000]  難怪波阿斯那麼喜歡鬼妹
[00:02:00.000 --> 00:02:03.000]  她是媽媽的鬼妹
[00:02:03.000 --> 00:02:04.600]  很有意思的
[00:02:04.600 --> 00:02:07.880]  波阿斯爲什麼那麼憐憫一個外邦的女子
[00:02:07.880 --> 00:02:09.280]  原來是有理由的
[00:02:09.280 --> 00:02:13.400]  因爲 因爲她媽媽是拉合士
[00:02:13.400 --> 00:02:15.120]  我想強調這裏
[00:02:15.120 --> 00:02:17.800]  這兩個女人的名字已經出來了
[00:02:17.800 --> 00:02:22.000]  但這兩個女人是好還是不好
[00:02:22.000 --> 00:02:23.560]  你想清楚一點
[00:02:23.560 --> 00:02:25.880]  這兩個女人都是很好的
[00:02:25.880 --> 00:02:27.000]  從某個角度來說
[00:02:27.000 --> 00:02:29.760]  有些人會說拉合士和路德士的出現
[00:02:29.760 --> 00:02:32.680]  主要是說蘇格爾尼救了外邦人
[00:02:32.680 --> 00:02:33.840]  不只是救了以色列
[00:02:33.840 --> 00:02:35.800]  當然是對的
[00:02:35.800 --> 00:02:40.040]  但是重要的地方就是拉合士和路德士
[00:02:40.040 --> 00:02:45.040]  兩個人都是信心的女人
[00:02:45.040 --> 00:02:46.480]  信心的女人
[00:02:46.480 --> 00:02:49.240]  路德我們已經講了很多了
[00:02:49.240 --> 00:02:50.640]  但是你知不知道
[00:02:50.640 --> 00:02:56.440]  路德在《新若聖經》裏面出現過多少次
[00:02:56.440 --> 00:02:57.360]  《新若聖經》裏面
[00:02:57.360 --> 00:02:58.680]  路德出現過一次
[00:02:58.680 --> 00:03:00.440]  就是這裏
[00:03:00.440 --> 00:03:01.480]  我想問問你
[00:03:01.480 --> 00:03:07.120]  拉合士在《新若聖經》裏面出現過多少次
[00:03:07.120 --> 00:03:08.240]  三次
[00:03:08.240 --> 00:03:09.560]  威不威
[00:03:09.560 --> 00:03:11.920]  拉合士很威 威過路德
[00:03:11.920 --> 00:03:13.160]  一次是這裏
[00:03:13.160 --> 00:03:14.560]  另外一次是什麼
[00:03:14.560 --> 00:03:16.640]  那個Heroes of Faith
[00:03:16.640 --> 00:03:17.680]  信心的英雄
[00:03:17.680 --> 00:03:19.400]  希伯來書第十一章
[00:03:19.400 --> 00:03:21.240]  最後那一次更威
[00:03:21.240 --> 00:03:22.560]  最後那一次是哪裏
[00:03:22.560 --> 00:03:25.880]  雅各書第二章
[00:03:25.880 --> 00:03:28.560]  信心沒有行爲是死的那一段
[00:03:28.560 --> 00:03:29.720]  你記不記得
[00:03:29.720 --> 00:03:31.120]  你知不知道
[00:03:31.120 --> 00:03:33.360]  如果你有機會回去看看雅各書第二章
[00:03:33.360 --> 00:03:34.200]  很精彩的
[00:03:34.200 --> 00:03:35.120]  爲什麼精彩
[00:03:35.120 --> 00:03:36.880]  精彩在哪裏呢
[00:03:36.880 --> 00:03:39.720]  當他說信心沒有行爲是死的
[00:03:39.720 --> 00:03:42.600]  他引用了兩個例子
[00:03:42.600 --> 00:03:44.200]  來證明這件事
[00:03:44.200 --> 00:03:45.720]  除了拉合士之外
[00:03:45.720 --> 00:03:48.800]  另外一個是誰
[00:03:48.800 --> 00:03:50.080]  另外一個是誰
[00:03:50.080 --> 00:03:52.560]  阿伯拉罕
[00:03:52.560 --> 00:03:54.760]  正如我們的祖宗阿伯拉罕
[00:03:54.760 --> 00:03:57.720]  獻上他的兒子以撒
[00:03:57.720 --> 00:03:58.600]  那一下東西
[00:03:58.600 --> 00:03:59.800]  厲不厲害
[00:03:59.800 --> 00:04:02.640]  所以在雅各書裏面
[00:04:02.640 --> 00:04:06.520]  拉合竟然是和阿伯拉罕同等的
[00:04:06.520 --> 00:04:07.360]  你明白嗎
[00:04:07.360 --> 00:04:08.680]  我們強調
[00:04:08.680 --> 00:04:11.320]  路德其實是一個真阿伯拉罕的後裔
[00:04:11.320 --> 00:04:13.240]  他所做的事情是很相似的
[00:04:13.240 --> 00:04:15.760]  原來拉合也是這樣的
[00:04:15.760 --> 00:04:17.560]  今天沒有時間做
[00:04:17.560 --> 00:04:18.840]  是很精彩的事情
[00:04:18.840 --> 00:04:20.680]  你看看新約
[00:04:20.680 --> 00:04:21.880]  我怎麼會發現這件事
[00:04:21.880 --> 00:04:25.520]  有一次我講雅各書
[00:04:25.520 --> 00:04:26.800]  講着講着
