
[00:00:00.000 --> 00:00:05.000]  明天會平安,我們一起低頭祈禱
[00:00:05.000 --> 00:00:07.000]  天父,我們求你帶領我們
[00:00:07.000 --> 00:00:09.000]  今天我們會談論到智慧的時候
[00:00:09.000 --> 00:00:12.000]  想到我們活在世上真的需要智慧
[00:00:12.000 --> 00:00:17.000]  但這種智慧不單止是從世間的經驗累積而來
[00:00:17.000 --> 00:00:20.000]  更加需要從神祕的眼光來看事情的時候
[00:00:20.000 --> 00:00:22.000]  我們就明白真智慧
[00:00:22.000 --> 00:00:23.000]  願祢教導我們
[00:00:23.000 --> 00:00:28.000]  讓我們不是聽到一些理論、一些資訊
[00:00:28.000 --> 00:00:30.000]  更加幫助我們
[00:00:30.000 --> 00:00:33.000]  我們的心被智慧來吸引
[00:00:33.000 --> 00:00:34.000]  去做一個智慧人
[00:00:34.000 --> 00:00:39.000]  我們也願意在生活當中實踐智慧的道理
[00:00:39.000 --> 00:00:41.000]  我們這樣禱告奉耶穌基督的名祈求
[00:00:41.000 --> 00:00:42.000]  阿門
[00:00:42.000 --> 00:00:47.000]  傳道書其實在聖經當中
[00:00:47.000 --> 00:00:49.000]  是稱為「詩歌智慧書」
[00:00:49.000 --> 00:00:50.000]  你知道
[00:00:50.000 --> 00:00:52.000]  所以既然稱為「詩歌智慧書」
[00:00:52.000 --> 00:00:54.000]  你就明白到其實傳道書
[00:00:54.000 --> 00:00:56.000]  都是講智慧
[00:00:56.000 --> 00:00:59.000]  人活在世上是需要有智慧的
[00:00:59.000 --> 00:01:01.000]  而上一次他就講到
[00:01:01.000 --> 00:01:03.000]  從死亡的角度
[00:01:03.000 --> 00:01:05.000]  怎樣去看人生的時候
[00:01:05.000 --> 00:01:09.000]  其實是發覺人生是活在世上
[00:01:09.000 --> 00:01:13.000]  如果單是面對著死亡的結局
[00:01:13.000 --> 00:01:15.000]  事實上都是很無奈的
[00:01:15.000 --> 00:01:18.000]  但是轉一轉的時候
[00:01:18.000 --> 00:01:19.000]  其實他今天就講
[00:01:19.000 --> 00:01:22.000]  如果單是面對死亡的結局
[00:01:22.000 --> 00:01:24.000]  這樣的生活的時候
[00:01:24.000 --> 00:01:27.000]  我們又怎樣去面對人生呢
[00:01:27.000 --> 00:01:30.000]  其實他就探討一個這樣的問題
[00:01:30.000 --> 00:01:32.000]  而今天的主題就是智慧
[00:01:32.000 --> 00:01:37.000]  因為我們在人活在世上的時候
[00:01:37.000 --> 00:01:39.000]  實在是面對多方面的挑戰
[00:01:39.000 --> 00:01:41.000]  而傳道者他明白到
[00:01:41.000 --> 00:01:43.000]  即使大家都是面對死亡
[00:01:43.000 --> 00:01:46.000]  但是你如果有智慧地去度過一生
[00:01:46.000 --> 00:01:49.000]  跟你沒有智慧
[00:01:49.000 --> 00:01:51.000]  很愚昧地度過一生
[00:01:51.000 --> 00:01:53.000]  一定是不一樣的
[00:01:53.000 --> 00:01:56.000]  所以今天就會討論一下
[00:01:56.000 --> 00:01:59.000]  究竟怎樣才算是有智慧地
[00:01:59.000 --> 00:02:01.000]  去度過我們世上的生活
[00:02:01.000 --> 00:02:02.000]  第一樣他說到
[00:02:02.000 --> 00:02:05.000]  名譽強如美好的膏油
[00:02:05.000 --> 00:02:07.000]  就是說
[00:02:07.000 --> 00:02:11.000]  一個明星在世上都是很重要的
[00:02:11.000 --> 00:02:13.000]  我們當然不是說
[00:02:13.000 --> 00:02:15.000]  你貪慕虛榮
[00:02:15.000 --> 00:02:18.000]  不斷地去吹捧自己
[00:02:18.000 --> 00:02:23.000]  令自己好像很多假的宣傳那樣
[00:02:23.000 --> 00:02:25.000]  那種明星
[00:02:25.000 --> 00:02:26.000]  而是他說
[00:02:26.000 --> 00:02:28.000]  是一種真真實實
[00:02:28.000 --> 00:02:31.000]  你活在世上做一個智慧人的時候
[00:02:31.000 --> 00:02:36.000]  你也是很小心去保護自己的明星
[00:02:36.000 --> 00:02:38.000]  一個的狀況
[00:02:38.000 --> 00:02:40.000]  這個是事實
[00:02:40.000 --> 00:02:43.000]  這是我們中國人的其中一個美德
[00:02:43.000 --> 00:02:45.000]  就是誠信的美德
[00:02:45.000 --> 00:02:48.000]  就是說你要說的東西
[00:02:48.000 --> 00:02:51.000]  你要跟著去做
[00:02:51.000 --> 00:02:52.000]  聖經也有說
