
[00:00:00.000 --> 00:00:03.520]  今天要和大家繼續講《針研》的系列
[00:00:03.520 --> 00:00:04.960]  第十一講
[00:00:04.960 --> 00:00:06.960]  是禱告的智慧
[00:00:06.960 --> 00:00:08.880]  有很多人說
[00:00:08.880 --> 00:00:11.920]  咦?「針研」是智慧的言語
[00:00:11.920 --> 00:00:13.920]  是靈修的材料
[00:00:13.920 --> 00:00:16.400]  但是和禱告有什麼關係呢?
[00:00:16.400 --> 00:00:18.040]  如果我們要學禱告
[00:00:18.040 --> 00:00:19.720]  最好的就是《主禱文》
[00:00:19.720 --> 00:00:22.880]  耶穌基督自己教門徒怎樣來禱告
[00:00:22.880 --> 00:00:24.880]  在《馬太福音》的第六章
[00:00:24.880 --> 00:00:27.280]  我們也講完《針研》
[00:00:27.280 --> 00:00:29.400]  很快就會講《已忽所書》
[00:00:29.400 --> 00:00:31.560]  《已忽所書》的第一章尾
[00:00:31.560 --> 00:00:34.560]  第三章尾和第六章尾
[00:00:34.560 --> 00:00:36.880]  都有講到保羅的禱告
[00:00:36.880 --> 00:00:40.440]  我們也可以用這些經文來教導我們自己
[00:00:40.440 --> 00:00:42.440]  怎樣來禱告
[00:00:42.440 --> 00:00:45.440]  為什麼我們要用《針研》來禱告?
[00:00:45.440 --> 00:00:49.480]  其實今天的分享
[00:00:49.480 --> 00:00:51.480]  今天的信息
[00:00:51.480 --> 00:00:52.960]  是很重要的
[00:00:52.960 --> 00:00:56.240]  如果你是想神聽你的禱告
[00:00:56.240 --> 00:00:59.440]  如果你是希望有一個改變的生命
[00:00:59.440 --> 00:01:02.000]  有一個蒙神喜悅的生命
[00:01:02.000 --> 00:01:05.640]  如果你是希望有效地為你的子女
[00:01:05.640 --> 00:01:07.640]  為你身邊的人來禱告
[00:01:07.640 --> 00:01:09.640]  今天的這一篇道
[00:01:09.640 --> 00:01:11.640]  其實對你是很重要的
[00:01:11.640 --> 00:01:13.640]  《針研》
[00:01:13.640 --> 00:01:16.320]  就是神的智慧
[00:01:16.320 --> 00:01:19.320]  我們看到最好的辦法
[00:01:19.320 --> 00:01:20.840]  來讀《針研》
[00:01:20.840 --> 00:01:22.840]  就是將它一節一節地
[00:01:22.840 --> 00:01:25.640]  帶到神的面前來禱告
[00:01:25.640 --> 00:01:30.040]  然後求神幫助我們能夠在我們的生活裏面
[00:01:30.040 --> 00:01:32.040]  將祂的智慧活出來
[00:01:32.040 --> 00:01:36.640]  《針研》不是單單是個人的修為
[00:01:36.640 --> 00:01:39.040]  還是人和人的關係
[00:01:39.040 --> 00:01:41.240]  是人和家人的關係
[00:01:41.240 --> 00:01:43.240]  是人和世人的關係
[00:01:43.240 --> 00:01:45.240]  透過禱告
[00:01:45.240 --> 00:01:46.240]  我們求神
[00:01:46.240 --> 00:01:49.840]  在我們每一天、每一個鐘頭、每一分鐘
[00:01:49.840 --> 00:01:52.840]  都能夠靠著神的智慧
[00:01:52.840 --> 00:01:56.640]  能夠活出一個不一樣的生命
[00:01:56.640 --> 00:01:58.640]  有人說如果是這樣
[00:01:58.640 --> 00:02:00.640]  讀《針研》就夠了
[00:02:00.640 --> 00:02:04.040]  為什麼一定要用《針研》來禱告?
[00:02:04.040 --> 00:02:07.640]  我們基督徒所著重的是內在的質素
[00:02:07.640 --> 00:02:08.840]  不是外在
[00:02:08.840 --> 00:02:10.840]  我們時時都笑法利賽人
[00:02:10.840 --> 00:02:13.040]  空有外在的行為
[00:02:13.040 --> 00:02:16.640]  我們不要照樣跟著做一個法利賽人
[00:02:16.640 --> 00:02:19.240]  我們要有一個內心的改變
[00:02:19.240 --> 00:02:21.640]  當我們講《針研》和《以弗所書》
[00:02:21.640 --> 00:02:23.440]  我們都會著重的
[00:02:23.440 --> 00:02:26.240]  就是有一個內心裡面的改變
[00:02:26.240 --> 00:02:28.440]  禱告就是跟神的關係
[00:02:28.440 --> 00:02:30.840]  禱告就是跟神的溝通
[00:02:30.840 --> 00:02:32.240]  透過禱告
[00:02:32.240 --> 00:02:35.240]  我們能夠有一個改變的心
[00:02:35.240 --> 00:02:37.840]  以致我們的行為都會改變
[00:02:37.840 --> 00:02:41.840]  這個改變就是由裡面到外面的改變
[00:02:41.840 --> 00:02:44.440]  所以如果我們不想做法利賽人
[00:02:44.440 --> 00:02:46.040]  空有外表的話
[00:02:46.040 --> 00:02:50.240]  我們要學習怎樣用《針研》來禱告
[00:02:50.240 --> 00:02:53.240]  《針研》就是神的話語
[00:02:53.240 --> 00:02:56.640]  在提摩太后書的三章十六至十七節
[00:02:56.640 --> 00:02:57.840]  都告訴我們
[00:02:57.840 --> 00:03:00.240]  聖經都是神所物事的
[00:03:00.240 --> 00:03:04.040]  於教訓督責使人歸正
[00:03:04.040 --> 00:03:06.840]  教導人學義都是有益的
[00:03:06.840 --> 00:03:11.840]  叫屬神的人得以完全預備行各樣的善事
[00:03:11.840 --> 00:03:15.840]  神的話語就是能夠幫助我們成為一個完全人
[00:03:15.840 --> 00:03:23.240]  能夠來準備為了我們預備以我們所做的所有善事
[00:03:23.240 --> 00:03:26.240]  在《針研》的一章一至到四節
[00:03:26.240 --> 00:03:28.640]  都有很相似的經文
[00:03:28.640 --> 00:03:29.640]  經文說
[00:03:29.640 --> 00:03:33.440]  以色列王大衛兒子所羅門的《針研》
[00:03:33.440 --> 00:03:36.840]  要使人曉得智慧和憤悔
[00:03:36.840 --> 00:03:38.640]  分別通達的言語
[00:03:38.640 --> 00:03:41.440]  使人處事領受智慧
[00:03:41.440 --> 00:03:44.640]  仁義公平正直的憤悔
[00:03:44.640 --> 00:03:46.240]  使愚人靈明
[00:03:46.240 --> 00:03:49.440]  使少年人有知識和謀略
[00:03:49.440 --> 00:03:53.240]  我們看到《針研》真是神的智慧
[00:03:53.240 --> 00:03:54.840]  充滿了神的智慧
[00:03:54.840 --> 00:03:57.440]  我們要透過我們的禱告
[00:03:57.440 --> 00:04:01.440]  讓這些神的智慧活出在我們的生命當中
[00:04:01.440 --> 00:04:04.240]  來到榮耀神
[00:04:04.240 --> 00:04:07.640]  其實這個世界真是非常複雜
[00:04:07.640 --> 00:04:09.240]  非常繁忙
[00:04:09.240 --> 00:04:11.840]  我們講《針研》的介紹的時候
[00:04:11.840 --> 00:04:13.440]  我們都講過
[00:04:13.440 --> 00:04:18.040]  其實每一天我們都要作出很多很多不同的決定
[00:04:18.040 --> 00:04:18.840]  很可惜
[00:04:18.840 --> 00:04:22.840]  一般的基督徒都是忽略了神給我們的智慧
[00:04:22.840 --> 00:04:25.440]  每一篇的《針研》
