
[00:00:00.000 --> 00:00:02.460]  感謝上帝讓我們有這個機會
[00:00:02.460 --> 00:00:04.780]  我們一同去敬拜和侍奉祢
[00:00:04.780 --> 00:00:08.720]  求主祢幫助我們在今天繼續的一段時間裏
[00:00:08.720 --> 00:00:11.020]  我們認定祢是我們的主
[00:00:11.020 --> 00:00:12.820]  祢是我們敬拜的對象
[00:00:12.820 --> 00:00:17.920]  幫助我們繼續專心努力去敬拜和服侍祢
[00:00:17.920 --> 00:00:19.520]  我們這樣祈禱奉主名求
[00:00:19.520 --> 00:00:20.520]  阿們
[00:00:20.520 --> 00:00:27.520]  不知道有多少弟兄姊妹都養寵物、養貓狗
[00:00:27.520 --> 00:00:29.520]  我沒有養貓狗
[00:00:29.520 --> 00:00:34.520]  在教會除了特別關照海龜的朋友之外
[00:00:34.520 --> 00:00:37.520]  我家養了三隻龜
[00:00:37.520 --> 00:00:39.520]  三隻淡水龜
[00:00:39.520 --> 00:00:42.520]  其中有一隻曾經很大食的
[00:00:42.520 --> 00:00:44.520]  所以叫牠做大食龜
[00:00:44.520 --> 00:00:49.520]  這隻龜都養了很多年
[00:00:49.520 --> 00:00:51.520]  這麼多年來牠都沒什麼
[00:00:51.520 --> 00:00:53.520]  不過早前患了一場大病
[00:00:53.520 --> 00:00:57.520]  於是這隻叫大食龜的龜
[00:00:57.520 --> 00:01:01.520]  半年來都不吃東西
[00:01:01.520 --> 00:01:07.520]  這隻淡水龜也不能浸水
[00:01:07.520 --> 00:01:09.520]  因為做了手術的緣故
[00:01:09.520 --> 00:01:13.520]  那段時間我每天都要花很多時間
[00:01:13.520 --> 00:01:19.520]  去額外照顧這隻不能浸水的水龜
[00:01:19.520 --> 00:01:22.520]  花了很多心力和時間
[00:01:22.520 --> 00:01:25.520]  我和太太帶牠去見獸醫
[00:01:25.520 --> 00:01:29.520]  除了登記了這隻龜的名字叫大食龜之外
[00:01:29.520 --> 00:01:31.520]  亦登記了我們的名字
[00:01:31.520 --> 00:01:35.520]  不過發覺姑娘很少會叫我們的名字
[00:01:35.520 --> 00:01:39.520]  她只會稱呼我們做大食龜的主人
[00:01:39.520 --> 00:01:41.520]  就叫我們去拿藥
[00:01:41.520 --> 00:01:45.520]  我就想,其實我是不是牠的主人呢?
[00:01:45.520 --> 00:01:48.520]  其實牠什麼時候聽過我的吩咐呢?
[00:01:48.520 --> 00:01:57.520]  沒有呀,牠是不是真的我的寵物呢?
[00:01:57.520 --> 00:02:02.520]  我是牠的寵物多些?
[00:02:02.520 --> 00:02:07.520]  早前每天花很多心機去照顧牠的時候
[00:02:07.520 --> 00:02:11.520]  我除了覺得牠的命在我手上
