
[00:00:00.000 --> 00:00:02.740]  我想只要你在教會一段時間,
[00:00:02.740 --> 00:00:07.380]  你一定會覺得我們教會真的是人多活動也多。
[00:00:07.380 --> 00:00:09.020]  活動是一個接一個,
[00:00:09.020 --> 00:00:10.500]  事其是一件又一件,
[00:00:10.500 --> 00:00:12.860]  真是沒完沒了。
[00:00:12.860 --> 00:00:15.820]  但其實在服事的過程當中,
[00:00:15.820 --> 00:00:18.900]  重要的倒不是新事或舊事,
[00:00:18.900 --> 00:00:21.700]  也不是多事或少事。
[00:00:21.700 --> 00:00:23.980]  重要的是在服事的過程當中,
[00:00:23.980 --> 00:00:27.500]  要保持一顆喜樂的心。
[00:00:27.500 --> 00:00:32.420]  雖然說喜樂是我們服事的一個溫度計,
[00:00:32.420 --> 00:00:34.740]  你知道保羅在寫菲律賓書的時候,
[00:00:34.740 --> 00:00:37.500]  其實他是在監獄裏面。
[00:00:37.500 --> 00:00:43.220]  能夠在監獄裏面不但自己沒有失去喜樂,
[00:00:43.220 --> 00:00:46.260]  還能夠勸導別人要喜樂,
[00:00:46.260 --> 00:00:48.780]  那真是不容易一件事情。
[00:00:48.780 --> 00:00:51.300]  他的祕訣在哪裏呢?
[00:00:51.300 --> 00:00:52.700]  從今天我們所讀的聖經,
[00:00:52.700 --> 00:00:55.700]  我們就看見保羅在監獄裏面
[00:00:55.700 --> 00:00:58.780]  這樣一個環境當中仍然能夠喜樂,
[00:00:58.780 --> 00:01:01.100]  有七大祕訣。
[00:01:01.100 --> 00:01:05.340]  跟你媽說你今天來有福了,跟她說。
[00:01:05.340 --> 00:01:07.780]  保羅的七個喜樂的祕訣。
[00:01:07.780 --> 00:01:10.140]  第一個,與人同宮的喜樂。
[00:01:10.140 --> 00:01:14.180]  跟你媽說與人同宮的喜樂。
[00:01:14.180 --> 00:01:15.940]  保羅在第一節裏面他就說,
[00:01:15.940 --> 00:01:18.580]  你們就是我的喜樂。
[00:01:18.580 --> 00:01:21.100]  他說弟兄們,你們就是我的喜樂。
[00:01:21.100 --> 00:01:24.820]  哇,真的是何等寶貴的一句話。
[00:01:24.820 --> 00:01:26.260]  很可能當你一讀到這句話,
[00:01:26.260 --> 00:01:27.260]  你第一個反應說,
[00:01:27.260 --> 00:01:30.780]  哇,一定是保羅有一批非常好的同宮嘛。
[00:01:30.780 --> 00:01:35.260]  既順服又聽話,沒有任何的牢騷埋怨。
[00:01:35.260 --> 00:01:36.620]  但事實上卻不是如此。
[00:01:36.620 --> 00:01:38.620]  第二節馬上他就說了,
[00:01:38.620 --> 00:01:43.020]  我勸友阿爹跟巡渡機在族裏要同心。
[00:01:43.020 --> 00:01:45.820]  換句話說是有點問題在那裏。
[00:01:45.820 --> 00:01:46.900]  第三節他又說,
[00:01:46.900 --> 00:01:49.700]  我求你這真實同富一惡的,
[00:01:49.700 --> 00:01:52.020]  幫助一下這兩個女人吧。
[00:01:52.020 --> 00:01:55.540]  在這裏他強調真實同富一惡。
[00:01:55.540 --> 00:01:56.540]  換句話說,
[00:01:56.540 --> 00:02:00.900]  也有一些人不見得是真實同富一惡的嘛。
[00:02:00.900 --> 00:02:04.740]  第二節,今天只要你在教會服侍過,
[00:02:04.740 --> 00:02:09.100]  你就應當知道教會的確是個不完美的地方。
[00:02:09.100 --> 00:02:09.940]  Amen?
[00:02:09.940 --> 00:02:14.100]  跟你們說教會是不完美的啦,跟他說。
[00:02:14.100 --> 00:02:18.100]  在教會當中我們的確會遇到各種形形色色的人,
[00:02:18.100 --> 00:02:21.740]  會做各種不同形形色色的事情。
[00:02:21.740 --> 00:02:25.380]  有些是出於好心,有些是出於自己的私意,
[00:02:25.380 --> 00:02:28.180]  有時候甚至叫你棄個半死。
[00:02:28.180 --> 00:02:29.580]  怎麼辦?
[00:02:29.580 --> 00:02:33.420]  保羅在這裏讓我們看見兩方面他的榜樣。
[00:02:33.420 --> 00:02:36.740]  第一個,他常常紀念別人的好處。
[00:02:36.740 --> 00:02:40.620]  跟你們說要常常紀念別人的好處。
[00:02:40.620 --> 00:02:44.940]  雖然友阿爹、巡渡機他們不同心,
[00:02:44.940 --> 00:02:46.580]  叫他很頭痛,
[00:02:46.580 --> 00:02:49.820]  但是他還是看見他們兩個人的好處。
[00:02:49.820 --> 00:02:51.300]  第三節他就怎麼說,
[00:02:51.300 --> 00:02:55.620]  因爲他們在福音上曾經與我一同勞苦嘛。
[00:02:55.620 --> 00:02:57.380]  還是一同勞苦過,
[00:02:57.380 --> 00:03:00.900]  他還是紀念這兩個人的好處。
[00:03:00.900 --> 00:03:04.820]  他總是看見別人的好處,紀念別人的好處。
[00:03:04.820 --> 00:03:09.100]  第二個,他常常看見神的恩典。
[00:03:09.100 --> 00:03:12.860]  跟你們說要常常看見神的恩典。
[00:03:12.860 --> 00:03:16.580]  他沒有看見教會有問題,
[00:03:16.580 --> 00:03:18.620]  他就覺得很失望。
[00:03:18.620 --> 00:03:24.420]  他更看見其實神已經賜給教會很多的恩典。
[00:03:24.420 --> 00:03:25.780]  所以第三節他說,
[00:03:25.780 --> 00:03:27.220]  其實我還有格力勉,
[00:03:27.220 --> 00:03:29.420]  還有其他與我一同做工的,
[00:03:29.420 --> 00:03:31.820]  他們的名字都在生命冊上嘛。
[00:03:31.820 --> 00:03:36.740]  他看見神已經賜給教會一批很好的童工了啦。
[00:03:36.740 --> 00:03:40.580]  爲這個原因,他的心中就有喜樂嘛。
[00:03:40.580 --> 00:03:43.980]  同樣的道理,今天當你在教會服事的時候,
[00:03:43.980 --> 00:03:45.940]  我知道有時候在我們教會服事,
