
[00:00:00.000 --> 00:00:05.000]  我們剛纔讀的這段經文就是耶穌在晚上
[00:00:05.000 --> 00:00:11.000]  就好像往年一樣叫門徒去預備食物
[00:00:11.000 --> 00:00:14.000]  每一家每一戶都是這樣的
[00:00:14.000 --> 00:00:19.000]  在巴勒斯坦地預備晚餐
[00:00:19.000 --> 00:00:27.000]  作爲爸爸的就是在家裏的祭司身份來主持晚餐
[00:00:27.000 --> 00:00:33.000]  桌上的食物當中我知道有些弟兄姐妹都曾經
[00:00:33.000 --> 00:00:39.000]  去過猶太會堂品嚐過的如月節晚餐究竟是怎樣
[00:00:39.000 --> 00:00:42.000]  不是什麼真羞百味
[00:00:42.000 --> 00:00:45.000]  什麼無窖餅 苦菜這些
[00:00:45.000 --> 00:00:48.000]  不一定是好喫的
[00:00:48.000 --> 00:00:56.000]  除了喫之外也是預備地方再思念他們的祖先
[00:00:56.000 --> 00:01:01.000]  出埃及的那段日子是怎樣的
[00:01:01.000 --> 00:01:07.000]  重述再講多一次當日的日子是怎樣的
[00:01:07.000 --> 00:01:14.000]  耶穌基督在這個晚餐當然是一個非比尋常的晚餐
[00:01:14.000 --> 00:01:19.000]  我們無論是看戲也好電視劇也好或者說笑也好或者很正經也好
[00:01:19.000 --> 00:01:26.000]  都會用一句話去形容這一餐叫做最後的晚餐
[00:01:26.000 --> 00:01:29.000]  畫也有畫過出來
[00:01:29.000 --> 00:01:32.000]  有時候我們買的紀念品也有
[00:01:32.000 --> 00:01:35.000]  最後的晚餐
[00:01:35.000 --> 00:01:46.000]  這個最後的晚餐其實在當中包含了一個永恆的應許在裏面
[00:01:46.000 --> 00:01:52.000]  而這個主餐的整個過程是互動的
[00:01:52.000 --> 00:01:56.000]  並不是說只是單方面是互動的
[00:01:56.000 --> 00:01:59.000]  耶穌在這裏做
[00:01:59.000 --> 00:02:01.000]  悶道也在這裏看
[00:02:01.000 --> 00:02:05.000]  不單止看 也在當中參與
[00:02:05.000 --> 00:02:12.000]  所以這個主餐並不是一個普通的晚餐
[00:02:12.000 --> 00:02:15.000]  而是一個很特別的晚餐
[00:02:15.000 --> 00:02:20.000]  今天就讓我們用這個晚餐的四個行動
[00:02:20.000 --> 00:02:24.000]  一同思想我們的信徒的生活
[00:02:24.000 --> 00:02:27.000]  讓我們一同禱告
[00:02:27.000 --> 00:02:29.000]  主也感激負神禰
[00:02:29.000 --> 00:02:34.000]  禰不單止降生 度成肉身來到我們當中
[00:02:34.000 --> 00:02:40.000]  也都是應許給我們在禰的裏面有一份永恆的盼望
[00:02:40.000 --> 00:02:43.000]  也都是透過今天我們的學習
[00:02:43.000 --> 00:02:46.000]  我們的思想一同重述
[00:02:46.000 --> 00:02:51.000]  重新去紀念主禰自己的大愛
[00:02:51.000 --> 00:02:55.000]  透過奉主耶穌基督的名字祈求
[00:02:55.000 --> 00:03:01.000]  在這個主餐 耶穌的第一個動作是什麼呢
[00:03:01.000 --> 00:03:04.000]  就是拿起餅來
[00:03:04.000 --> 00:03:08.000]  第一個動作 拿起餅來
[00:03:08.000 --> 00:03:15.000]  這個拿起餅來 經文裏面沒有說耶穌像我們去街市
[00:03:15.000 --> 00:03:20.000]  或者去服裝店買東西
[00:03:20.000 --> 00:03:25.000]  或者摸下它 捏下它 按下它
[00:03:25.000 --> 00:03:28.000]  買個西瓜 拍下它
[00:03:28.000 --> 00:03:33.000]  買榴蓮 按下它 撕下它 吸下它
[00:03:33.000 --> 00:03:37.000]  買件衣服 捏下它 搓搓它
[00:03:37.000 --> 00:03:40.000]  摸摸它 究竟是什麼料子
[00:03:40.000 --> 00:03:45.000]  對了 這樣纔買起它
[00:03:45.000 --> 00:03:49.000]  耶穌沒有做這個動作 經文裏面沒有這樣說
[00:03:49.000 --> 00:03:51.000]  而它就好像是什麼呢
[00:03:51.000 --> 00:03:56.000]  我們心中裏面有一些已經信得過的品牌
[00:03:56.000 --> 00:03:59.000]  一些東西 行了 就這樣買就行了
[00:03:59.000 --> 00:04:02.000]  連什麼東西都不用管
[00:04:02.000 --> 00:04:05.000]  我們買罐頭不會說 打開罐頭來試一試
[00:04:05.000 --> 00:04:07.000]  看看它香不香
[00:04:07.000 --> 00:04:09.000]  買汽水不會說捏開它
[00:04:09.000 --> 00:04:14.000]  摸摸它 這個糖分多了一點點
[00:04:14.000 --> 00:04:16.000]  不會這樣做的
[00:04:16.000 --> 00:04:20.000]  買粒鑽石
[00:04:20.000 --> 00:04:22.000]  我們這些不識貨就行了
[00:04:22.000 --> 00:04:24.000]  買一粒過來就行了
[00:04:24.000 --> 00:04:27.000]  識貨的當然是選擇一下
[00:04:27.000 --> 00:04:29.000]  有些是這樣的
[00:04:29.000 --> 00:04:31.000]  有些情況就是選擇還是不選擇
[00:04:31.000 --> 00:04:36.000]  隨手就拿上身 拿上手就是了
[00:04:36.000 --> 00:04:39.000]  小時候也是這樣
[00:04:39.000 --> 00:04:42.000]  小的時候媽媽要打我的時候
[00:04:42.000 --> 00:04:45.000]  隨手一拿起什麼就打就打
[00:04:45.000 --> 00:04:48.000]  信得過拖鞋也好 藤條也好
[00:04:48.000 --> 00:04:50.000]  就是這樣
[00:04:50.000 --> 00:04:52.000]  這塊餅也是
[00:04:52.000 --> 00:04:55.000]  耶穌沒有想過任何的東西
[00:04:55.000 --> 00:04:57.000]  只不過說這裏有一塊木教餅
[00:04:57.000 --> 00:05:01.000]  看到有的就拿了上來
[00:05:01.000 --> 00:05:05.000]  萬不驚心的就將這個餅拿上來
[00:05:05.000 --> 00:05:09.000]  而這個是被揀選的一個動作
[00:05:09.000 --> 00:05:12.000]  被揀選的一個動作
[00:05:12.000 --> 00:05:15.000]  在這裏每一個回到神的教會里面
[00:05:15.000 --> 00:05:18.000]  每一個都是被揀選
[00:05:18.000 --> 00:05:23.000]  剛纔守靈隊用唱述父神大全能
[00:05:23.000 --> 00:05:26.000]  這首詩歌爲我們做了一個開場
[00:05:26.000 --> 00:05:29.000]  我們就這樣聽詩歌已經很宏偉
[00:05:29.000 --> 00:05:33.000]  當我們再唱這首詩歌第十八首的時候
[00:05:33.000 --> 00:05:35.000]  唱述父神偉大全能的時候
[00:05:35.000 --> 00:05:37.000]  就更加偉大了
[00:05:37.000 --> 00:05:39.000]  就知道原來這首詩歌背後
[00:05:39.000 --> 00:05:42.000]  講述神的偉大
[00:05:42.000 --> 00:05:46.000]  主席也是爲了感謝天父
[00:05:46.000 --> 00:05:49.000]  這個創造給我們
[00:05:49.000 --> 00:05:52.000]  人有生命和氣息來感謝神
[00:05:52.000 --> 00:05:55.000]  每一個都是在這裏的每一個
[00:05:55.000 --> 00:05:57.000]  神所創造的
[00:05:57.000 --> 00:05:59.000]  神所給我們的生命和氣息
[00:05:59.000 --> 00:06:01.000]  都是最好的
[00:06:01.000 --> 00:06:03.000]  就好像創世紀
[00:06:03.000 --> 00:06:05.000]  神對他所創造的每一樣事物
[00:06:05.000 --> 00:06:10.000]  講的一個字就是好
[00:06:10.000 --> 00:06:12.000]  好這個字
[00:06:12.000 --> 00:06:15.000]  不同人去到講好
[00:06:15.000 --> 00:06:17.000]  我們的心情都是不同的
[00:06:17.000 --> 00:06:19.000]  我不懂得畫畫
[00:06:19.000 --> 00:06:21.000]  我昨天畫了一些東西的時候
[00:06:21.000 --> 00:06:24.000]  畫了之後有個小朋友過來
[00:06:24.000 --> 00:06:25.000]  說畫得很好
[00:06:25.000 --> 00:06:29.000]  叔叔你這些是怎樣的
[00:06:29.000 --> 00:06:31.000]  講了很多好的說話
[00:06:31.000 --> 00:06:33.000]  當然說多謝
[00:06:33.000 --> 00:06:35.000]  如果一個張大千過來
[00:06:35.000 --> 00:06:38.000]  那你說這幅畫很有意境
[00:06:38.000 --> 00:06:41.000]  很有味道很有深度
[00:06:41.000 --> 00:06:43.000]  那個心情是怎樣的
[00:06:43.000 --> 00:06:45.000]  當然是嘎嘣很多
[00:06:45.000 --> 00:06:49.000]  張大千說這幅畫好
[00:06:49.000 --> 00:06:53.000]  當然已經不在了
[00:06:53.000 --> 00:06:57.000]  神對他所創造的事物都說好
[00:06:57.000 --> 00:06:59.000]  你說那個程度
[00:06:59.000 --> 00:07:01.000]  好到那個程度是怎樣
[00:07:01.000 --> 00:07:02.000]  就是近乎
