
[00:00:00.000 --> 00:00:02.000]  今日嘅題目係乜嘢呀
[00:00:02.000 --> 00:00:06.000]  大聲啲呀
[00:00:06.000 --> 00:00:08.000]  原來我眼淚汪汪
[00:00:08.000 --> 00:00:10.000]  其實點解揀呢個題目呢
[00:00:10.000 --> 00:00:12.000]  好簡單
[00:00:12.000 --> 00:00:15.000]  因為我係一個好少喊嘅人
[00:00:15.000 --> 00:00:17.000]  認識我嘅人知道呢
[00:00:17.000 --> 00:00:19.000]  我係好少喊嘅
[00:00:19.000 --> 00:00:21.000]  唔係我唔想喊
[00:00:21.000 --> 00:00:23.000]  我係好難喊得出嘅人
[00:00:23.000 --> 00:00:25.000]  我都想問下
[00:00:25.000 --> 00:00:27.000]  有幾多大英姐妹你好少喊嘅
[00:00:29.000 --> 00:00:31.000]  冇乜人舉手
[00:00:31.000 --> 00:00:33.000]  原來我咁特別嘅
[00:00:33.000 --> 00:00:36.000]  有幾多大英姐妹係容易喊嘅
[00:00:36.000 --> 00:00:41.000]  頭先唔舉手嗰啲係直情唔識喊嘅
[00:00:41.000 --> 00:00:45.000]  我好難喊嘅
[00:00:45.000 --> 00:00:47.000]  我記得
[00:00:47.000 --> 00:00:50.000]  除咗細個嘅時候畀阿爸打喊之外呢
[00:00:50.000 --> 00:00:56.000]  89年六四嘅時候
[00:00:56.000 --> 00:00:59.000]  我喺英國最後一年
[00:00:59.000 --> 00:01:02.000]  面對我最後一年嘅大考
[00:01:02.000 --> 00:01:04.000]  六月
[00:01:04.000 --> 00:01:07.000]  冇心機讀書淨係步住個電視機前面
[00:01:07.000 --> 00:01:09.000]  喊
[00:01:09.000 --> 00:01:12.000]  跟住好耐都冇試過喊
[00:01:12.000 --> 00:01:15.000]  再之前嗰次喊
[00:01:15.000 --> 00:01:18.000]  就係喺英國讀書嘅時候
[00:01:18.000 --> 00:01:20.000]  有次我睇小說
[00:01:20.000 --> 00:01:22.000]  睇中文小說
[00:01:22.000 --> 00:01:25.000]  因為英國冇乜幾可有中文嘢睇呀
[00:01:26.000 --> 00:01:28.000]  咁睇到一本傷痕文學
[00:01:28.000 --> 00:01:30.000]  講到文革嘅
[00:01:30.000 --> 00:01:32.000]  我喊
[00:01:32.000 --> 00:01:36.000]  返到嚟香港都好少喊
[00:01:36.000 --> 00:01:38.000]  我記得有次
[00:01:38.000 --> 00:01:41.000]  睇報紙啦
[00:01:41.000 --> 00:01:42.000]  仲有報紙嘅時候
[00:01:42.000 --> 00:01:44.000]  我仲未買報紙嘅時候
[00:01:44.000 --> 00:01:45.000]  好多年前
[00:01:45.000 --> 00:01:47.000]  睇到一則新聞喊
[00:01:47.000 --> 00:01:50.000]  就係見到一個嘅爸爸
[00:01:50.000 --> 00:01:54.000]  為咗救佢歲幾兩歲嘅小朋友
[00:01:55.000 --> 00:01:57.000]  被車車死
[00:01:57.000 --> 00:01:58.000]  車死嘅時候
[00:01:58.000 --> 00:02:01.000]  懷裏面仲抱住佢嘅小朋友
[00:02:01.000 --> 00:02:03.000]  佢嘅小朋友得以生存
[00:02:03.000 --> 00:02:06.000]  就係為爹地嘅愛
[00:02:06.000 --> 00:02:08.000]  嗰時候喊
[00:02:08.000 --> 00:02:11.000]  所以有啲時候
[00:02:11.000 --> 00:02:15.000]  我見到人喊
[00:02:15.000 --> 00:02:17.000]  我自己都想喊
[00:02:17.000 --> 00:02:18.000]  但喊唔出
[00:02:18.000 --> 00:02:20.000]  我就會好羨慕
[00:02:20.000 --> 00:02:22.000]  嚟到呢度
[00:02:22.000 --> 00:02:23.000]  今日講
[00:02:23.000 --> 00:02:26.000]  耶利米斯第十四章十七到二十二節
[00:02:26.000 --> 00:02:27.000]  有聖經嘅
[00:02:27.000 --> 00:02:28.000]  同我翻開
[00:02:28.000 --> 00:02:32.000]  耶利米斯第十四章十七到二十二節
[00:02:32.000 --> 00:02:34.000]  當我睇到呢度嘅時候
[00:02:34.000 --> 00:02:35.000]  佢話
[00:02:35.000 --> 00:02:37.000]  你要向他們說這些話
