
[00:00:00.000 --> 00:00:02.300]  使徒信經第三個部份是講到聖靈
[00:00:02.300 --> 00:00:04.060]  而今日我會講到聖靈
[00:00:04.060 --> 00:00:06.900]  可以說是最後一篇的講章
[00:00:06.900 --> 00:00:09.100]  關於聖靈的工作
[00:00:09.100 --> 00:00:10.400]  因為我相信
[00:00:10.400 --> 00:00:13.300]  我們差不多要知道的
[00:00:13.300 --> 00:00:15.200]  是去到這裡為止
[00:00:15.200 --> 00:00:17.300]  當然我上一次講到聖靈的洗
[00:00:17.300 --> 00:00:20.300]  我們說是耶穌親自施洗
[00:00:20.300 --> 00:00:24.100]  是為我們用聖靈和火來施洗
[00:00:24.100 --> 00:00:25.000]  但另一方面
[00:00:25.000 --> 00:00:27.300]  我們也看到聖經很多時候講
[00:00:27.300 --> 00:00:28.500]  聖靈的充滿
[00:00:28.500 --> 00:00:30.500]  甚至我上一次引用的聖經
[00:00:30.500 --> 00:00:32.700]  去到司徒仁傳第二章第四節
[00:00:32.700 --> 00:00:35.300]  那裡從來沒有講到是聖靈的洗
[00:00:35.300 --> 00:00:37.600]  那裡只是講到聖靈的充滿
[00:00:37.600 --> 00:00:39.500]  以致我們很多時候看聖經
[00:00:39.500 --> 00:00:42.100]  我們發覺究竟什麼叫聖靈的洗
[00:00:42.100 --> 00:00:43.300]  什麼叫聖靈的充滿
[00:00:43.300 --> 00:00:45.700]  究竟聖靈的洗是不是等同聖靈的充滿
[00:00:45.700 --> 00:00:47.300]  或者我們聖靈的囂觀
[00:00:47.300 --> 00:00:48.900]  是不是等同聖靈的充滿
[00:00:48.900 --> 00:00:49.700]  或者聖靈的洗
[00:00:49.700 --> 00:00:51.500]  我們很多時候有這個混淆
[00:00:51.500 --> 00:00:53.900]  當然我們在這個過程裡
[00:00:53.900 --> 00:00:55.300]  混淆的原因
[00:00:55.300 --> 00:00:56.500]  就是因為很多時候
[00:00:56.500 --> 00:00:58.100]  我們對聖靈的洗
[00:00:58.100 --> 00:01:00.500]  我們根本就不會去了解
[00:01:00.500 --> 00:01:01.500]  包括我自己
[00:01:01.500 --> 00:01:02.500]  我不敢講他們
[00:01:02.500 --> 00:01:03.300]  是我自己
[00:01:03.300 --> 00:01:04.900]  因為我的牧師教導我們
[00:01:04.900 --> 00:01:05.900]  就算我們播道會
[00:01:05.900 --> 00:01:06.900]  一直都這樣強調
[00:01:06.900 --> 00:01:08.500]  就是當你信耶穌那一天
[00:01:08.500 --> 00:01:11.300]  你已經受了聖靈的洗
[00:01:11.300 --> 00:01:12.300]  如果信耶穌那一天
[00:01:12.300 --> 00:01:13.700]  你已經受了聖靈的洗
[00:01:13.700 --> 00:01:15.700]  聖靈已經內在我們的生命當中
[00:01:15.700 --> 00:01:16.700]  這些全部是對的
[00:01:16.700 --> 00:01:17.500]  全部是對的
[00:01:17.500 --> 00:01:18.900]  是內在我們的生命當中
[00:01:18.900 --> 00:01:19.700]  但另一方面
[00:01:19.700 --> 00:01:21.500]  就因著我們說一信耶穌
[00:01:21.500 --> 00:01:22.900]  已經受了聖靈的洗
[00:01:22.900 --> 00:01:25.700]  以致我們從來都不去嘗試
[00:01:25.700 --> 00:01:28.900]  文化牧師什麼叫做聖靈的洗
[00:01:28.900 --> 00:01:29.900]  加上聖經那一篇
[00:01:29.900 --> 00:01:31.900]  也不是經常出現這四個字
[00:01:31.900 --> 00:01:34.300]  所以我們很多時候都會忽略
[00:01:34.300 --> 00:01:35.500]  但我想跟大家說
[00:01:35.500 --> 00:01:37.300]  今天聖靈的洗
[00:01:37.300 --> 00:01:38.100]  很清楚的
[00:01:38.100 --> 00:01:39.300]  在《釋迦夫人書》
[00:01:39.300 --> 00:01:40.300]  講得很清楚的
[00:01:40.300 --> 00:01:44.300]  是耶穌基督親自為我們施洗
[00:01:44.300 --> 00:01:47.700]  是用聖靈和火來為我們施洗
[00:01:47.700 --> 00:01:49.500]  這個是耶穌的主權
[00:01:49.500 --> 00:01:51.700]  祂何時給我們有聖靈的洗
[00:01:51.700 --> 00:01:53.100]  祂有祂的主權
[00:01:53.100 --> 00:01:55.700]  我們不敢去過問主的主權
[00:01:55.700 --> 00:01:56.700]  但另一方面
[00:01:56.700 --> 00:01:58.500]  這個不會牽涉我們救人
[00:01:58.500 --> 00:01:59.700]  因為聖靈的工作
[00:01:59.700 --> 00:02:01.300]  是令到我們的知罪
[00:02:01.300 --> 00:02:03.100]  令到我們可以去接受耶穌
[00:02:03.100 --> 00:02:04.500]  可以相信耶穌
[00:02:04.500 --> 00:02:05.900]  可以肯定耶穌是真神
[00:02:05.900 --> 00:02:07.100]  可以接受耶穌基督
[00:02:07.100 --> 00:02:08.700]  成為我們的個人救主
[00:02:08.700 --> 00:02:10.700]  甚至我相信聖靈的工作
[00:02:10.700 --> 00:02:13.900]  是帶我們去過一個誠信的生活
[00:02:13.900 --> 00:02:15.100]  所以弟兄姊妹
[00:02:15.100 --> 00:02:17.100]  聖靈的洗和聖靈的充滿
[00:02:17.100 --> 00:02:19.500]  的而且確是有不同的
[00:02:19.500 --> 00:02:20.900]  但在不同當中
[00:02:20.900 --> 00:02:22.900]  也都有很多不同的觀點
[00:02:22.900 --> 00:02:24.900]  就是說會不會聖靈的洗
[00:02:24.900 --> 00:02:28.300]  是等同聖靈的充滿的第一次呢
[00:02:28.300 --> 00:02:29.300]  這個不出奇
[00:02:29.300 --> 00:02:30.300]  有人會這樣說
[00:02:30.300 --> 00:02:32.700]  但今天我們嘗試回去聖經
[00:02:32.700 --> 00:02:36.100]  究竟為什麼我們會混亂了
[00:02:36.100 --> 00:02:38.900]  聖靈的洗和聖靈的充滿
[00:02:38.900 --> 00:02:42.300]  我們嘗試先看看聖經的翻譯
[00:02:42.300 --> 00:02:45.100]  我們看看《司徒函傳》第二章第四節
[00:02:45.100 --> 00:02:49.100]  和《已忽索書》第五章第十八節兩段聖經
[00:02:49.100 --> 00:02:50.900]  當我們看回這兩段聖經的時候
[00:02:50.900 --> 00:02:53.300]  我們也發覺翻譯本
[00:02:53.300 --> 00:02:56.100]  都是講到被聖靈充滿
[00:02:56.100 --> 00:02:58.300]  無論是《司徒函傳》第二章第四節
[00:02:58.300 --> 00:03:00.100]  他說這班人一百二十人
[00:03:00.100 --> 00:03:02.500]  他們都被聖靈充滿
[00:03:02.500 --> 00:03:05.900]  於是就講起別國的華來
[00:03:05.900 --> 00:03:07.500]  而同樣在《已忽索書》
[00:03:07.500 --> 00:03:08.900]  保羅很清楚的
[00:03:08.900 --> 00:03:10.300]  他們不要醉酒
[00:03:10.300 --> 00:03:11.900]  酒能使人放蕩
[00:03:11.900 --> 00:03:14.500]  乃要被聖靈充滿
[00:03:14.500 --> 00:03:16.900]  當然我們看回這兩個翻譯
