
[00:00:00.000 --> 00:00:03.800]  主,讓我們每一位坦然無懼的來到您的先神寶座面前
[00:00:03.800 --> 00:00:06.600]  為獨一的真神愛我們的主
[00:00:06.600 --> 00:00:09.600]  主,釋放您自己的復活大能淋在我們當中
[00:00:09.600 --> 00:00:12.200]  宣告祢的慈愛永遠長存
[00:00:12.200 --> 00:00:14.000]  在我們的弟兄姊妹的生命裏面
[00:00:14.000 --> 00:00:15.800]  主,打開我們的心,打開我們的靈
[00:00:15.800 --> 00:00:17.200]  令我們的靈願受祢
[00:00:17.200 --> 00:00:18.200]  我們奉耶穌基督的名
[00:00:18.200 --> 00:00:19.800]  吩咐一切驕傲、心硬
[00:00:19.800 --> 00:00:21.200]  攔阻我們親近祢的
[00:00:21.200 --> 00:00:22.400]  要離開我們的弟兄姊妹
[00:00:22.400 --> 00:00:24.000]  我們宣告祢是我們的主
[00:00:24.000 --> 00:00:25.000]  祢是我們的王
[00:00:25.000 --> 00:00:27.400]  讓真理的靈來到教導我們
[00:00:27.400 --> 00:00:28.600]  明白祢的心
[00:00:28.600 --> 00:00:30.800]  並且信服祢的旨意
[00:00:30.800 --> 00:00:32.200]  讓祢的兒女在祢的愛裏面
[00:00:32.200 --> 00:00:34.200]  一起去經歷領受祢
[00:00:34.200 --> 00:00:35.000]  主,讓我們多謝祢
[00:00:35.000 --> 00:00:35.800]  我們讚美祢
[00:00:35.800 --> 00:00:38.800]  禱告,是奉耶穌基督得赦的名
[00:00:38.800 --> 00:00:40.800]  Amen,等姐妹請坐
[00:00:40.800 --> 00:00:46.400]  在公元2008年
[00:00:46.400 --> 00:00:49.400]  一代梟雄曹操訓練八十萬大軍
[00:00:49.400 --> 00:00:51.800]  想一舉殲滅東吳
[00:00:51.800 --> 00:00:53.600]  統一天下
[00:00:53.600 --> 00:00:58.000]  當大軍去到長江的赤壁駐紮
[00:00:58.000 --> 00:00:59.800]  對面就是東吳
[00:00:59.800 --> 00:01:02.400]  當時東吳的主帥周瑜
[00:01:02.400 --> 00:01:05.000]  覺得曹操雖然人多勢眾
[00:01:05.000 --> 00:01:06.800]  但這班全部都是北方人
[00:01:06.800 --> 00:01:07.800]  不懂游泳
[00:01:07.800 --> 00:01:09.400]  不善於打水戰
[00:01:09.400 --> 00:01:11.400]  再加上他們長途跋涉來到
[00:01:11.400 --> 00:01:13.400]  一定很疲倦
[00:01:13.400 --> 00:01:15.800]  而且這麼遠補給很困難
[00:01:15.800 --> 00:01:17.600]  軍糧未必足夠
[00:01:17.600 --> 00:01:21.800]  所以東吳聯合劉備一起共抗曹兵
[00:01:21.800 --> 00:01:24.200]  又未必會輸
[00:01:24.200 --> 00:01:27.200]  因為當時曹操兵力強大
[00:01:27.200 --> 00:01:30.800]  所以周瑜打算用火攻
[00:01:30.800 --> 00:01:34.800]  再加上三個三大計謀
[00:01:34.800 --> 00:01:37.000]  第一,反間計
[00:01:37.000 --> 00:01:42.800]  有史到曹操殺了當時水軍的主帥
[00:01:42.800 --> 00:01:43.800]  連環計
[00:01:43.800 --> 00:01:47.400]  因為北方人渾船浪,怕作嘔
[00:01:47.400 --> 00:01:54.200]  於是有計令到曹操把船綁在一起
[00:01:54.200 --> 00:01:57.600]  大隻船就沒那麼容易暈浪
[00:01:57.600 --> 00:01:59.800]  再加上第三計,俯辱計
[00:01:59.800 --> 00:02:03.000]  佈置內應,裡應外合
[00:02:03.000 --> 00:02:05.800]  當一切準備得七七八八的時候
[00:02:05.800 --> 00:02:08.000]  周瑜就站在山頂上
[00:02:08.000 --> 00:02:10.400]  遠望曹操的大型
[00:02:10.400 --> 00:02:13.400]  覺得勝算在握
[00:02:13.400 --> 00:02:16.400]  就在這個時間突然刮起一陣風
[00:02:16.400 --> 00:02:19.600]  軍旗旗尾拍到周瑜的臉
[00:02:19.600 --> 00:02:21.600]  周瑜望一望,想一想
[00:02:21.600 --> 00:02:25.800]  糟糕,曹操在北邊,我們在南邊
[00:02:25.800 --> 00:02:29.600]  現在是冬天,通常吹西北風
[00:02:29.600 --> 00:02:32.400]  如果我們用火攻,不但燒不到曹操
[00:02:32.400 --> 00:02:34.800]  還會燒到我們,那怎麼辦?
[00:02:34.800 --> 00:02:36.400]  無計可施
[00:02:36.400 --> 00:02:38.200]  周瑜一想就病了
[00:02:38.200 --> 00:02:41.400]  醫生開了很多藥,但醫治不好
[00:02:41.400 --> 00:02:43.200]  就在這個時間
[00:02:43.200 --> 00:02:46.800]  劉備的軍師朱國亮就來找周瑜
[00:02:46.800 --> 00:02:52.600]  他說,我有一劑特效藥,一定可以醫好你
[00:02:52.600 --> 00:02:55.200]  於是就寫了十六個字
[00:02:55.200 --> 00:02:58.600]  欲破曹功,而用火攻
[00:02:58.600 --> 00:03:02.600]  萬事俱備,只欠東風
[00:03:02.600 --> 00:03:04.400]  周瑜一望,馬上痊癒
[00:03:04.400 --> 00:03:08.400]  馬上走過去找朱國亮求教
[00:03:08.400 --> 00:03:10.200]  從此之後就有一句成語
[00:03:10.200 --> 00:03:14.200]  叫做萬事俱備,只欠東風
[00:03:14.200 --> 00:03:17.800]  即是最後一個條件都預備好
[00:03:17.800 --> 00:03:24.000]  就一切準備就緒,準備周全,準備好了
[00:03:24.000 --> 00:03:27.800]  在路加福音裡面,耶穌都叫我們每一位準備好
[00:03:27.800 --> 00:03:30.800]  準備好什麼?準備好認識神的國
[00:03:30.800 --> 00:03:34.600]  第一件事,第二件事就是努力進入神的國
[00:03:34.600 --> 00:03:36.000]  什麼是神的國?
[00:03:36.000 --> 00:03:38.400]  如果大家打開聖經,很多神的國
[00:03:38.400 --> 00:03:40.000]  也可以有很多天國
[00:03:40.000 --> 00:03:41.800]  神的國就是天國
[00:03:41.800 --> 00:03:43.800]  神的國和天國是什麼意思?
[00:03:43.800 --> 00:03:47.400]  就是神話事的地方,神掌權的地方
[00:03:47.400 --> 00:03:51.200]  神掌管的地方,統合的地方
[00:03:51.200 --> 00:03:53.200]  換句話說,當人接受耶穌
[00:03:53.200 --> 00:03:55.600]  他的生命被神話事掌管
[00:03:55.600 --> 00:03:58.800]  他就在天國裡面,他就進入天國了
[00:03:58.800 --> 00:04:00.400]  天國是什麼時候開始的?
[00:04:00.400 --> 00:04:02.200]  在舊約聖經時代開始的
