
[00:00:00.000 --> 00:00:02.640]  很高興再次和大家在港台見面
[00:00:02.640 --> 00:00:05.360]  很高興再次在講台上跟大家見面
[00:00:05.360 --> 00:00:09.320]  剛才領事和我們唱了幾首很好聽的歌
[00:00:09.320 --> 00:00:11.960]  剛才領事和我們唱了幾首很好聽的歌
[00:00:11.960 --> 00:00:15.800]  給我最大感動的是那首《如果我能唱》
[00:00:15.800 --> 00:00:18.840]  讓我最大感動的那首是《如果我能唱》
[00:00:18.840 --> 00:00:21.560]  不知道大家熟不熟悉背後的故事
[00:00:21.560 --> 00:00:24.440]  不知道大家熟不熟悉背後的故事呢
[00:00:24.440 --> 00:00:27.480]  《如果我能唱》是一首非常好聽的歌
[00:00:27.480 --> 00:00:30.000]  《如果我能唱》是一首非常好聽的歌
[00:00:30.000 --> 00:00:32.520]  但是她背後的故事更加震撼
[00:00:32.520 --> 00:00:35.440]  但是她背後的故事更加震撼
[00:00:35.440 --> 00:00:38.520]  她作曲是黃麗玲姐妹
[00:00:38.520 --> 00:00:41.840]  她作曲是黃麗玲姐妹
[00:00:41.840 --> 00:00:45.520]  她曾經來過我們教會
[00:00:45.520 --> 00:00:46.960]  她曾經來我們的教會
[00:00:46.960 --> 00:00:48.880]  我想有十年前
[00:00:48.880 --> 00:00:50.080]  應該有十年前
[00:00:50.080 --> 00:00:52.160]  給了我們一些聲樂的訓練
[00:00:52.160 --> 00:00:55.480]  她給了我們一些聲樂的訓練
[00:00:55.480 --> 00:00:58.680]  是一個在台灣很出色的音樂老師
[00:00:58.680 --> 00:01:01.800]  她在台灣是一個很出色的音樂老師
[00:01:01.800 --> 00:01:05.120]  早期還沒有讚美之泉之前
[00:01:05.120 --> 00:01:08.760]  她已經在天韻視團作了很多歌
[00:01:08.760 --> 00:01:10.280]  還沒有讚美之泉之前
[00:01:10.280 --> 00:01:13.200]  她在天韻已經作了許多很美好的詩歌
[00:01:13.200 --> 00:01:16.040]  今天主要講的是作詞的那個
[00:01:16.040 --> 00:01:18.400]  但今天我們主要講的是作詞的那個
[00:01:18.400 --> 00:01:21.120]  作詞的那個叫做黃美蓮
[00:01:21.120 --> 00:01:23.560]  作詞的那個人叫黃美蓮
[00:01:23.560 --> 00:01:26.680]  黃美蓮是在台灣出生的
[00:01:26.680 --> 00:01:28.600]  黃美蓮是在台灣出生
[00:01:28.600 --> 00:01:31.040]  她出生的時候因為一些意外
[00:01:31.040 --> 00:01:33.120]  所以她終身殘廢
[00:01:33.120 --> 00:01:35.560]  因為出生的時候發生了一些意外
[00:01:35.560 --> 00:01:36.880]  她是終身殘廢
[00:01:36.880 --> 00:01:41.040]  其實是跟她接生的醫生或護士疏忽了
[00:01:41.040 --> 00:01:46.200]  是應該跟她接生的醫生或護士疏忽
[00:01:46.200 --> 00:01:48.240]  使她的腦神經損壞了
[00:01:48.240 --> 00:01:49.800]  使她的腦神經損壞了
[00:01:49.800 --> 00:01:54.240]  所以她的肌肉是長期抽筋的
[00:01:54.240 --> 00:01:56.720]  所以她肌肉是長期的抽搐
[00:01:56.720 --> 00:01:58.440]  大家試過有時候做運動
[00:01:58.440 --> 00:02:00.400]  可能熱身不夠會抽筋
[00:02:00.400 --> 00:02:03.960]  就是說大家平常做運動之前還沒有熱身
[00:02:03.960 --> 00:02:05.200]  就會抽筋一樣
[00:02:05.200 --> 00:02:07.120]  抽筋很痛的是不是?
[00:02:07.120 --> 00:02:08.360]  抽筋的時候我們會覺得很痛
[00:02:08.360 --> 00:02:10.320]  但是你可不可以想像她長期
[00:02:10.320 --> 00:02:13.320]  她全身的肌肉是收得很緊的感覺
[00:02:13.320 --> 00:02:18.200]  但是她是在長期中肌肉收縮得很緊
[00:02:18.200 --> 00:02:21.760]  使她無法說話
[00:02:21.760 --> 00:02:23.360]  使她無法說話
[00:02:23.360 --> 00:02:25.840]  更加不能走路
[00:02:25.840 --> 00:02:26.880]  更加不能走路
[00:02:26.880 --> 00:02:29.960]  連脖子也不能自由地活動
[00:02:29.960 --> 00:02:32.080]  連脖子也不能自由地活動
[00:02:32.080 --> 00:02:35.080]  所以很小的時候醫生已經說是無藥可救
[00:02:35.080 --> 00:02:37.040]  要終身殘廢
