
[00:00:00.000 --> 00:00:04.000]  今日是十二月幾多號呀?
[00:00:04.000 --> 00:00:06.000]  十二月二號
[00:00:06.000 --> 00:00:07.600]  昨日一號
[00:00:07.600 --> 00:00:09.600]  如果在教會年曆裏面
[00:00:09.600 --> 00:00:11.600]  大家今日如果留意一開始的時候
[00:00:11.600 --> 00:00:13.600]  是張臨期第一周
[00:00:13.600 --> 00:00:15.600]  甚麼叫張臨期呀?
[00:00:15.600 --> 00:00:17.600]  過了幾年應該大家都開始知道
[00:00:17.600 --> 00:00:19.600]  甚麼叫張臨期呀?
[00:00:19.600 --> 00:00:21.600]  開始
[00:00:21.600 --> 00:00:23.600]  準備自己去紀念
[00:00:23.600 --> 00:00:25.600]  主耶穌基督的降生
[00:00:25.600 --> 00:00:27.600]  還有
[00:00:27.600 --> 00:00:29.600]  我們準備自己
[00:00:29.600 --> 00:00:31.600]  迎接主耶穌基督的再來
[00:00:31.600 --> 00:00:33.600]  第二次的降生
[00:00:33.600 --> 00:00:35.600]  明不明白呀?
[00:00:35.600 --> 00:00:37.600]  第二次的再來
[00:00:37.600 --> 00:00:39.600]  這個就是張臨期的意思
[00:00:39.600 --> 00:00:41.600]  在教會年曆裏面
[00:00:41.600 --> 00:00:43.600]  即是等於教會的新年
[00:00:43.600 --> 00:00:47.600]  這個就是張臨期
[00:00:47.600 --> 00:00:49.600]  新年當然有些新意
[00:00:49.600 --> 00:00:51.600]  我們有甚麼新意呀?
[00:00:51.600 --> 00:00:53.600]  第一個大家都經驗到的
[00:00:53.600 --> 00:00:55.600]  時間限
[00:00:55.600 --> 00:00:57.600]  今天幾點來到呀?
[00:00:57.600 --> 00:00:59.600]  九點半
[00:00:59.600 --> 00:01:01.600]  我們開始有些新意
[00:01:01.600 --> 00:01:03.600]  第二大家有沒有留意後面呀?
[00:01:03.600 --> 00:01:05.600]  我們有綠色的牌
[00:01:05.600 --> 00:01:07.600]  寫著甚麼呀?
[00:01:07.600 --> 00:01:09.600]  祈禱區
[00:01:09.600 --> 00:01:11.600]  我們
[00:01:11.600 --> 00:01:13.600]  第一堂
[00:01:13.600 --> 00:01:15.600]  第二堂完了之後
[00:01:15.600 --> 00:01:17.600]  後面我們開放給弟兄姊妹
[00:01:17.600 --> 00:01:19.600]  留在這裏彼此代禱
[00:01:19.600 --> 00:01:21.600]  我們都有教會
[00:01:21.600 --> 00:01:23.600]  有弟兄姊妹在後面
