
[00:00:00.000 --> 00:00:06.000]  我們很快又來到《雅各書》的第八講
[00:00:06.000 --> 00:00:09.920]  今天的題目是「反映信仰的行為」
[00:00:09.920 --> 00:00:11.400]  剛才我們讀了經文
[00:00:11.400 --> 00:00:21.920]  十三節裏面有十次提到信心
[00:00:21.920 --> 00:00:28.400]  但是這個不是指我們有沒有信心去考到我們的車牌
[00:00:28.400 --> 00:00:30.880]  有沒有信心去做好這件事
[00:00:30.880 --> 00:00:34.240]  那個是指confidence
[00:00:34.240 --> 00:00:38.000]  這裏指的是我們的信仰
[00:00:38.000 --> 00:00:42.120]  我們的信仰就是我們在基督裏面那份的信念
[00:00:42.120 --> 00:00:43.640]  那份的信心
[00:00:43.640 --> 00:00:45.480]  那份的信靠
[00:00:45.480 --> 00:00:47.240]  有深層的意義
[00:00:47.240 --> 00:00:49.120]  英文聖經亦叫做faith
[00:00:49.120 --> 00:00:51.640]  這個比較貼切
[00:00:51.640 --> 00:00:55.600]  反映信仰的行為
[00:00:55.600 --> 00:00:57.920]  但是一講到信心
[00:00:57.920 --> 00:00:59.880]  講到信
[00:00:59.880 --> 00:01:03.440]  我不期然就想起這個故事
[00:01:03.440 --> 00:01:05.600]  相信在座當中很多人都聽過
[00:01:05.600 --> 00:01:07.120]  不知道多少次
[00:01:07.120 --> 00:01:08.120]  是不是?
[00:01:08.120 --> 00:01:11.080]  有沒有見過這幅照片?
[00:01:11.080 --> 00:01:13.920]  這個是一個很經典的
[00:01:13.920 --> 00:01:16.640]  講到信心的故事
[00:01:16.640 --> 00:01:20.920]  這件事發生在1859年
[00:01:20.920 --> 00:01:24.880]  當時有一個很有名的踩鋼線的人
[00:01:24.880 --> 00:01:25.880]  叫做Blondin
[00:01:25.880 --> 00:01:27.120]  是一個法國人
[00:01:27.120 --> 00:01:32.640]  他要在尼亞卡拉的大瀑布表演
[00:01:32.640 --> 00:01:36.000]  從加拿大去到美國那邊
[00:01:36.000 --> 00:01:39.000]  吸引了無數的人來觀看
