
[00:00:00.000 --> 00:00:03.120]  我選擇了一個題目叫「為耶穌齋戒」
[00:00:03.120 --> 00:00:06.240]  不知道「齋」這個字會不會令大家覺得好像
[00:00:06.240 --> 00:00:09.480]  好像很中國那些的佛學味道
[00:00:09.480 --> 00:00:12.560]  但是其實這個字是很有意思的
[00:00:12.560 --> 00:00:15.000]  待會我會再去解釋
[00:00:15.000 --> 00:00:18.800]  其實我們現在都是守一個節期
[00:00:18.800 --> 00:00:21.760]  中國人現在是守什麼節期呢
[00:00:21.760 --> 00:00:25.960]  今天應該是新針頭仍然是年廿七
[00:00:25.960 --> 00:00:27.000]  年廿七
[00:00:27.480 --> 00:00:31.320]  我們中國人通常靠一些節期去維繫著一群
[00:00:31.320 --> 00:00:35.560]  一個群體的傳統、文化、習俗
[00:00:35.560 --> 00:00:39.320]  剛剛過了農曆年不知道大家怎麼過
[00:00:39.320 --> 00:00:39.960]  譬如
[00:00:39.960 --> 00:00:41.480]  年廿八大家會做些什麼
[00:00:41.480 --> 00:00:42.640]  洗垃圾
[00:00:42.640 --> 00:00:43.240]  沒錯
[00:00:43.240 --> 00:00:44.360]  未必每個人都會這麼做
[00:00:44.360 --> 00:00:45.560]  但是可能都會收拾一下
[00:00:45.560 --> 00:00:46.120]  清潔一下
[00:00:46.120 --> 00:00:47.080]  家人都會這麼說
[00:00:47.080 --> 00:00:50.680]  有些節期的意味推動會比較容易
[00:00:50.680 --> 00:00:52.360]  譬如年廿三十晚就要怎樣
[00:00:52.360 --> 00:00:54.680]  懂得鍛鍊
[00:00:54.680 --> 00:00:59.240]  怎樣都好一家人都要在那段時間聚在一起吃頓飯
[00:00:59.240 --> 00:01:00.600]  或者逛年宵
[00:01:00.600 --> 00:01:03.080]  年初一就齊齊整整去拜年
[00:01:03.080 --> 00:01:06.200]  年初三就赤口又不知道做些什麼
[00:01:06.200 --> 00:01:08.040]  到了元宵又會怎樣
[00:01:08.040 --> 00:01:09.400]  就吃湯圓
[00:01:09.400 --> 00:01:11.800]  這些傳統習慣、習俗
[00:01:11.800 --> 00:01:14.520]  都是維繫著一個群體的精神支柱
[00:01:14.520 --> 00:01:18.200]  當我們今年說叫做使人得見的群體
[00:01:18.200 --> 00:01:19.720]  我們用什麼方法
[00:01:19.720 --> 00:01:23.720]  去維繫著一個教會群體的一個屬靈傳統呢
[00:01:23.960 --> 00:01:27.560]  其實在教會裡面有一個教會年曆
[00:01:27.560 --> 00:01:29.800]  其實已經是一千多年的歷史了
[00:01:29.800 --> 00:01:30.840]  不是我們發明的
[00:01:30.840 --> 00:01:33.720]  是在初期的教會裡面
[00:01:33.720 --> 00:01:36.200]  一直累積很多的屬靈經驗
[00:01:36.200 --> 00:01:37.720]  去透過教會年曆
[00:01:37.720 --> 00:01:39.880]  去塑造一個群體的屬靈生命
[00:01:39.880 --> 00:01:42.280]  是一個 spiritual formation(靈性組織)
[00:01:42.280 --> 00:01:44.280]  什麼叫做教會年曆呢
[00:01:44.280 --> 00:01:47.640]  就用這個表很簡單的解釋了
[00:01:47.640 --> 00:01:49.640]  其實就是將耶穌的生平
[00:01:49.640 --> 00:01:51.640]  擺在了一年的週期裡面
[00:01:51.640 --> 00:01:54.760]  我們是去恆常去紀念祂
[00:01:54.760 --> 00:01:56.840]  而這個週期裡面
[00:01:56.840 --> 00:01:59.320]  第一個開始可以說是叫做
[00:01:59.320 --> 00:02:00.680]  幹臨節期
[00:02:00.680 --> 00:02:02.040]  或者叫做張臨期
[00:02:02.040 --> 00:02:03.960]  就是在聖誕節前的一個月
[00:02:03.960 --> 00:02:07.160]  我們是去預備我們的心去迎接耶穌基督的幹臨
[00:02:07.160 --> 00:02:09.080]  也是紀念主會再來
[00:02:09.080 --> 00:02:11.400]  就是在一個月裡面我們去預備自己
[00:02:11.400 --> 00:02:12.920]  去迎接耶穌基督的幹臨
[00:02:12.920 --> 00:02:14.440]  然後大家很開心的
[00:02:14.440 --> 00:02:15.320]  應該是十二月了
[00:02:15.320 --> 00:02:16.920]  聖誕節平安夜
[00:02:16.920 --> 00:02:19.560]  我們是去慶祝耶穌基督的幹身
[00:02:19.560 --> 00:02:21.160]  帶給人喜樂和平安
[00:02:21.640 --> 00:02:22.840]  去到顯然節期
[00:02:22.840 --> 00:02:26.600]  綠色就是代表著耶穌基督在世
[00:02:26.600 --> 00:02:29.160]  在我們生命當中的全度生涯
[00:02:29.160 --> 00:02:31.640]  特別是由耶穌的受浸開始
[00:02:31.640 --> 00:02:35.080]  到耶穌將要登山變像
[00:02:35.080 --> 00:02:39.000]  就是今天所講的主題
[00:02:39.000 --> 00:02:41.240]  是放在顯然節期裡面
[00:02:41.240 --> 00:02:44.120]  然後這個紫色就是大齋節期
[00:02:44.120 --> 00:02:47.880]  就是耶穌將要準備去耶路撒冷
[00:02:47.880 --> 00:02:49.640]  釘十字架去受苦難
[00:02:49.800 --> 00:02:52.120]  我們就紀念在這個四十天裡面
[00:02:52.120 --> 00:02:53.800]  是去紀念基督的受苦
[00:02:53.800 --> 00:02:56.280]  我們有一個賄助的收去準備自己
[00:02:56.280 --> 00:02:58.120]  然後復活節期就是
[00:02:58.120 --> 00:02:59.480]  慶祝耶穌基督復活
[00:02:59.480 --> 00:03:01.480]  但聖覺死亡
[00:03:01.480 --> 00:03:02.520]  帶給人永生
[00:03:02.520 --> 00:03:06.040]  然後綠色這個比較長的一個叫恆常期
[00:03:06.040 --> 00:03:07.720]  或者叫聖靈幹臨節期
[00:03:07.720 --> 00:03:10.680]  就是聖靈幹臨在教會
[00:03:10.680 --> 00:03:11.720]  教會誕生了
[00:03:11.720 --> 00:03:13.640]  教會就要在這段時間裡面
[00:03:13.640 --> 00:03:15.640]  為主做好見證
[00:03:15.640 --> 00:03:17.080]  讓人認識福音
[00:03:17.080 --> 00:03:21.000]  也讓我們繼續經歷主永遠與世人同在的意思
[00:03:21.000 --> 00:03:23.160]  其實教會年曆
[00:03:23.160 --> 00:03:28.200]  所以登山變像主義就是在這個綠色和紫色的中間
[00:03:28.200 --> 00:03:29.000]  就是今天
[00:03:29.000 --> 00:03:30.280]  今天這個日子
[00:03:30.280 --> 00:03:32.120]  其實在很多教會
[00:03:32.120 --> 00:03:33.640]  特別是禮儀的教會
[00:03:33.640 --> 00:03:35.800]  都會紀念是一個登山變像主義
[00:03:35.800 --> 00:03:37.960]  當然我們浸水會不是禮儀教會
[00:03:37.960 --> 00:03:40.120]  但是一些優美的傳統
[00:03:40.120 --> 00:03:41.640]  我們都可以去學習一下
[00:03:41.640 --> 00:03:43.960]  其實教會年曆有雙重意義
[00:03:43.960 --> 00:03:45.160]  第一個就是
[00:03:45.160 --> 00:03:47.320]  我們在崇拜當中
[00:03:47.320 --> 00:03:49.720]  我們藉著一個共同的主題
[00:03:49.720 --> 00:03:51.640]  眾弟兄姊妹一同去紀念
[00:03:51.640 --> 00:03:52.920]  紀念耶穌的誕生
[00:03:52.920 --> 00:03:53.880]  耶穌的復活
[00:03:53.880 --> 00:03:54.840]  聖靈的幹臨
[00:03:54.840 --> 00:03:56.600]  上帝的創造等等
[00:03:56.600 --> 00:03:59.160]  藉著我們一起有一個共同的焦點
[00:03:59.160 --> 00:04:02.280]  我們可以一起塑造一個群體的屬靈的生命
[00:04:02.280 --> 00:04:05.160]  第二個教會年曆的意義就是
[00:04:05.160 --> 00:04:06.920]  藉著我們一個屬靈的大家庭
[00:04:06.920 --> 00:04:07.960]  教會的分子
[00:04:07.960 --> 00:04:08.840]  大家一起
