
[00:00:00.000 --> 00:00:06.500]  他們認為死亡是一個漸進的過程
[00:00:06.500 --> 00:00:10.680]  如果身體通過物理降溫
[00:00:10.680 --> 00:00:14.600]  細胞可以提前進入這個休眠狀態的時候
[00:00:14.600 --> 00:00:17.180]  死亡就可以逆轉了
[00:00:17.180 --> 00:00:19.600]  這個理論相當有創意
[00:00:19.600 --> 00:00:20.960]  而且很吸引
[00:00:20.960 --> 00:00:23.340]  也給了很多人希望
[00:00:23.340 --> 00:00:25.080]  James Bedford
[00:00:25.080 --> 00:00:29.940]  是人類歷史上第一個被冷凍等待復活的人
[00:00:29.940 --> 00:00:32.600]  他是加州大學物理學的教授
[00:00:32.600 --> 00:00:36.640]  1967年死於胃癌
[00:00:36.640 --> 00:00:39.560]  他死前的遺願就是
[00:00:39.560 --> 00:00:43.120]  將他身體進行冷凍保存
[00:00:43.120 --> 00:00:44.540]  他希望有一天
[00:00:44.540 --> 00:00:47.940]  科技能夠發展到將他解凍
[00:00:47.940 --> 00:00:50.620]  又能夠治療他的癌症
[00:00:50.620 --> 00:00:52.320]  這樣他就可以復活
[00:00:52.320 --> 00:00:55.900]  他還預繳了50年的冷凍費
[00:00:55.900 --> 00:00:57.820]  在他死後
[00:00:57.820 --> 00:01:03.540]  醫生立刻為他身體注入了大量的冷凍保護劑
[00:01:03.540 --> 00:01:06.080]  讓他的血液不會變質
[00:01:06.080 --> 00:01:08.920]  然後再將他的遺體
[00:01:08.920 --> 00:01:16.660]  放在-196度以下的液態氮冷凍倉裏面保存
[00:01:16.660 --> 00:01:19.960]  現在他的身體還在
[00:01:19.960 --> 00:01:24.920]  是由阿爾科生命延續基金會保存中
[00:01:24.920 --> 00:01:26.920]  10年過去了
[00:01:26.920 --> 00:01:33.700]  2017年基金會宣佈要將Bedford解凍
[00:01:33.700 --> 00:01:35.100]  但到今天
[00:01:35.100 --> 00:01:40.860]  大家有沒有聽過Bedford復活的新聞
[00:01:40.860 --> 00:01:45.140]  Bedford的盼望是落空的
[00:01:45.140 --> 00:01:48.860]  究竟復活是一回甚麼事
[00:01:48.860 --> 00:01:50.740]  將一個急凍的死人解凍
[00:01:50.740 --> 00:01:53.080]  這是人用的方法
[00:01:53.080 --> 00:01:59.140]  但我們知道復活是關乎生命的問題
[00:01:59.140 --> 00:02:02.820]  誰主宰生命這才是關鍵
[00:02:02.820 --> 00:02:05.160]  關於死人的復活
[00:02:05.160 --> 00:02:07.620]  耶穌自己說得很清楚
[00:02:07.620 --> 00:02:10.340]  在《約翰福音》11章的時候
[00:02:10.340 --> 00:02:13.940]  耶穌說了一段大家很熟悉的說話
[00:02:13.940 --> 00:02:17.140]  「復活在我,生命也在我;
[00:02:17.140 --> 00:02:20.420]  信我的人雖然死了,也必復活;
[00:02:20.420 --> 00:02:23.860]  凡活著信我的人,必永遠不死。」
[00:02:23.860 --> 00:02:26.980]  馬大的弟弟死了
[00:02:26.980 --> 00:02:31.960]  耶穌就跟馬大說了這個真理
[00:02:31.960 --> 00:02:33.460]  然後問馬大
[00:02:33.460 --> 00:02:36.360]  「你信這話嗎?」
[00:02:36.360 --> 00:02:38.260]  在短短幾句裡面
[00:02:38.260 --> 00:02:42.100]  耶穌提了四次「我」字
[00:02:42.100 --> 00:02:44.580]  是不是耶穌自我中心呢?
[00:02:44.580 --> 00:02:46.580]  其實耶穌在說
[00:02:46.580 --> 00:02:51.800]  祂才是我們唯一信靠的對象
[00:02:51.800 --> 00:02:55.300]  復活只有從祂而來
[00:02:55.300 --> 00:02:59.200]  因為祂才是生命
[00:02:59.200 --> 00:03:00.280]  耶穌問馬大
[00:03:00.280 --> 00:03:02.280]  「你信這話嗎?」
[00:03:02.280 --> 00:03:08.380]  今天我們信了耶穌
[00:03:08.380 --> 00:03:11.160]  是不是真的很清楚
[00:03:11.160 --> 00:03:17.580]  雖然我們死了,我們也必能復活呢?
[00:03:17.580 --> 00:03:20.720]  今天我們所說的復活盼望
[00:03:20.720 --> 00:03:22.240]  對你來說
[00:03:22.240 --> 00:03:24.240]  究竟是一個確信呢?
[00:03:24.240 --> 00:03:27.500]  還是一個願望呢?
[00:03:27.500 --> 00:03:31.700]  對於主在來和主復活
[00:03:31.700 --> 00:03:36.600]  會不會只是一個關於將來的概念
[00:03:36.600 --> 00:03:38.840]  究竟對我們今天的生活
[00:03:38.840 --> 00:03:41.040]  有什麼意義?有什麼影響?
[00:03:41.040 --> 00:03:43.040]  有什麼作用呢?
[00:03:43.040 --> 00:03:44.340]  今天這段經文
[00:03:44.340 --> 00:03:47.560]  或許可以給我們一個空間去思考
[00:03:47.560 --> 00:03:52.040]  經文是臨前的十五章十二到二十節
[00:03:52.040 --> 00:03:54.400]  在十二節的時候
[00:03:54.400 --> 00:03:56.640]  保羅特別說到一件事
[00:03:56.640 --> 00:03:58.640]  他所傳的是什麼呢?
[00:03:58.640 --> 00:04:05.540]  他所傳的是基督從死裡復活
[00:04:05.540 --> 00:04:08.640]  在臨前十五章開頭
