
[00:00:00.000 --> 00:00:04.240]  相信說在聖經裡面 馬太福音告訴我們說
[00:00:04.240 --> 00:00:08.280]  在地上如果有兩個人 兩三個人奉主的名聚集
[00:00:08.280 --> 00:00:11.620]  祂就在我們中間 你相信嗎
[00:00:11.620 --> 00:00:15.440]  所以我們兩三個人在這裡聚集 奉主的名聚集
[00:00:15.440 --> 00:00:18.920]  奉主的名就是主是我們的中心 Amen
[00:00:18.920 --> 00:00:20.920]  牧師不是中心 Amen
[00:00:20.920 --> 00:00:24.280]  敬拜團不是中心 樂器不是中心
[00:00:24.280 --> 00:00:27.640]  誰是中心 耶穌基督是我們的中心 Amen
[00:00:27.640 --> 00:00:30.880]  所以我們花了這幾個禮拜的時間一直在講基督論
[00:00:30.880 --> 00:00:33.400]  因為基督論是整個我們基督教的
[00:00:33.400 --> 00:00:37.280]  這個可以說是非常非常重要的一個教義
[00:00:37.280 --> 00:00:41.520]  那在這個歌羅西書裡面講到這個基督
[00:00:41.520 --> 00:00:43.480]  在前面我們信息裡面講說
[00:00:43.480 --> 00:00:47.200]  基督祂是超越萬有之主
[00:00:47.200 --> 00:00:50.600]  祂是萬有 祂是宇宙萬物 所有一切的主
[00:00:50.600 --> 00:00:54.960]  耶穌基督也是教會的主 Amen
[00:00:54.960 --> 00:00:58.920]  那麼接著歌羅西書第一章十九節就要講到說
[00:00:58.920 --> 00:01:08.600]  基督是豐盛之主 基督是豐盛之源頭 Amen
[00:01:08.600 --> 00:01:12.560]  永子貝當你想到豐盛的時候你想到什麼
[00:01:12.560 --> 00:01:14.720]  當你想到豐盛的時候你想到什麼
[00:01:14.720 --> 00:01:18.240]  跟你旁邊 如果你旁邊有人的話跟他講一下
[00:01:18.240 --> 00:01:24.880]  豐盛是什麼 斯里蘭卡豐富豐盛 斯里蘭卡
[00:01:24.880 --> 00:01:29.440]  斯里蘭卡知道嗎 斯里蘭卡發生什麼事情嗎
[00:01:29.440 --> 00:01:32.560]  破產了 前途之輩
[00:01:32.560 --> 00:01:35.400]  那你想想看 通貨膨脹
[00:01:35.400 --> 00:01:39.160]  現在大家的荷包縮水了是不是
[00:01:39.160 --> 00:01:46.200]  薪水有沒有漲 沒漲 去跟那個拜登講
[00:01:46.200 --> 00:01:49.400]  前途之輩 所以今天美國通貨膨脹
[00:01:49.400 --> 00:01:52.840]  大家都苦哈哈的是不是 當然不是所有的人
[00:01:52.840 --> 00:01:55.840]  但是大家都感覺到這個經濟的問題
[00:01:55.840 --> 00:01:57.760]  所以當我們講到豐盛的時候
[00:01:57.760 --> 00:02:01.160]  你會不會想到說 哎呀 基督是豐盛之源
[00:02:01.160 --> 00:02:05.720]  哎呀 今天牧師講的這個我太喜歡了
[00:02:05.720 --> 00:02:11.360]  什麼是豐盛 你喜不喜歡豐盛
[00:02:11.360 --> 00:02:18.720]  豐盛的想法是什麼 你喜歡貧窮嗎
[00:02:18.720 --> 00:02:23.640]  你們都不表態
[00:02:23.640 --> 00:02:28.760]  喜不喜歡豐盛
[00:02:28.760 --> 00:02:30.080]  在這個地方提到說
[00:02:30.080 --> 00:02:33.640]  這一段短短的今天這一段經文裡面
[00:02:33.640 --> 00:02:40.440]  講到說 因為父喜歡叫一切的豐盛
[00:02:40.440 --> 00:02:45.560]  在他裡面居住 一切的豐盛
[00:02:45.560 --> 00:02:49.200]  什麼是豐盛
[00:02:49.200 --> 00:02:52.400]  保羅在各路西書裡面講到這個豐盛
[00:02:52.400 --> 00:02:57.560]  他所用的這個字 可以說是一個
[00:02:57.560 --> 00:03:01.400]  好像你們用這個數目字
[00:03:01.400 --> 00:03:04.920]  用那個excel有沒有 會用excel
[00:03:04.920 --> 00:03:07.640]  當你把這一堆數字 特別你們做會計的
[00:03:07.640 --> 00:03:10.480]  你把這些的數目字通通都弄下來了
[00:03:10.480 --> 00:03:16.360]  然後你下面就弄一個sum
[00:03:16.360 --> 00:03:22.320]  就是什麼 就是這個字 總和
[00:03:22.320 --> 00:03:27.760]  然後這個字也是豐滿的意思
[00:03:27.760 --> 00:03:31.840]  這個字也是一個滿盈盈盈盈出來的意思
[00:03:31.840 --> 00:03:35.600]  這個字也是充滿的意思
[00:03:35.600 --> 00:03:38.160]  所以在義父所說第三章十九節
[00:03:38.160 --> 00:03:39.560]  我們請來念好不好
[00:03:39.560 --> 00:03:42.960]  這裡說叫神 我說我們一起念
[00:03:42.960 --> 00:03:44.280]  來 預備 請
[00:03:44.280 --> 00:03:49.800]  叫神一切所充滿的 充滿了你們
