
[00:00:00.000 --> 00:00:02.000]  十戒都沒有人聽過
[00:00:02.000 --> 00:00:05.000]  未必識貝
[00:00:05.000 --> 00:00:07.000]  不過我們肯定有印象的
[00:00:07.000 --> 00:00:09.000]  但我們說到十戒的時候
[00:00:09.000 --> 00:00:10.000]  我們總是覺得
[00:00:10.000 --> 00:00:13.000]  因為中文翻譯做「戒命」
[00:00:13.000 --> 00:00:15.000]  那個「戒命」的意思
[00:00:15.000 --> 00:00:17.000]  很多時候就是
[00:00:17.000 --> 00:00:21.000]  你限制或者不准你做一些事
[00:00:21.000 --> 00:00:24.000]  我們現代人一聽起來就很愚蠢
[00:00:24.000 --> 00:00:25.000]  為什麼不讓我們做這件事
[00:00:25.000 --> 00:00:26.000]  不讓我們做那件事
[00:00:26.000 --> 00:00:27.000]  不讓我們做那件事
[00:00:27.000 --> 00:00:28.000]  不讓我們做那件事
[00:00:28.000 --> 00:00:33.000]  這就是聖經裡面所說的十戒的意思嗎
[00:00:33.000 --> 00:00:35.000]  我們中文叫做十戒
[00:00:35.000 --> 00:00:37.000]  英文叫做Ten Commandments
[00:00:37.000 --> 00:00:38.000]  其實聖經本身
[00:00:38.000 --> 00:00:39.000]  特別是希伯來聖經
[00:00:39.000 --> 00:00:40.000]  就是舊約聖經
[00:00:40.000 --> 00:00:45.000]  它不是用十戒來形容這十條項目
[00:00:45.000 --> 00:00:47.000]  它是用十句說話
[00:00:47.000 --> 00:00:49.000]  Ten words
[00:00:49.000 --> 00:00:51.000]  或者Ten things
[00:00:51.000 --> 00:00:53.000]  就是十件東西
[00:00:53.000 --> 00:00:54.000]  十舊東西
[00:00:54.000 --> 00:00:56.000]  十句說話
[00:00:56.000 --> 00:00:58.000]  所以我們有時候
[00:00:58.000 --> 00:01:00.000]  一些書籍就會介紹
[00:01:00.000 --> 00:01:02.000]  十戒是Decalogue
[00:01:02.000 --> 00:01:04.000]  Decalogue就是10
[00:01:04.000 --> 00:01:06.000]  Logos就是Words
[00:01:06.000 --> 00:01:09.000]  我們叫它十件事
[00:01:09.000 --> 00:01:11.000]  或者十個的原則
[00:01:11.000 --> 00:01:13.000]  其實就不是說
[00:01:13.000 --> 00:01:17.000]  那個味道是Do's and Don'ts
[00:01:17.000 --> 00:01:20.000]  不只是說列表一些東西
[00:01:20.000 --> 00:01:21.000]  你要做一些東西
[00:01:21.000 --> 00:01:22.000]  不可以做一些東西
[00:01:22.000 --> 00:01:23.000]  Thou shalt do
[00:01:23.000 --> 00:01:25.000]  Thou shalt not do
[00:01:25.000 --> 00:01:27.000]  不是這樣的意思
[00:01:27.000 --> 00:01:28.000]  是十個的原則
[00:01:28.000 --> 00:01:30.000]  十個的principle
[00:01:30.000 --> 00:01:31.000]  我們可以形容它
[00:01:31.000 --> 00:01:33.000]  做一個憲法的
[00:01:33.000 --> 00:01:34.000]  好像美國
[00:01:34.000 --> 00:01:36.000]  我們有憲法一樣
[00:01:36.000 --> 00:01:37.000]  Constitution
[00:01:37.000 --> 00:01:38.000]  Constitution就不是律師
[00:01:38.000 --> 00:01:40.000]  那些很厚
[00:01:40.000 --> 00:01:41.000]  很多冊的
[00:01:41.000 --> 00:01:43.000]  那些的Law Code
[00:01:43.000 --> 00:01:44.000]  它拿來檢查一下
[00:01:44.000 --> 00:01:48.000]  到底有誰的律例
[00:01:48.000 --> 00:01:50.000]  犯了罪等等
[00:01:50.000 --> 00:01:52.000]  是一些大的原則
[00:01:52.000 --> 00:01:53.000]  所以你如果問
[00:01:53.000 --> 00:01:56.000]  美國的大的原則是什麼
[00:01:56.000 --> 00:01:58.000]  美國的精神
[00:01:58.000 --> 00:01:59.000]  自由
[00:01:59.000 --> 00:02:01.000]  自由甚至放縱
[00:02:01.000 --> 00:02:02.000]  自由
[00:02:02.000 --> 00:02:03.000]  總之什麼都可以做
[00:02:03.000 --> 00:02:05.000]  總之你叫我們不要做事
[00:02:05.000 --> 00:02:06.000]  那就不行的
[00:02:06.000 --> 00:02:08.000]  這個是最大罪
[00:02:08.000 --> 00:02:09.000]  因為我們說Liberty
[00:02:09.000 --> 00:02:11.000]  說Freedom等等
[00:02:11.000 --> 00:02:14.000]  這個十戒所謂
[00:02:14.000 --> 00:02:16.000]  其實是給神的子民
[00:02:16.000 --> 00:02:19.000]  一個十個的原則
[00:02:19.000 --> 00:02:22.000]  十個的法則
[00:02:22.000 --> 00:02:25.000]  所以用這些原則
[00:02:25.000 --> 00:02:28.000]  應用在一些場景
[00:02:28.000 --> 00:02:31.000]  一些特定的處境裡面
[00:02:31.000 --> 00:02:33.000]  譬如不可殺人
[00:02:33.000 --> 00:02:35.000]  這個是大的原則
[00:02:35.000 --> 00:02:37.000]  在不同的情況下
[00:02:37.000 --> 00:02:39.000]  應該怎樣去執行
[00:02:39.000 --> 00:02:42.000]  或者活出這個principle
[00:02:42.000 --> 00:02:43.000]  That's the whole point
[00:02:43.000 --> 00:02:46.000]  既然大家都那麼熟悉十戒
