
[00:00:00.000 --> 00:00:03.000]  推頂姐妹平安
[00:00:03.000 --> 00:00:06.500]  今天我的講題就是
[00:00:06.500 --> 00:00:10.260]  大家看到勁敗隊隊員穿什麼衣服
[00:00:10.260 --> 00:00:13.260]  黑色白色是不是
[00:00:13.260 --> 00:00:14.060]  黑白分明
[00:00:14.060 --> 00:00:19.260]  不過他們說很難純黑純白
[00:00:19.260 --> 00:00:20.800]  那些人就會問
[00:00:20.800 --> 00:00:23.000]  不夠斯理的黑白分明
[00:00:23.000 --> 00:00:27.200]  你分不分到黑和白
[00:00:27.200 --> 00:00:29.060]  非常好的問題
[00:00:29.060 --> 00:00:29.700]  感恩
[00:00:29.700 --> 00:00:32.700]  上帝給我們的心意去決定
[00:00:32.700 --> 00:00:35.060]  錢是看得到的
[00:00:35.060 --> 00:00:37.900]  所以黑和白對我來說
[00:00:37.900 --> 00:00:39.900]  絕對不是兩個名詞
[00:00:39.900 --> 00:00:42.000]  絕對我腦裏都會記得
[00:00:42.000 --> 00:00:45.460]  黑和白是非常分明
[00:00:45.460 --> 00:00:51.000]  所以如果上帝有一天讓我重開我的眼
[00:00:51.000 --> 00:00:54.400]  我一定會分到黑和白
[00:00:54.400 --> 00:00:56.160]  另外我最喜歡的顏色
[00:00:56.160 --> 00:00:58.700]  知道是什麼顏色嗎
[00:00:58.700 --> 00:01:00.800]  淺綠色
[00:01:00.800 --> 00:01:03.100]  非常好
[00:01:03.100 --> 00:01:03.740]  OK
[00:01:03.740 --> 00:01:07.740]  我們的經文就是以佛所書
[00:01:07.740 --> 00:01:13.200]  以佛所書五章十五至二十節
[00:01:13.200 --> 00:01:15.660]  讓我們先來低頭
[00:01:15.660 --> 00:01:18.160]  我們有個禱告
[00:01:18.160 --> 00:01:20.060]  聖靈啊願祢臨在
[00:01:20.060 --> 00:01:22.360]  願祢充滿我們每一個人
[00:01:22.360 --> 00:01:24.560]  使我們真的知道
[00:01:24.560 --> 00:01:28.000]  在祢裏面黑白分明
[00:01:28.000 --> 00:01:29.540]  非常重要
[00:01:29.540 --> 00:01:32.800]  上帝求祢讓我們知道我們是屬神的群體
[00:01:32.800 --> 00:01:34.740]  我們是蒙愛的選民
[00:01:34.740 --> 00:01:36.340]  所以我們行事為人
[00:01:36.340 --> 00:01:40.000]  要與蒙召的恩相承
[00:01:40.000 --> 00:01:43.060]  求祢讓我們明白真道
[00:01:43.060 --> 00:01:45.100]  懂得如何行道
[00:01:45.100 --> 00:01:49.700]  聽我們禱告奉基督耶穌的名
[00:01:49.700 --> 00:01:53.340]  語場面小時候
[00:01:53.340 --> 00:01:55.040]  我學兩個人
[00:01:55.040 --> 00:01:58.100]  學給大家聽你猜不猜到我在學誰
[00:01:58.100 --> 00:01:59.900]  看語場面
[00:01:59.900 --> 00:02:02.240]  第一個
[00:02:02.240 --> 00:02:06.700]  各位鄉親父老
[00:02:06.700 --> 00:02:12.640]  我們今天一起來
[00:02:12.640 --> 00:02:16.340]  知道我在學誰嗎
[00:02:16.340 --> 00:02:17.360]  聽到了
[00:02:17.360 --> 00:02:20.160]  當中有沒有人姓關
[00:02:20.160 --> 00:02:21.940]  在學你
[00:02:21.940 --> 00:02:23.360]  關德興
[00:02:23.360 --> 00:02:27.400]  關德興是屬於中醫是奸的
[00:02:27.400 --> 00:02:29.100]  基本上
[00:02:29.100 --> 00:02:31.560]  有沒有見過關德興做奸騙呢
[00:02:31.560 --> 00:02:33.600]  好像都不明白
[00:02:33.600 --> 00:02:36.540]  我再學一個好嗎
[00:02:36.540 --> 00:02:39.260]  這個很難學的
[00:02:39.260 --> 00:02:41.140]  試試看
[00:02:41.140 --> 00:02:45.460]  嘿嘿嘿嘿嘿
[00:02:45.460 --> 00:02:47.640]  知道是誰嗎
[00:02:47.640 --> 00:02:48.600]  是誰
[00:02:48.600 --> 00:02:51.000]  嘉迎堅
[00:02:51.000 --> 00:02:53.640]  當你頂著這樣的笑聲
[00:02:53.640 --> 00:02:55.040]  當然我學不到
[00:02:55.040 --> 00:02:57.640]  因為我不是奸
[00:02:57.640 --> 00:03:00.800]  你就知道是石堅
[00:03:00.800 --> 00:03:06.840]  石堅其實很好人
[00:03:06.840 --> 00:03:10.540]  你見到他們就知道黑和白
[00:03:10.540 --> 00:03:12.200]  在童話故事
[00:03:12.200 --> 00:03:14.000]  兩隻動物
[00:03:14.000 --> 00:03:16.660]  一隻是白兔
[00:03:16.660 --> 00:03:18.960]  一隻是狐狸
[00:03:18.960 --> 00:03:23.160]  你知道誰是中誰是奸
[00:03:23.160 --> 00:03:26.900]  三隻小豬裡面有動物
[00:03:26.900 --> 00:03:31.160]  一個是三隻豬
[00:03:31.160 --> 00:03:35.500]  一個是柴狼
[00:03:35.500 --> 00:03:38.160]  誰是中誰是奸
[00:03:38.160 --> 00:03:39.800]  柴狼是奸
[00:03:39.800 --> 00:03:41.700]  在語場片中
[00:03:41.700 --> 00:03:46.440]  中和奸小時候覺得很容易
[00:03:46.440 --> 00:03:49.500]  但是到人越來越大的時候
[00:03:49.500 --> 00:03:52.340]  中和奸是真的很難分
[00:03:52.340 --> 00:03:54.540]  好像中裡面有奸
