
[00:00:00.000 --> 00:00:02.640]  最近全香港以至全世界的人
[00:00:02.640 --> 00:00:05.160]  都多了很多時間留在家裏
[00:00:05.160 --> 00:00:08.080]  電視台的收視上升
[00:00:08.080 --> 00:00:11.560]  很多電影的頻道都多了人去訂閱
[00:00:11.560 --> 00:00:13.160]  今天訊息的題目是
[00:00:13.160 --> 00:00:17.240]  「主愛者一家 第一季 Season 1 男子男弟」
[00:00:17.240 --> 00:00:18.720]  都好像劇集名
[00:00:18.720 --> 00:00:21.680]  說到《聖經》裏面的子弟
[00:00:21.680 --> 00:00:23.680]  我不知道你會想起哪一個
[00:00:23.680 --> 00:00:24.800]  雖然我看不到你
[00:00:24.800 --> 00:00:27.320]  但我猜當中有人可能已經想起
[00:00:27.320 --> 00:00:31.240]  馬大、瑪利亞、拉薩路這一家人
[00:00:31.240 --> 00:00:33.560]  因為這一家人和耶穌的故事
[00:00:33.560 --> 00:00:36.600]  在《聖經》裏面可以說是經典
[00:00:36.600 --> 00:00:37.920]  可能有人未看過
[00:00:37.920 --> 00:00:39.720]  但如果你有差不多年紀
[00:00:39.720 --> 00:00:41.920]  即是我自己信主的年紀
[00:00:41.920 --> 00:00:45.440]  應該有聽過甚至聽過很多次
[00:00:45.440 --> 00:00:48.320]  究竟翻看這麼經典的劇目
[00:00:48.320 --> 00:00:51.760]  是一個很浪費時間的事
[00:00:51.760 --> 00:00:54.840]  還是好片百看不厭呢?
[00:00:54.840 --> 00:00:57.000]  就視乎大家的心態
[00:00:57.000 --> 00:00:59.480]  如果你覺得「我都知道了」
[00:00:59.480 --> 00:01:02.920]  「我都很熟悉了」
[00:01:02.920 --> 00:01:05.640]  翻看對你來說是差不多的
[00:01:05.640 --> 00:01:07.960]  但如果你每一次的心態都是
[00:01:07.960 --> 00:01:11.240]  「神今次要透過這段經文」
[00:01:11.240 --> 00:01:13.120]  「和我說甚麼說話呢?」
[00:01:13.120 --> 00:01:16.680]  求神賜給我有一個會聽的耳
[00:01:16.680 --> 00:01:18.560]  受教的心
[00:01:18.560 --> 00:01:20.320]  用我期待的心
[00:01:20.320 --> 00:01:22.960]  去聽一下神今天想和你說的話
[00:01:22.960 --> 00:01:25.480]  我相信你每一次都可以有新的體會
[00:01:25.480 --> 00:01:27.760]  全新的發現
[00:01:27.760 --> 00:01:30.520]  今天《主愛者一家》第一季
[00:01:30.520 --> 00:01:31.360]  難子難弟
[00:01:31.360 --> 00:01:35.400]  就是講馬大、瑪利亞、拉薩路這一家人
[00:01:35.400 --> 00:01:37.760]  今次我們更加用一個煲劇的速度
[00:01:37.760 --> 00:01:39.320]  我們一次過看三集
[00:01:39.320 --> 00:01:40.800]  就是《聖經》裏面
[00:01:40.800 --> 00:01:45.200]  三段記載關於耶穌和這一家人交往的片段
[00:01:45.200 --> 00:01:47.880]  今天我們一次過看
