
[00:00:00.000 --> 00:00:01.400]  各位音福家的大型節目
[00:00:01.400 --> 00:00:04.740]  你們很開心可以和大家一起分享神的說話
[00:00:04.740 --> 00:00:09.560]  我不知道你們教會的財政年度是什麼時候開始的
[00:00:09.560 --> 00:00:13.700]  在香港很多教會都是用4月1日開始
[00:00:13.700 --> 00:00:15.940]  就是一個新的財政年度
[00:00:15.940 --> 00:00:20.600]  財政年度當然會說教會要面對的經濟
[00:00:20.600 --> 00:00:23.240]  有什麼支出
[00:00:23.240 --> 00:00:27.400]  所以我都會慣常在3月或者4月的時候
[00:00:27.400 --> 00:00:30.440]  和大家分享一些關於奉獻的道理
[00:00:30.440 --> 00:00:32.140]  啊 真的很害怕
[00:00:32.140 --> 00:00:33.840]  不是很想聽 是不是
[00:00:33.840 --> 00:00:36.760]  但是其實我們要從聖經的話語裡面
[00:00:36.760 --> 00:00:38.400]  去學習的
[00:00:38.400 --> 00:00:41.240]  所以今天和大家去分享的課題
[00:00:41.240 --> 00:00:44.340]  就叫做「先書後應」
[00:00:44.340 --> 00:00:45.700]  不是後贏
[00:00:45.700 --> 00:00:48.040]  是你好像失去了一些東西
[00:00:48.040 --> 00:00:51.200]  但是最終你是會得到更多的
[00:00:51.200 --> 00:00:55.040]  其實我們教會處事有原則
[00:00:55.040 --> 00:00:56.740]  應該要好一點計算的
[00:00:56.740 --> 00:00:59.360]  所以教會應該有財政預算
[00:00:59.360 --> 00:01:01.040]  給大興節目知道
[00:01:01.040 --> 00:01:02.940]  但是如果太保守
[00:01:02.940 --> 00:01:05.640]  就不能夠有好的發展
[00:01:05.640 --> 00:01:07.540]  我們經常都是講信心
[00:01:07.540 --> 00:01:09.000]  基督徒是講信心的
[00:01:09.000 --> 00:01:11.440]  但是反觀很多不信主的人
[00:01:11.440 --> 00:01:13.940]  他們的信心有時候比我們更加大的
[00:01:13.940 --> 00:01:16.940]  你看到很多時候他們可能問銀行借錢
[00:01:16.940 --> 00:01:18.940]  然後發展他們的事業
[00:01:18.940 --> 00:01:21.340]  投資 得到很好的回報
[00:01:21.340 --> 00:01:24.740]  當然我們的信心的對象是很不同的
[00:01:24.740 --> 00:01:27.740]  所以我們應該要更加的大膽
[00:01:27.740 --> 00:01:30.140]  是為神有大膽去做事
