
[00:00:00.000 --> 00:00:02.000]  大英寺會平安
[00:00:02.000 --> 00:00:07.000]  感謝神又有機會和大家一起研讀上帝的說話
[00:00:07.000 --> 00:00:12.000]  今天的經文是記載在啟示錄五章一至十四節
[00:00:12.000 --> 00:00:16.000]  開始的時候我們先重溫一至四章
[00:00:16.000 --> 00:00:18.000]  究竟講過什麼內容
[00:00:18.000 --> 00:00:21.000]  在第一章的時候聖經很清楚講到
[00:00:21.000 --> 00:00:23.000]  約翰蒙召
[00:00:23.000 --> 00:00:26.000]  耶穌基督給了他一個呼召
[00:00:26.000 --> 00:00:30.000]  叫他將來必成的事要寫出來
[00:00:30.000 --> 00:00:35.000]  然後耶穌基督就有一個榮耀的形象來顯現
[00:00:35.000 --> 00:00:40.000]  顯現出祂當中的聖潔、祂的存知、祂的存能
[00:00:40.000 --> 00:00:46.000]  而且並有審判的權柄在七教會當中來行走
[00:00:46.000 --> 00:00:50.000]  在第一章之後自然就去到第二、第三章
[00:00:50.000 --> 00:00:53.000]  耶穌基督在七教會裡面行走的時候
[00:00:53.000 --> 00:00:58.000]  就對教會有一些的吩咐、有一些的提醒
[00:00:58.000 --> 00:01:03.000]  七教會是當時若果用現今的地圖
[00:01:03.000 --> 00:01:06.000]  大概在希臘和中國
