
[00:00:00.000 --> 00:00:03.380]  《馬克福音》第十二章可以說是欲罷不能
[00:00:03.380 --> 00:00:06.640]  在《馬克福音》十二章裏說欲罷不能
[00:00:06.640 --> 00:00:09.900]  在聖經裏面有很多值得我們思想的事
[00:00:09.900 --> 00:00:12.440]  這件事情有很多值得我們思想的事
[00:00:12.440 --> 00:00:14.520]  我很希望再和大家分享
[00:00:14.520 --> 00:00:16.440]  我很希望和大家繼續分享
[00:00:16.440 --> 00:00:19.020]  讓我們去聽這堂信息的時候
[00:00:19.020 --> 00:00:20.240]  用來再次禱告
[00:00:20.240 --> 00:00:22.680]  讓我們聽這堂信息的時候再次禱告
[00:00:22.680 --> 00:00:28.020]  能夠在這段聖經裏面再次重溫復活的意義
[00:00:28.020 --> 00:00:31.420]  能夠在這段聖經裏面再次重溫復活的意義
[00:00:31.420 --> 00:00:33.420]  先讓我們重新禱告
[00:00:33.420 --> 00:00:35.920]  預備我們的心
[00:00:35.920 --> 00:00:39.160]  七位天父多謝您給我們這段寶貴的時間
[00:00:39.160 --> 00:00:42.300]  能夠一同去思想主義的教訓
[00:00:42.300 --> 00:00:45.700]  特別在復活節這個節期裏面
[00:00:45.700 --> 00:00:48.920]  我們看見主耶穌都為我們捨身
[00:00:48.920 --> 00:00:53.140]  並且能夠有權柄能夠勝過死亡
[00:00:53.140 --> 00:00:55.640]  究竟當中的意義是甚麼
[00:00:55.640 --> 00:00:58.520]  求祢給我們有一個更準確的拿捏
[00:00:58.520 --> 00:01:01.800]  使我們跟著往後的人生路
[00:01:01.800 --> 00:01:04.020]  能夠活在地上的時間
[00:01:04.020 --> 00:01:07.900]  我們能夠真是所作所行所想
[00:01:07.900 --> 00:01:09.740]  是合主的心意
[00:01:09.740 --> 00:01:12.200]  並且真是能夠趁機
[00:01:12.200 --> 00:01:15.000]  處理這個復活的真態
[00:01:15.000 --> 00:01:16.380]  求祢願我們同在
[00:01:16.380 --> 00:01:19.320]  禱告逢主耶穌的寶貴聖名至此
[00:01:19.320 --> 00:01:20.820]  阿們
[00:01:20.820 --> 00:01:26.520]  神的能力往往只是在一些願意忠心信服的神的兒女身上彰顯出來
[00:01:26.520 --> 00:01:31.500]  能力通常只是在願意為神的兒女身上彰顯出來
[00:01:31.500 --> 00:01:35.220]  最明顯的例子就是主耶穌基督信服父神
[00:01:35.220 --> 00:01:39.080]  最明顯的例子主耶穌基督信服父神
[00:01:39.080 --> 00:01:42.340]  所以就算是判了死罪的人
[00:01:42.340 --> 00:01:44.160]  就算判了死罪的人
[00:01:44.160 --> 00:01:45.740]  都能夠活過來
[00:01:45.740 --> 00:01:47.280]  都能活過來
[00:01:47.280 --> 00:01:49.060]  藉著主耶穌基督的救恩
[00:01:49.060 --> 00:01:52.540]  藉著主耶穌基督的救恩使得我們能夠再次活著
[00:01:52.540 --> 00:01:54.000]  讓我們知道合作
[00:01:54.000 --> 00:01:55.100]  成為一個活人
[00:01:55.100 --> 00:01:56.280]  成為一個活人
[00:01:56.280 --> 00:01:57.480]  不是一個死了的人
[00:01:57.480 --> 00:01:58.620]  不是一個死了的人
[00:01:58.620 --> 00:01:59.660]  而是一個活人
[00:01:59.660 --> 00:02:00.380]  是一個活人
[00:02:00.380 --> 00:02:01.640]  並且在這個地上
[00:02:01.640 --> 00:02:03.860]  與神同工
[00:02:03.860 --> 00:02:04.760]  與神同工
[00:02:04.760 --> 00:02:07.520]  因為我們所信的主是一位活人的神
[00:02:07.520 --> 00:02:10.340]  然後我們所信的主是活人的神
[00:02:10.340 --> 00:02:13.280]  今天你可以聽完這一堂信息什麼都不記得
[00:02:13.280 --> 00:02:16.040]  然後你聽完這個信息以後你會什麼都不記得
[00:02:16.040 --> 00:02:18.360]  你只需要謹記一個的原則
[00:02:18.360 --> 00:02:20.260]  你只要謹記一個原則
[00:02:20.260 --> 00:02:23.020]  就是服事主的活人
[00:02:23.020 --> 00:02:24.600]  服事主的活人
