
[00:00:00.000 --> 00:00:05.000]  各位電影姐妹,兩年前我去到柬埔寨短孫
[00:00:05.000 --> 00:00:08.000]  我們看一看
[00:00:08.000 --> 00:00:15.000]  這裡是柬埔寨金邊市的交通
[00:00:15.000 --> 00:00:19.000]  金邊市,楊太應該很熟悉吧
[00:00:19.000 --> 00:00:24.000]  我去到的時候,發現這個城市很特別
[00:00:24.000 --> 00:00:30.000]  你看到街道上嚇到我,我坐大一點的巴士
[00:00:30.000 --> 00:00:34.000]  周圍的人通常是開著摩托車電單車
[00:00:34.000 --> 00:00:39.000]  整條街鋪到密密的人貼人,差不多肩膀貼肩膀
[00:00:39.000 --> 00:00:42.000]  但是突然間走到某一個位置
[00:00:42.000 --> 00:00:45.000]  你看到這個圖畫是做什麼呢
[00:00:45.000 --> 00:00:48.000]  這個圖畫,車全部停在這裡
[00:00:48.000 --> 00:00:53.000]  停了很久,大概有15至20分鐘
[00:00:53.000 --> 00:00:57.000]  但是前面的路是空了出來的
[00:00:57.000 --> 00:00:59.000]  為什麼呢
[00:00:59.000 --> 00:01:07.000]  等了十幾分鐘,終於看到前面
[00:01:07.000 --> 00:01:09.000]  很厲害的
[00:01:09.000 --> 00:01:12.000]  有些軍裝的車一直開路
[00:01:12.000 --> 00:01:17.000]  然後有很多名貴的轎房車一直走
[00:01:17.000 --> 00:01:19.000]  原來是什麼事呢
[00:01:19.000 --> 00:01:25.000]  原來剛好在那段時間,在柬埔寨金邊開了一個亞洲會議
[00:01:25.000 --> 00:01:29.000]  很多國家的首長來到這裡
[00:01:29.000 --> 00:01:33.000]  所以每一次當有這些大人物在前面經過的時候
[00:01:33.000 --> 00:01:35.000]  就要封路
[00:01:35.000 --> 00:01:40.000]  由軍隊開路引導他們在前面安全地經過
[00:01:40.000 --> 00:01:42.000]  多大陣仗
[00:01:42.000 --> 00:01:45.000]  再下一張看看
[00:01:45.000 --> 00:01:49.000]  這裡,我也想和你分享一下我的童年
[00:01:49.000 --> 00:01:52.000]  這次我放假回香港
[00:01:52.000 --> 00:01:56.000]  途經我小時候居住的地方
[00:01:56.000 --> 00:02:01.000]  那座大廈就是我童年時住的那座屋邨大廈
[00:02:01.000 --> 00:02:04.000]  這間小學,就是我讀的那間小學
[00:02:04.000 --> 00:02:08.000]  其實小學就在我家旁邊,樓下
[00:02:08.000 --> 00:02:10.000]  當我經過的時候,我就想起
[00:02:10.000 --> 00:02:15.000]  差不多三十多年,一件陳年往事
[00:02:15.000 --> 00:02:20.000]  當時有一個大人物就要來到我們這個屋邨
[00:02:20.000 --> 00:02:23.000]  和要來到我們這個學校
[00:02:23.000 --> 00:02:25.000]  那怎麼樣呢
[00:02:25.000 --> 00:02:28.000]  就叫我們全校出動,學生出動
[00:02:28.000 --> 00:02:32.000]  就拿著,有些人就拿著啦啦隊的草球
[00:02:32.000 --> 00:02:34.000]  有些人我就拿著什麼呢
[00:02:34.000 --> 00:02:36.000]  那我就好一點,不用拿草球
[00:02:36.000 --> 00:02:38.000]  我拿著一支旗子
[00:02:38.000 --> 00:02:40.000]  那就,做什麼呢
[00:02:40.000 --> 00:02:43.000]  我們足足練了一個半月
[00:02:43.000 --> 00:02:45.000]  就這樣,大家要學習
[00:02:45.000 --> 00:02:49.000]  很齊的,舉,揚
[00:02:49.000 --> 00:02:51.000]  這個大人物是誰呢
[00:02:51.000 --> 00:02:52.000]  就是他了
[00:02:52.000 --> 00:02:54.000]  歡迎查理斯王子
[00:02:54.000 --> 00:02:57.000]  我們就這樣,在那些大廈
[00:02:57.000 --> 00:03:01.000]  在那些周圍路旁就列隊
[00:03:01.000 --> 00:03:05.000]  拿著旗子就這樣叫,高聲喊叫
[00:03:05.000 --> 00:03:10.000]  因為當時香港是英國的殖民地
[00:03:10.000 --> 00:03:12.000]  查理斯王子王儲來到
[00:03:12.000 --> 00:03:14.000]  是一件很大陣仗的事情
[00:03:14.000 --> 00:03:16.000]  那我們就排了一個半月
[00:03:16.000 --> 00:03:18.000]  舉旗子,叫這一句
[00:03:18.000 --> 00:03:20.000]  歡迎查理斯王子
[00:03:20.000 --> 00:03:22.000]  大人物來到的時候
[00:03:22.000 --> 00:03:26.000]  我們會好整裝待發
[00:03:26.000 --> 00:03:28.000]  好好的預備
[00:03:28.000 --> 00:03:30.000]  各位電影姐妹
[00:03:30.000 --> 00:03:35.000]  今天,這段經文告訴我們
[00:03:35.000 --> 00:03:39.000]  當以利沙伯見到瑪利亞來到的時候
[00:03:39.000 --> 00:03:41.000]  他感到好歡欣
[00:03:41.000 --> 00:03:44.000]  好快樂,好喜出望外
[00:03:44.000 --> 00:03:46.000]  他就說了這句話
[00:03:46.000 --> 00:03:48.000]  我主的母,到我者女來
[00:03:48.000 --> 00:03:52.000]  這是從哪裡得的呢
[00:03:52.000 --> 00:03:56.000]  如果我們看看最新的和合本修訂版
[00:03:56.000 --> 00:03:57.000]  就這樣說
[00:03:57.000 --> 00:03:59.000]  我主的母親,到我者女來
[00:03:59.000 --> 00:04:04.000]  為何這時臨到我呢
[00:04:04.000 --> 00:04:06.000]  他這句話不是好悲慘
[00:04:06.000 --> 00:04:08.000]  你幹嘛來,你不要來
[00:04:08.000 --> 00:04:09.000]  他不是這個意思
[00:04:09.000 --> 00:04:11.000]  哇,你來到我這裡
[00:04:11.000 --> 00:04:13.000]  哇,為什麼我這麼榮幸
[00:04:13.000 --> 00:04:18.000]  你來到我這裡來看我呢
[00:04:18.000 --> 00:04:20.000]  是一份覺得很歡欣
[00:04:20.000 --> 00:04:25.000]  很榮幸的一個表現
[00:04:25.000 --> 00:04:27.000]  但是我們就會問
[00:04:27.000 --> 00:04:30.000]  為什麼以利沙伯
[00:04:30.000 --> 00:04:34.000]  當瑪利亞來到他家裡去探望他的時候
[00:04:34.000 --> 00:04:36.000]  為什麼他會覺得這麼開心,這麼榮幸呢
[00:04:36.000 --> 00:04:41.000]  還有這段經文對當時路加福音的讀者
[00:04:41.000 --> 00:04:43.000]  有什麼意義呢
[00:04:43.000 --> 00:04:44.000]  還有對我們今天
[00:04:44.000 --> 00:04:48.000]  我們2014年,快要2015年的人
[00:04:48.000 --> 00:04:50.000]  對我們今時今日來說
[00:04:50.000 --> 00:04:53.000]  有什麼提醒,幫助呢
[00:04:53.000 --> 00:04:56.000]  我們再一次有個安靜禱告
[00:04:57.000 --> 00:05:04.000]  親愛的天父,我們求祢
[00:05:04.000 --> 00:05:07.000]  求祢的聖靈在我們心裡面去工作
[00:05:07.000 --> 00:05:13.000]  讓我們明白祢的說話
[00:05:13.000 --> 00:05:17.000]  也讓我們有力量,有決心,有勇氣
[00:05:17.000 --> 00:05:19.000]  遵行神祢的說話
[00:05:19.000 --> 00:05:21.000]  求主祢幫助我們
[00:05:21.000 --> 00:05:24.000]  謙卑在祢寶座面前
[00:05:24.000 --> 00:05:26.000]  我們願意打開我們的眼
[00:05:26.000 --> 00:05:28.000]  打開我們的耳朵
[00:05:28.000 --> 00:05:29.000]  打開我們的心
[00:05:29.000 --> 00:05:32.000]  迎接神祢的教導
[00:05:32.000 --> 00:05:34.000]  帶領我們以下這段時間
[00:05:34.000 --> 00:05:38.000]  禱告奉耶穌基督聖名求,阿們
[00:05:38.000 --> 00:05:40.000]  為什麼以利沙伯會對瑪利亞
[00:05:40.000 --> 00:05:42.000]  這個女子來到他家裡探訪
[00:05:42.000 --> 00:05:44.000]  他覺得這麼榮幸呢
[00:05:44.000 --> 00:05:45.000]  我們看回聖經的時候
[00:05:45.000 --> 00:05:47.000]  瑪利亞其實
[00:05:47.000 --> 00:05:49.000]  是我們一般認識
[00:05:49.000 --> 00:05:53.000]  知道是以利沙伯的親戚
[00:05:53.000 --> 00:05:55.000]  甚至有些解經家就說
[00:05:55.000 --> 00:05:58.000]  當時那些親戚的意思很概括
[00:05:58.000 --> 00:06:01.000]  甚至有可能是鄉里
[00:06:01.000 --> 00:06:04.000]  自己的同鄉的鄉里
[00:06:04.000 --> 00:06:07.000]  但是一樣東西可以肯定的
[00:06:07.000 --> 00:06:09.000]  瑪利亞當時是一個童貞女
[00:06:09.000 --> 00:06:14.000]  一個很年輕的女子
[00:06:14.000 --> 00:06:16.000]  未結婚的女子,童貞女
[00:06:16.000 --> 00:06:19.000]  而以利沙伯我們看回聖經前文
[00:06:19.000 --> 00:06:21.000]  聖經沒有說她有多老
[00:06:21.000 --> 00:06:23.000]  但是就說她很老
[00:06:23.000 --> 00:06:30.000]  還有這麼多年都沒有子女生
[00:06:30.000 --> 00:06:34.000]  而我們知道他們的關係應該很密切
[00:06:34.000 --> 00:06:35.000]  所以呢
[00:06:35.000 --> 00:06:37.000]  但是很奇怪
[00:06:37.000 --> 00:06:41.000]  關係密切的朋友
[00:06:41.000 --> 00:06:43.000]  鄉里親戚
[00:06:43.000 --> 00:06:45.000]  來到的時候
[00:06:45.000 --> 00:06:48.000]  頂多是很開心
[00:06:48.000 --> 00:06:49.000]  為什麼會覺得
[00:06:49.000 --> 00:06:52.000]  好像有一種這麼榮幸的感覺呢
[00:06:52.000 --> 00:06:57.000]  今天我們聽到在在的弟兄姊妹
[00:06:57.000 --> 00:06:58.000]  懷孕了
[00:06:58.000 --> 00:07:01.000]  今天看到Pinky
[00:07:01.000 --> 00:07:04.000]  肚子越來越健康
[00:07:04.000 --> 00:07:05.000]  越來越大
[00:07:05.000 --> 00:07:07.000]  替不替她開心
[00:07:07.000 --> 00:07:09.000]  開心
[00:07:09.000 --> 00:07:11.000]  我們看到Jackie
[00:07:11.000 --> 00:07:12.000]  Jackie的未婚妻在後面
[00:07:12.000 --> 00:07:14.000]  Carrie 剛才沒有介紹她
[00:07:14.000 --> 00:07:16.000]  他們將會結婚了
[00:07:16.000 --> 00:07:19.000]  我們都會替他們開心
