
[00:00:00.000 --> 00:00:04.600]  今日的講題是「揭開復活的奧秘」
[00:00:04.600 --> 00:00:07.720]  其實我們有一個事實
[00:00:07.720 --> 00:00:08.880]  不知道大家知不知道
[00:00:08.880 --> 00:00:10.100]  如果不知道的話我告訴你
[00:00:10.100 --> 00:00:13.120]  就是我們都會老
[00:00:13.120 --> 00:00:15.120]  你知不知道這個事實
[00:00:15.120 --> 00:00:16.760]  還未知道的
[00:00:16.760 --> 00:00:19.480]  因為有些人還是很年輕的
[00:00:19.480 --> 00:00:21.280]  還有我們不單會老
[00:00:21.280 --> 00:00:23.280]  我們會衰退
[00:00:23.280 --> 00:00:26.160]  我們原來是會死亡的
[00:00:26.160 --> 00:00:28.160]  其實從我們出生的第一天
[00:00:28.160 --> 00:00:30.160]  你都會發現其實你是正在倒數的
[00:00:30.160 --> 00:00:32.160]  無論你小時候
[00:00:32.160 --> 00:00:33.600]  一個月大 兩個月大
[00:00:33.600 --> 00:00:36.200]  你知道每多一天你其實是正在倒數的
[00:00:36.200 --> 00:00:37.320]  當然
[00:00:37.320 --> 00:00:40.320]  去到我們知道我們會老
[00:00:40.320 --> 00:00:42.320]  去到經驗老都有一段時間
[00:00:42.320 --> 00:00:44.320]  我記得兩年多前
[00:00:44.320 --> 00:00:46.320]  我們剛剛搬來長沙灣
[00:00:46.320 --> 00:00:48.320]  如果你搭地鐵回教會
[00:00:48.320 --> 00:00:51.680]  從地鐵跑上去
[00:00:51.680 --> 00:00:54.600]  地面都很多級樓梯
[00:00:54.600 --> 00:00:56.600]  有時趕時間我都會跑
[00:00:56.600 --> 00:00:58.600]  半跑半走
[00:00:58.600 --> 00:01:00.600]  但當時我半跑半走
[00:01:00.600 --> 00:01:02.600]  上到地面
[00:01:02.600 --> 00:01:04.600]  都仍然很快
[00:01:04.600 --> 00:01:06.600]  完全沒問題
[00:01:06.600 --> 00:01:08.600]  但這幾個月不知道是疫情還是怎樣
[00:01:08.600 --> 00:01:10.600]  當我就算走上去
[00:01:10.600 --> 00:01:12.600]  都像現在這樣
[00:01:12.600 --> 00:01:14.600]  喘氣
[00:01:14.600 --> 00:01:16.600]  昨天我媽聽到這件事就大件事
[00:01:16.600 --> 00:01:18.600]  兒子你真是未老先衰
[00:01:18.600 --> 00:01:20.600]  喘氣馬上要我做運動
[00:01:20.600 --> 00:01:22.600]  很危險
[00:01:22.600 --> 00:01:24.600]  兩三層樓我發現都不太行
[00:01:24.600 --> 00:01:26.600]  我們何時開始衰退
[00:01:26.600 --> 00:01:28.600]  是不是五十歲
[00:01:28.600 --> 00:01:30.600]  六十歲還是七十歲
[00:01:30.600 --> 00:01:32.600]  原來不是
[00:01:32.600 --> 00:01:34.600]  英國每日郵報告訴我們
[00:01:34.600 --> 00:01:36.600]  原來我們衰退的時間
[00:01:36.600 --> 00:01:38.600]  是很早
[00:01:38.600 --> 00:01:40.600]  大佬其實二十歲
[00:01:40.600 --> 00:01:42.600]  開始衰退
[00:01:42.600 --> 00:01:44.600]  我們大女細胞開始不長
[00:01:44.600 --> 00:01:46.600]  慢慢一步一步減退
[00:01:46.600 --> 00:01:48.600]  我們的皮膚二十五歲
[00:01:48.600 --> 00:01:50.600]  看看有沒有皺紋
[00:01:50.600 --> 00:01:52.600]  我們的頭髮
[00:01:52.600 --> 00:01:54.600]  暫時看看
[00:01:54.600 --> 00:01:56.600]  三十歲
[00:01:56.600 --> 00:01:58.600]  生育
[00:01:58.600 --> 00:02:00.600]  我們經常說生小朋友
[00:02:00.600 --> 00:02:02.600]  三十五歲要生了
[00:02:02.600 --> 00:02:04.600]  還有老花
[00:02:04.600 --> 00:02:06.600]  四十歲都幾準
[00:02:06.600 --> 00:02:08.600]  我四十一歲的時候
[00:02:08.600 --> 00:02:10.600]  去看我的驗眼師
[00:02:10.600 --> 00:02:12.600]  他突然跟我說
[00:02:12.600 --> 00:02:14.600]  陳生恭喜你
[00:02:14.600 --> 00:02:16.600]  恭喜我
[00:02:16.600 --> 00:02:18.600]  恭喜你
[00:02:18.600 --> 00:02:20.600]  你進入人生的另一階段
[00:02:22.600 --> 00:02:24.600]  老花
[00:02:24.600 --> 00:02:26.600]  人家很怕我不開心
[00:02:26.600 --> 00:02:28.600]  會這樣
[00:02:28.600 --> 00:02:30.600]  搶五十五歲
[00:02:30.600 --> 00:02:32.600]  香港政府叫我們五十歲可以照搶
[00:02:32.600 --> 00:02:34.600]  有原因
[00:02:34.600 --> 00:02:36.600]  聽覺都開始衰退
[00:02:36.600 --> 00:02:38.600]  我們有句說話
[00:02:38.600 --> 00:02:40.600]  借了容易
[00:02:40.600 --> 00:02:42.600]  診
[00:02:42.600 --> 00:02:44.600]  不知為何容易診
[00:02:44.600 --> 00:02:46.600]  Brian叔叔我和你一樣容易診
[00:02:46.600 --> 00:02:48.600]  為何不容易想
[00:02:48.600 --> 00:02:50.600]  容易
[00:02:50.600 --> 00:02:52.600]  我們有些特質
[00:02:52.600 --> 00:02:54.600]  我們開始會發現
[00:02:54.600 --> 00:02:56.600]  例如肌肉減少
[00:02:56.600 --> 00:02:58.600]  我們走的時候
[00:02:58.600 --> 00:03:00.600]  有時要扶著才起
[00:03:00.600 --> 00:03:02.600]  或者我們的面部出現老化
[00:03:02.600 --> 00:03:04.600]  眼睛下垂
[00:03:04.600 --> 00:03:06.600]  還有我們的皮膚
[00:03:06.600 --> 00:03:08.600]  或者我們的面部
[00:03:08.600 --> 00:03:10.600]  鬆弛
[00:03:10.600 --> 00:03:12.600]  其實不是我想
[00:03:12.600 --> 00:03:14.600]  我被迫
[00:03:14.600 --> 00:03:16.600]  上帝的設計
[00:03:16.600 --> 00:03:18.600]  大腦功能
[00:03:18.600 --> 00:03:20.600]  舊時的事
[00:03:20.600 --> 00:03:22.600]  近期的事
