
[00:00:00.000 --> 00:00:04.060]  在我們的人生裏面有很多需要做決定的地方
[00:00:04.060 --> 00:00:07.320]  今天你決定星期日回第三堂崇拜
[00:00:07.320 --> 00:00:09.820]  這個決定是因爲什麼原因呢?
[00:00:09.820 --> 00:00:12.060]  當然很可能是因爲環境
[00:00:12.060 --> 00:00:18.820]  可能是時間,方便,你的行程
[00:00:18.820 --> 00:00:20.200]  我們要做決定的時候
[00:00:20.200 --> 00:00:23.520]  也很多時候會聽別人的建議
[00:00:23.520 --> 00:00:24.820]  有很多人給我們意見
[00:00:24.820 --> 00:00:27.320]  所以我們好像容易一點做決定
[00:00:27.320 --> 00:00:29.920]  但是當有很多意見的時候
[00:00:29.920 --> 00:00:34.120]  也是不容易做決定的時刻
[00:00:34.120 --> 00:00:37.220]  不過我想我們除了考慮到環境
[00:00:37.220 --> 00:00:40.120]  除了考慮別人的看法之外
[00:00:40.120 --> 00:00:43.720]  今天我們也很強調自己個人的看法
[00:00:43.720 --> 00:00:45.920]  當然每一個人都有自己的看法
[00:00:45.920 --> 00:00:49.920]  所以我們按自己的選擇
[00:00:49.920 --> 00:00:52.320]  自己的看法來做決定
[00:00:52.320 --> 00:00:55.320]  也有時候是無可厚非的
[00:00:55.320 --> 00:00:56.920]  但是作爲基督徒
[00:00:56.920 --> 00:00:59.720]  我們去做決定的時候
[00:00:59.720 --> 00:01:01.320]  我們除了因爲環境
[00:01:01.320 --> 00:01:03.320]  除了因爲別人的看法
[00:01:03.320 --> 00:01:06.720]  甚至是我們自己個人的觀點之外
[00:01:06.720 --> 00:01:10.120]  究竟我們還有沒有其他值得去考慮
[00:01:10.120 --> 00:01:12.720]  我們需要看重的一些元素
[00:01:12.720 --> 00:01:16.720]  來幫助我們做人生的很多決定呢?
[00:01:16.720 --> 00:01:19.620]  不過說真的要做決定也不是那麼容易的
[00:01:19.620 --> 00:01:22.920]  要take yes or no 有時候也是挺艱難的
[00:01:22.920 --> 00:01:25.720]  我們有時候看到有很多選擇在我們面前的時候
[00:01:25.720 --> 00:01:29.920]  我們也會有一個選擇的困難症
[00:01:29.920 --> 00:01:30.920]  就是沒有辦法
[00:01:30.920 --> 00:01:32.720]  太多了 你去茶餐廳的時候
[00:01:32.720 --> 00:01:37.120]  又有中餐 又有西餐 又有日式 又有泰式
[00:01:37.120 --> 00:01:38.120]  給了你那麼多東西
[00:01:38.120 --> 00:01:40.320]  你真的不知道從哪裏開始選擇
[00:01:40.320 --> 00:01:43.520]  有時候我們連自己的需要也不知道
[00:01:43.520 --> 00:01:47.120]  今天很想和大家分享這個信息
[00:01:47.120 --> 00:01:50.720]  就叫做香水阿門
[00:01:50.720 --> 00:01:53.520]  那麼奇怪 香水阿門是什麼意思呢?
[00:01:53.520 --> 00:01:56.120]  當然阿門我們也很明白
[00:01:56.120 --> 00:01:58.320]  那個意思就是是的
[00:01:58.320 --> 00:02:00.320]  不是一支是的柺杖那些 是的
[00:02:00.320 --> 00:02:02.920]  yes 是yes的意思
[00:02:02.920 --> 00:02:05.920]  甚至耶穌向尼哥底姆說話的時候
[00:02:05.920 --> 00:02:07.120]  耶穌也很喜歡這樣說
[00:02:07.120 --> 00:02:09.520]  我實實在在的告訴你 是不是?
[00:02:09.520 --> 00:02:10.520]  祂和尼哥底姆說
[00:02:10.520 --> 00:02:12.120]  我實實在在的告訴你
[00:02:12.120 --> 00:02:14.920]  人若不從生就不能夠進神的國
[00:02:14.920 --> 00:02:17.720]  但原本文字的次序應該是
[00:02:17.720 --> 00:02:20.520]  實實在在的我告訴你
[00:02:20.520 --> 00:02:23.720]  耶穌是將阿門阿門說兩次
[00:02:23.720 --> 00:02:25.320]  然後說我
[00:02:25.320 --> 00:02:27.720]  強調祂是那位真實
[00:02:27.720 --> 00:02:29.120]  那位可靠的
[00:02:29.120 --> 00:02:31.520]  因爲阿門這個字除了是是的
[00:02:31.520 --> 00:02:32.720]  是yes之外
[00:02:32.720 --> 00:02:34.120]  也都是實實在在
[00:02:34.120 --> 00:02:35.920]  又都是可靠的意思
[00:02:35.920 --> 00:02:37.520]  就是這樣
[00:02:37.520 --> 00:02:40.920]  這個就是確實 確切的一件事
[00:02:40.920 --> 00:02:43.520]  其實這個是最早在
[00:02:43.520 --> 00:02:44.920]  舊約《新命記》的時候
[00:02:44.920 --> 00:02:47.720]  已經出現這個用法
[00:02:47.720 --> 00:02:49.320]  《新命記》第七章第九節
[00:02:49.320 --> 00:02:50.120]  聖經這麼說
[00:02:50.120 --> 00:02:51.120]  所以你要知道
[00:02:51.120 --> 00:02:53.320]  耶穌說你的神是神
[00:02:53.320 --> 00:02:54.720]  是信實的神
[00:02:54.720 --> 00:02:56.120]  這個信實的神
[00:02:56.120 --> 00:02:59.720]  原本的文字就是阿門的神
[00:02:59.720 --> 00:03:02.120]  我們的神是一位阿門的神
[00:03:02.120 --> 00:03:03.720]  是一位確實的神
[00:03:03.720 --> 00:03:05.320]  向愛祂守祂
[00:03:05.320 --> 00:03:06.720]  戒明的人守約
[00:03:06.720 --> 00:03:07.920]  思持愛
[00:03:07.920 --> 00:03:10.120]  直到千代
[00:03:10.120 --> 00:03:12.920]  所以由舊約一直延伸到新約
[00:03:12.920 --> 00:03:14.120]  在整個聖經裏面
[00:03:14.120 --> 00:03:16.320]  有很多很多的記載
[00:03:16.320 --> 00:03:19.520]  都用到阿門這個觀念
[00:03:19.520 --> 00:03:21.320]  聖經裏面提到阿門的時候
[00:03:21.320 --> 00:03:23.120]  很多時候是在提到
[00:03:23.120 --> 00:03:25.720]  我們所相信這一位三位一體的神
[00:03:25.720 --> 00:03:27.120]  祂的屬性
[00:03:27.120 --> 00:03:28.920]  祂是一位阿門的神
[00:03:28.920 --> 00:03:30.920]  祂是一位可靠的神
[00:03:30.920 --> 00:03:32.320]  祂是一位說過
[00:03:32.320 --> 00:03:34.920]  確實會進行的那位神
[00:03:34.920 --> 00:03:37.520]  祂對我們的應許是確切的
[00:03:37.520 --> 00:03:40.520]  是不會說過就算數的那位神
[00:03:40.520 --> 00:03:42.920]  不單止形容到神的屬性
[00:03:42.920 --> 00:03:45.720]  聖經使用到這個阿門的時候
[00:03:45.720 --> 00:03:49.720]  也都在說神的說話同樣是阿門的
[00:03:49.720 --> 00:03:50.720]  一個例子
[00:03:50.720 --> 00:03:52.720]  在詩篇的十九篇第七節
[00:03:52.720 --> 00:03:54.320]  那裏說耶和華的律法
[00:03:54.320 --> 00:03:56.720]  完全能夠甦醒人的魂
[00:03:56.720 --> 00:03:59.320]  耶和華的法道可靠
[00:03:59.320 --> 00:04:00.320]  可靠這個字
[00:04:00.320 --> 00:04:01.920]  原本文字就是阿門
[00:04:01.920 --> 00:04:02.720]  阿門
[00:04:02.720 --> 00:04:04.520]  所以見到這個希伯來文
[00:04:04.520 --> 00:04:07.720]  由右至左三個字母加起來
[00:04:07.720 --> 00:04:09.320]  就是阿門
[00:04:09.320 --> 00:04:12.120]  就是英文這樣譯出來
