
[00:00:00.000 --> 00:00:02.000]  讓神榮耀的光
[00:00:02.000 --> 00:00:05.000]  顯在耶穌基督的面上
[00:00:05.000 --> 00:00:07.000]  我們今天看這個
[00:00:07.000 --> 00:00:11.000]  《馬可福音》第九章第二至第八節
[00:00:11.000 --> 00:00:14.000]  願主繼續帶領我們
[00:00:14.000 --> 00:00:16.000]  是能夠瞻仰
[00:00:16.000 --> 00:00:18.000]  祂自己的榮美
[00:00:18.000 --> 00:00:21.000]  我很感恩是可以在兩次
[00:00:21.000 --> 00:00:23.000]  《馬可福音》的講論裏面
[00:00:23.000 --> 00:00:26.000]  亦都是在這個叫做
[00:00:26.000 --> 00:00:29.000]  顯現期的這段時間
[00:00:29.000 --> 00:00:31.000]  都是講這兩節
[00:00:31.000 --> 00:00:34.000]  是指向耶穌基督
[00:00:34.000 --> 00:00:40.000]  認識我們天父為他兒子所作的見證
[00:00:40.000 --> 00:00:43.000]  大家會記得《馬可》一章十一節
[00:00:43.000 --> 00:00:47.000]  是主耶穌受洗之後
[00:00:47.000 --> 00:00:50.000]  聖靈彷彿甲子落在他的身上
[00:00:50.000 --> 00:00:55.000]  然後天父是向著耶穌
[00:00:55.000 --> 00:01:00.000]  自己說你是我的愛子
[00:01:00.000 --> 00:01:03.000]  我所喜悅的
[00:01:03.000 --> 00:01:07.000]  接下來第一章至到第八章
[00:01:07.000 --> 00:01:10.000]  就是展述這一位
[00:01:10.000 --> 00:01:14.000]  上帝所愛的神的兒子
[00:01:14.000 --> 00:01:17.000]  他在人世間所成就的
[00:01:17.000 --> 00:01:20.000]  種種美善的事
[00:01:20.000 --> 00:01:22.000]  大麻風得潔淨
[00:01:22.000 --> 00:01:25.000]  癱子起來行走
[00:01:25.000 --> 00:01:28.000]  有罪的人得著赦免
[00:01:28.000 --> 00:01:30.000]  罪人遂利
[00:01:30.000 --> 00:01:32.000]  為別人所輕視
[00:01:32.000 --> 00:01:35.000]  甚至自己都不太喜歡自己的人
[00:01:35.000 --> 00:01:40.000]  卻有耶穌成為罪人與遂利的朋友
[00:01:40.000 --> 00:01:43.000]  我們亦都在福音書的記載裏面
[00:01:43.000 --> 00:01:45.000]  看見我們的主耶穌
[00:01:45.000 --> 00:01:47.000]  怎樣能夠平靜風浪
[00:01:47.000 --> 00:01:50.000]  怎樣能夠叫死人復活
[00:01:50.000 --> 00:01:52.000]  亦都施憐憫
[00:01:52.000 --> 00:01:55.000]  餵飽五千人
[00:01:55.000 --> 00:01:57.000]  這一位的主
[00:01:57.000 --> 00:02:00.000]  就是天父所愛的
[00:02:00.000 --> 00:02:03.000]  那一位神的兒子
[00:02:03.000 --> 00:02:06.000]  這個亦都是他在加利利
[00:02:06.000 --> 00:02:09.000]  公開傳道所作的
