
[00:00:00.000 --> 00:00:01.340]  好 今天是父親節
[00:00:01.340 --> 00:00:04.180]  再一次祝各位父親節快樂
[00:00:04.180 --> 00:00:06.180]  我們再一次同心禱告
[00:00:06.180 --> 00:00:09.900]  主 多謝祢賜下寶貴的恩若
[00:00:09.900 --> 00:00:12.580]  以致可以能夠在主
[00:00:12.580 --> 00:00:15.420]  祢的屬靈群體裏面有份
[00:00:15.420 --> 00:00:16.980]  主 如果不是祢先愛我們
[00:00:16.980 --> 00:00:19.400]  我們不懂得怎樣去愛
[00:00:19.400 --> 00:00:22.640]  願我們經歷著上帝的愛
[00:00:22.640 --> 00:00:25.500]  有那份愛的源頭
[00:00:25.500 --> 00:00:26.740]  以致我們懂得
[00:00:26.740 --> 00:00:30.200]  怎樣去在我們的家庭裏面服侍
[00:00:30.200 --> 00:00:31.480]  願主祢去洗浴
[00:00:31.480 --> 00:00:33.200]  願主祢去用我們同在
[00:00:33.200 --> 00:00:36.000]  無論聽的還是蒙福
[00:00:36.000 --> 00:00:37.560]  多謝祢聽我們禱告
[00:00:37.560 --> 00:00:38.580]  奉靠我們的救主
[00:00:38.580 --> 00:00:40.880]  耶穌基督 寶貴聖名去求
[00:00:40.880 --> 00:00:42.320]  Amen
[00:00:42.320 --> 00:00:44.200]  今天是父親節
[00:00:44.200 --> 00:00:45.940]  我們感謝很多父親
[00:00:45.940 --> 00:00:48.620]  為家庭有很多的擺上
[00:00:48.620 --> 00:00:53.220]  我們當中的父親有很多都很努力去工作
[00:00:53.220 --> 00:00:55.700]  供書教學 柴米油鹽
[00:00:55.700 --> 00:00:57.880]  去寒聞 練福念
[00:00:57.880 --> 00:01:01.820]  不折不扣地去撐起一頭家
[00:01:01.820 --> 00:01:03.720]  可以按著自己的意願
[00:01:03.720 --> 00:01:05.680]  主動去為家庭擺上
[00:01:05.680 --> 00:01:08.560]  為家庭作出很多愛心的服侍
[00:01:08.560 --> 00:01:10.080]  就算有時辛苦一點
[00:01:10.080 --> 00:01:11.840]  回到家裏有個安樂窩
[00:01:11.840 --> 00:01:13.460]  都是樂在其中
[00:01:13.460 --> 00:01:15.440]  如果能夠父慈子孝
[00:01:15.440 --> 00:01:18.400]  就更加是夫復何求
[00:01:18.400 --> 00:01:19.800]  不過現實生活裏面
[00:01:19.800 --> 00:01:23.560]  我們往往身處很多被動的場景
[00:01:23.560 --> 00:01:26.300]  未必每樣都可以自己作主
[00:01:26.300 --> 00:01:28.200]  特別是當下疫情
[00:01:28.200 --> 00:01:29.700]  社會的因素
[00:01:29.700 --> 00:01:31.980]  我們可能被安放在一些
[00:01:31.980 --> 00:01:34.800]  不太理想的客觀環境
[00:01:34.800 --> 00:01:38.680]  有時家裏可能要為著很多生活的需要
[00:01:38.680 --> 00:01:40.000]  子女的前途
[00:01:40.000 --> 00:01:41.600]  近日一些去留
[00:01:41.600 --> 00:01:43.160]  做很多決定
[00:01:43.160 --> 00:01:44.880]  而家人的意願
[00:01:44.880 --> 00:01:49.000]  立場又可能常常不一樣的時候
[00:01:49.000 --> 00:01:50.320]  家人的回應
[00:01:50.320 --> 00:01:53.800]  未必是我們可以去掌控
[00:01:53.800 --> 00:01:54.920]  在家裏面
[00:01:54.920 --> 00:01:56.460]  當身處一個可能
[00:01:56.460 --> 00:01:58.320]  不是很合自己心意
[00:01:58.320 --> 00:02:00.560]  一個被動的場景的時候
[00:02:00.560 --> 00:02:03.600]  要繼續為家人擺上愛心的服侍
[00:02:03.600 --> 00:02:06.240]  往往有更加大的挑戰
[00:02:06.240 --> 00:02:07.600]  那有沒有出路呢?
[00:02:07.600 --> 00:02:10.440]  可以幫我們不受這些牽動
[00:02:10.440 --> 00:02:11.920]  仍然有心有力
[00:02:11.920 --> 00:02:14.160]  用愛去建立這一頭家
[00:02:14.160 --> 00:02:16.760]  很想今天一同去學習
[00:02:16.760 --> 00:02:18.560]  今天是守聖餐的主日
[00:02:18.560 --> 00:02:22.320]  紀念耶穌基督為我們附上無條件的大愛
[00:02:22.320 --> 00:02:24.480]  耶穌為我們擺上的
[00:02:24.480 --> 00:02:26.160]  是一個怎樣的愛
[00:02:26.160 --> 00:02:30.120]  可以怎樣去鼓勵我們在家裏面有更好的服侍呢?
[00:02:30.120 --> 00:02:32.640]  我們藉著《約翰福音》十三章
[00:02:32.640 --> 00:02:33.960]  一至十七節的經文
[00:02:33.960 --> 00:02:36.600]  我們一同去學習
[00:02:36.600 --> 00:02:38.160]  我想耶穌的門徒世紀經文
[00:02:38.160 --> 00:02:40.600]  大家可能已經耳熟能詳了
[00:02:40.600 --> 00:02:43.440]  但是否就只是書尊降貴
[00:02:43.440 --> 00:02:46.720]  謙卑服侍那麼簡單?
[00:02:46.720 --> 00:02:49.120]  我們先看看經文的背景
[00:02:49.120 --> 00:02:50.320]  一節的上
[00:02:50.320 --> 00:02:51.840]  「月節以前
[00:02:51.840 --> 00:02:56.080]  耶穌知道自己離世歸附的時候到
[00:02:56.080 --> 00:02:57.800]  按照神安排的計劃
