
[00:00:00.000 --> 00:00:03.640]  今天和大家講的話題就是我們的生命的轉變
[00:00:03.640 --> 00:00:07.560]  今天和大家的話題就是生命的轉變
[00:00:07.560 --> 00:00:08.720]  我們信了主之後
[00:00:08.720 --> 00:00:10.080]  我們信主之後
[00:00:10.080 --> 00:00:11.760]  生命一定要有改變
[00:00:11.760 --> 00:00:12.920]  生命一定要有改變
[00:00:12.920 --> 00:00:14.720]  我們不可以停留在以前那裡
[00:00:14.720 --> 00:00:17.880]  我們不可以停留在以前的了
[00:00:17.880 --> 00:00:21.240]  猶太人有很多節期
[00:00:21.240 --> 00:00:23.600]  猶太人有很多的節期
[00:00:23.600 --> 00:00:26.600]  其中有一天是他們的正月十日
[00:00:26.600 --> 00:00:29.560]  其中一天就是他們正月的十日
[00:00:29.560 --> 00:00:32.360]  我們中國人是正月初一的慶祝
[00:00:32.360 --> 00:00:37.080]  我們中國人正月的初一就會慶祝
[00:00:37.080 --> 00:00:38.200]  大年初一 是不是
[00:00:38.200 --> 00:00:39.040]  春節
[00:00:39.040 --> 00:00:40.560]  春節的大年初一
[00:00:40.560 --> 00:00:42.880]  正月十五就是元宵 是不是
[00:00:42.880 --> 00:00:44.880]  正月十五就是元宵
[00:00:44.880 --> 00:00:47.320]  我們中國人也有很多的節期
[00:00:47.320 --> 00:00:49.000]  我們中國人也有很多的節期
[00:00:49.000 --> 00:00:50.560]  英國比較少的
[00:00:50.560 --> 00:00:51.840]  英國比較少
[00:00:51.840 --> 00:00:56.480]  可能香港又慶祝西方的節期
[00:00:56.480 --> 00:00:57.880]  又慶祝傳統中國的節期
[00:00:57.880 --> 00:00:59.160]  特別多假期
[00:00:59.160 --> 00:01:03.080]  香港又慶祝西方的節期
[00:01:03.080 --> 00:01:04.480]  又慶祝中國的節期
[00:01:04.480 --> 00:01:05.920]  所以特別多的假期
[00:01:05.920 --> 00:01:09.600]  猶太人的正月叫彌賽月
[00:01:09.600 --> 00:01:14.040]  猶太人的正月他們叫彌賽月
[00:01:14.040 --> 00:01:16.040]  是三、四月的時間
[00:01:16.040 --> 00:01:18.160]  就是我們三、四月的時間
[00:01:18.160 --> 00:01:23.560]  大概是西方日曆的三、四月的時間
[00:01:23.560 --> 00:01:26.280]  他們的正月十日是紀念什麼呢
[00:01:26.280 --> 00:01:28.840]  他們的正月的十日是紀念什麼
[00:01:28.840 --> 00:01:32.160]  那天猶太人的希伯來文叫阿利亞
[00:01:32.160 --> 00:01:34.680]  猶太人的希伯來文叫阿利亞
[00:01:34.680 --> 00:01:39.080]  那天是紀念他們橫過約旦河
[00:01:39.080 --> 00:01:43.760]  那天是紀念他們走過約旦河
[00:01:43.760 --> 00:01:45.360]  很多時候我們過紅海
[00:01:45.360 --> 00:01:46.560]  我們聽過很多次 是不是
[00:01:46.560 --> 00:01:49.600]  很多時候我們說過紅海
[00:01:49.600 --> 00:01:50.320]  都說了很多次
[00:01:50.320 --> 00:01:52.120]  摩西帶人過紅海 是不是
[00:01:52.120 --> 00:01:55.320]  摩西帶以色列人走過紅海
[00:01:55.320 --> 00:01:57.320]  過約旦河我們比較陌生一點 是不是
[00:01:57.320 --> 00:02:00.280]  摩西帶人過約旦河我們比較陌生一點
[00:02:00.280 --> 00:02:03.280]  但是有一個很重要的屬靈的意思
[00:02:03.280 --> 00:02:05.200]  有一個很重要的屬靈的意思
[00:02:05.200 --> 00:02:07.080]  首先說一下約旦河在哪裡
[00:02:07.080 --> 00:02:09.560]  首先我們先講一下約旦河在哪裡
[00:02:09.560 --> 00:02:11.840]  約旦河當然在中東的地方
[00:02:11.840 --> 00:02:13.520]  約旦河當然在中東的地方
[00:02:13.520 --> 00:02:14.920]  在巴勒斯坦那裡
[00:02:14.920 --> 00:02:16.120]  在巴勒斯坦那裡
[00:02:16.120 --> 00:02:19.000]  它是一條不是很長的河
[00:02:19.000 --> 00:02:20.400]  那條河不是很長的
[00:02:20.400 --> 00:02:22.760]  大約是二百五十公里左右
[00:02:22.760 --> 00:02:25.480]  大概是兩百五十公里左右
[00:02:25.480 --> 00:02:27.400]  即是百多公里
[00:02:27.400 --> 00:02:30.080]  大概是五公里的一百多公里
[00:02:30.080 --> 00:02:31.480]  那條河是流入
[00:02:31.480 --> 00:02:35.360]  第一流入一個叫加利利海或加利利湖
[00:02:35.360 --> 00:02:41.440]  那個河首先是流入加利利海或加利利湖
[00:02:41.440 --> 00:02:44.200]  但福音書經常聽到耶穌在加利利湖
[00:02:44.200 --> 00:02:45.920]  加利利海那裡
[00:02:45.920 --> 00:02:47.680]  其實是一個湖 不是海
