
[00:00:00.000 --> 00:00:04.320]  在這幾年裏面,因爲我們要求塘
[00:00:04.320 --> 00:00:09.120]  所以很多時候就會提到「合一」這一個字
[00:00:09.120 --> 00:00:15.520]  我們很希望能夠有合一的決定
[00:00:15.520 --> 00:00:21.400]  在以往很多的決定裏面,有時候真的不容易合一,是吧?
[00:00:21.400 --> 00:00:25.520]  那我們每次有,好像不合一的感覺的時候
[00:00:25.520 --> 00:00:26.680]  我們就很害怕了
[00:00:26.680 --> 00:00:30.680]  那要想辦法謀求合一
[00:00:30.680 --> 00:00:37.880]  我們要知道合一是很重要的
[00:00:37.880 --> 00:00:45.240]  合一不單止是一個教會的生存或者運作的非常重要的元素
[00:00:45.240 --> 00:00:48.760]  重要的不單止是這些
[00:00:48.760 --> 00:00:56.480]  重要的是合一的教會纔是神所悅立,是榮耀神的
[00:00:57.680 --> 00:01:00.680]  我們都不想看到教會不合一
[00:01:00.680 --> 00:01:05.680]  我們都出盡辦法想我們教會上下是合一
[00:01:05.680 --> 00:01:11.680]  但是,我們有沒有真的細心的去想一下
[00:01:11.680 --> 00:01:15.680]  究竟我們所說的合一,是什麼樣的合一呢?
[00:01:15.680 --> 00:01:21.680]  我們有沒有去尋求聖經裏面是怎麼解釋合一呢?
[00:01:21.680 --> 00:01:25.680]  聖經裏面是要求合一是什麼一回事呢?
[00:01:27.680 --> 00:01:30.680]  我想引大家去想一下
[00:01:30.680 --> 00:01:34.680]  在教會歷史裏面,特別是在中世紀
[00:01:34.680 --> 00:01:36.680]  這個十五、十六世紀的時候
[00:01:36.680 --> 00:01:43.680]  在十六世紀,當基督教從羅馬天主教脫離出來的時候
[00:01:43.680 --> 00:01:50.680]  我們稱爲是棄暗投明,是吧?當時是
[00:01:50.680 --> 00:01:57.680]  但是天主教教廷指責當時的基督徒,那些更正教的教徒
[00:01:57.680 --> 00:02:01.680]  他們是半教,是分裂,是不合一
[00:02:01.680 --> 00:02:07.680]  如果是這樣的時候,神會不會追究我們呢?
[00:02:07.680 --> 00:02:12.680]  我們看看現代,或者以前都是
[00:02:12.680 --> 00:02:21.680]  世界各地不同的國家,各個城市都有很多不同宗派的教會成立
[00:02:21.680 --> 00:02:23.680]  他們是各自運作的
[00:02:23.680 --> 00:02:28.680]  就算是同一個宗派裏面
[00:02:28.680 --> 00:02:30.680]  在一個國家或者大的地域裏面
[00:02:30.680 --> 00:02:33.680]  都有很多他們自己宗派的教會
[00:02:33.680 --> 00:02:36.680]  但是也是各自獨立運作的
[00:02:36.680 --> 00:02:39.680]  這樣算不算是不合一呢?
[00:02:41.680 --> 00:02:44.680]  如果是的話,神會不會追究呢?
[00:02:44.680 --> 00:02:48.680]  如果我們是處身其間,我們害不害怕呢?
[00:02:48.680 --> 00:02:56.680]  T4C,雙城懷恩教會,在這個地方成立的時候
[00:02:56.680 --> 00:03:00.680]  成立之初,雙城已經有很多大的教會成立了
[00:03:00.680 --> 00:03:04.680]  爲什麼我們不依附其中一個大教會去發展呢?
[00:03:04.680 --> 00:03:07.680]  爲什麼我們自己要建立自己獨立的堂會呢?
[00:03:07.680 --> 00:03:11.680]  這樣是不是不合一呢?是不是另起爐竈呢?
[00:03:11.680 --> 00:03:14.680]  我們怎麼想呢?
[00:03:14.680 --> 00:03:22.680]  在這幾年裏面,我們直堂
[00:03:22.680 --> 00:03:26.680]  我們在東區,西區分別有分堂成立
[00:03:26.680 --> 00:03:31.680]  我們將一批,兩批的人送出去,分出去
[00:03:31.680 --> 00:03:33.680]  在另外一個地方來崇拜聚會
[00:03:33.680 --> 00:03:35.680]  這樣是不是分裂呢?
[00:03:37.680 --> 00:03:39.680]  這樣是不是不合一呢?
[00:03:39.680 --> 00:03:42.680]  是不是另起爐竈呢?
[00:03:42.680 --> 00:03:45.680]  這樣合不合神的心意呢?
[00:03:45.680 --> 00:03:48.680]  我們分堂,直堂的時候很開心的
