
[00:00:00.000 --> 00:00:02.880]  好 讓我們先聽神的禱語 讓我們先同心禱告
[00:00:02.880 --> 00:00:04.120]  (我們同心禱告)
[00:00:04.120 --> 00:00:09.440]  慈悲的父神多謝你 讓我們能夠再次回來
[00:00:09.440 --> 00:00:12.600]  在你的說話的面前 同心的去聆聽
[00:00:12.600 --> 00:00:14.400]  並且預備我們心思意念
[00:00:14.400 --> 00:00:16.720]  去承擔接下來新一個星期
[00:00:16.720 --> 00:00:19.200]  你交託給我們的侍奉
[00:00:19.200 --> 00:00:20.880]  求你與我們同在
[00:00:20.880 --> 00:00:22.880]  革新我們每人的生命
[00:00:22.880 --> 00:00:26.600]  好使我們能夠更加盡善仗你
[00:00:26.600 --> 00:00:28.480]  能夠在你的當中
[00:00:28.480 --> 00:00:33.160]  能夠安託我們在所處的環境裡
[00:00:33.160 --> 00:00:35.560]  都能夠真是見證出
[00:00:35.560 --> 00:00:37.360]  我們屬神你的子民
[00:00:37.360 --> 00:00:38.680]  我們也都為到
[00:00:38.680 --> 00:00:41.440]  我們每一個人再一次交在主你的手
[00:00:41.440 --> 00:00:42.840]  不單止只是聆聽
[00:00:42.840 --> 00:00:44.280]  而且我們是真是
[00:00:44.280 --> 00:00:47.760]  在聖經的教導之後我們付諸實行
[00:00:47.760 --> 00:00:50.960]  好使我們都能夠真是做出每一件事
[00:00:50.960 --> 00:00:52.520]  都能夠榮神益人
[00:00:52.520 --> 00:00:53.920]  (廣東話)
[00:00:53.920 --> 00:00:56.920]  我們今天能夠再次有生命來到你的跟前
[00:00:56.920 --> 00:01:00.680]  一同來到師場上帝裡的說話
[00:01:00.680 --> 00:01:03.320]  特別是我們透過雅各書的內容
[00:01:03.320 --> 00:01:05.320]  讓我們更清楚知道
[00:01:05.320 --> 00:01:08.440]  原來我們今天所面對的生命生活
[00:01:08.440 --> 00:01:09.640]  絕不容易
[00:01:09.640 --> 00:01:13.080]  特別是我們從教會的這個門裡面
[00:01:13.080 --> 00:01:14.520]  我們一同來的學習
[00:01:14.520 --> 00:01:16.040]  怎麼樣來的侍奉敬拜
[00:01:16.040 --> 00:01:17.920]  跟隨你的腳步的時候
[00:01:17.920 --> 00:01:20.520]  我們可能遇見更多的困難
