
[00:00:00.000 --> 00:00:04.360]  上個月有網民在Facebook上瘋傳一則貼文
[00:00:04.360 --> 00:00:09.160]  說一位母親對她就讀小四的兒子要求甚高
[00:00:09.160 --> 00:00:12.760]  考試99分都不夠 要100分才完美
[00:00:12.760 --> 00:00:15.680]  兒子懷疑承受壓力過大
[00:00:15.680 --> 00:00:17.680]  以致他之後測驗不合格
[00:00:17.680 --> 00:00:19.160]  這位母親大受打擊
[00:00:19.160 --> 00:00:23.320]  不但罵兒子 還罵得頗狠毒地說
[00:00:23.320 --> 00:00:25.040]  「你不要想著自殺」
[00:00:25.040 --> 00:00:29.240]  「如果你死了我都會燒幾個爐子和一大疊煉炸給你做」
[00:00:29.240 --> 00:00:31.240]  嘩 都頗害怕
[00:00:31.240 --> 00:00:33.240]  是否虎媽
[00:00:33.240 --> 00:00:36.880]  死了都不放過他
[00:00:36.880 --> 00:00:41.680]  望子成龍是很多父母對子女的期望
[00:00:41.680 --> 00:00:44.680]  但如果這些期望去到扭曲的地步
[00:00:44.680 --> 00:00:49.480]  連子女的價值或性命都不理的時候
[00:00:49.480 --> 00:00:51.000]  都頗可憐
[00:00:51.000 --> 00:00:53.000]  下星期是母親節
[00:00:53.000 --> 00:00:55.800]  梁牧師講到 所以他提醒我們
[00:00:55.800 --> 00:00:59.840]  記得邀請家中的母親出席
[00:00:59.840 --> 00:01:02.120]  今日我要介紹大家認識
[00:01:02.120 --> 00:01:04.120]  聖經裡的一位母親
[00:01:04.120 --> 00:01:05.600]  我將她稱為虎媽
[00:01:05.600 --> 00:01:09.200]  因為她好像我們今天很多母親一樣
[00:01:09.200 --> 00:01:11.680]  希望兒子能出人頭地
[00:01:11.680 --> 00:01:13.280]  她望子成龍
[00:01:13.280 --> 00:01:16.480]  但到最後這位母親被改變過來
[00:01:16.480 --> 00:01:18.800]  成為一個被信服的門徒
[00:01:18.800 --> 00:01:21.120]  一生跟從主
[00:01:21.120 --> 00:01:22.440]  這位母親出場
[00:01:22.440 --> 00:01:25.840]  《馬太福音》第20章第20節
[00:01:25.840 --> 00:01:27.640]  「那時西比太兒子的母親
[00:01:27.640 --> 00:01:29.880]  和她兩個兒子上前來拜耶穌
[00:01:29.880 --> 00:01:31.280]  求祂一件事」
[00:01:31.280 --> 00:01:34.840]  在這裡我們看到聖經的作者記載一位母親
[00:01:34.840 --> 00:01:36.600]  但這位母親是誰呢
[00:01:36.600 --> 00:01:38.920]  這位母親的描述是
[00:01:38.920 --> 00:01:42.440]  西比太兒子的母親
[00:01:42.440 --> 00:01:44.280]  西比太兒子的母親
[00:01:44.280 --> 00:01:46.800]  她不叫他西比太的老婆
[00:01:46.800 --> 00:01:49.640]  也不叫他直接的名字
