
[00:00:00.000 --> 00:00:06.000]  弟兄姊妹早!
[00:00:06.000 --> 00:00:10.000]  很高興來到當中分享神的話語
[00:00:10.000 --> 00:00:13.000]  我先自我介紹一下
[00:00:13.000 --> 00:00:17.000]  我在商區福音團體工作
[00:00:17.000 --> 00:00:21.000]  差不多有35年了
[00:00:21.000 --> 00:00:24.000]  我當過義工
[00:00:24.000 --> 00:00:26.000]  當過董事
[00:00:26.000 --> 00:00:29.000]  也做過代職的同工
[00:00:29.000 --> 00:00:31.000]  全職的同工
[00:00:31.000 --> 00:00:34.000]  現在今年開始又做回大職的同工
[00:00:34.000 --> 00:00:37.000]  今年開始又成為代職的同工
[00:00:37.000 --> 00:00:42.000]  但是上帝給我一個很強烈的感動去服侍職場
[00:00:42.000 --> 00:00:47.000]  推動職場宣教
[00:00:47.000 --> 00:00:51.000]  鼓勵在職的弟兄姊妹
[00:00:51.000 --> 00:00:55.000]  在工作上見證我們的上帝
[00:00:55.000 --> 00:01:00.000]  今天很高興來到貴教會分享
[00:01:00.000 --> 00:01:08.000]  有些弟兄姊妹跟我說講職場宣教很悶的
[00:01:08.000 --> 00:01:15.000]  但是我今天來是有一個焦點想跟大家分享
[00:01:15.000 --> 00:01:20.000]  這個焦點就是一個愛的服侍
[00:01:20.000 --> 00:01:23.000]  因為我們的信仰,我們的主是位愛的主
[00:01:23.000 --> 00:01:26.000]  因為我們的信仰,我們的主是位愛的主
[00:01:26.000 --> 00:01:30.000]  上帝很愛我們
[00:01:30.000 --> 00:01:35.000]  既然我們是蒙上帝所愛的
[00:01:35.000 --> 00:01:43.000]  上帝會不會愛那些很討厭的老闆呢?
[00:01:43.000 --> 00:01:46.000]  很不合作的同事呢?
[00:01:46.000 --> 00:01:51.000]  又不聽指導的員工呢?
[00:01:51.000 --> 00:01:55.000]  上帝到底愛不愛他們呢?
[00:01:55.000 --> 00:01:58.000]  上帝也愛他們
[00:01:58.000 --> 00:02:03.000]  如果上帝也愛他們,上帝會做什麼呢?
[00:02:03.000 --> 00:02:08.000]  會不會上帝再下來地上一次呢?
[00:02:08.000 --> 00:02:16.000]  不會的,因為上帝給了教會一個愛的服侍
[00:02:16.000 --> 00:02:23.000]  讓我們每一個屬於上帝的兒女可以愛我們身邊的人
[00:02:23.000 --> 00:02:29.000]  代表上帝去關懷我們身邊的人
[00:02:29.000 --> 00:02:33.000]  縱然我們身邊的人可能很討厭
[00:02:33.000 --> 00:02:36.000]  很討人厭
[00:02:36.000 --> 00:02:38.000]  上帝也愛他們
[00:02:38.000 --> 00:02:42.000]  今天讀了一篇經文
[00:02:42.000 --> 00:02:46.000]  這是耶穌基督一個很好的榜樣
[00:02:46.000 --> 00:02:49.000]  給我們很多的教導
[00:02:49.000 --> 00:02:52.000]  是一個愛的教導
[00:02:52.000 --> 00:02:57.000]  在分享經文之前我們一起禱告
[00:02:57.000 --> 00:03:00.000]  親愛的天父我們感謝你
[00:03:00.000 --> 00:03:03.000]  你很愛我們
[00:03:03.000 --> 00:03:07.000]  當我們在罪惡裏面的時候
[00:03:07.000 --> 00:03:10.000]  你就挽回我們
