
[00:00:00.000 --> 00:00:05.000]  有一年的聖誕,Benny和Lily和我們玩了一個遊戲
[00:00:05.000 --> 00:00:08.000]  這個就是猜香港人的職業
[00:00:08.000 --> 00:00:10.000]  為什麼是香港人的職業呢?
[00:00:10.000 --> 00:00:12.000]  因為是用香港人的用語
[00:00:12.000 --> 00:00:15.000]  我們離開了香港都很久很久
[00:00:15.000 --> 00:00:18.000]  我們對香港人的用語都不是那麼熟悉
[00:00:18.000 --> 00:00:23.000]  其中說物業管理,你猜是什麼職業呢?
[00:00:23.000 --> 00:00:25.000]  原來是看間
[00:00:25.000 --> 00:00:29.000]  管本土經濟的又是什麼生意?
[00:00:29.000 --> 00:00:31.000]  原來是小販
[00:00:31.000 --> 00:00:35.000]  做物流,物件的物流動的流
[00:00:35.000 --> 00:00:39.000]  是什麼呢?是苦力,是孤雷
[00:00:39.000 --> 00:00:43.000]  資訊的科技,原來是賣電話
[00:00:43.000 --> 00:00:46.000]  還有就是另類的醫藥
[00:00:46.000 --> 00:00:50.000]  不是我們平時的醫藥,是另類的醫藥
[00:00:50.000 --> 00:00:52.000]  原來是搞按摩
[00:00:52.000 --> 00:00:55.000]  還有是搞視覺的藝術
[00:00:55.000 --> 00:00:58.000]  原來是美容理髮
[00:00:58.000 --> 00:01:01.000]  還有是創意的經濟
[00:01:01.000 --> 00:01:04.000]  原來是買翻版的東西
[00:01:04.000 --> 00:01:09.000]  搞港澳的貿易,原來是走水貨
[00:01:09.000 --> 00:01:13.000]  如果有間店鋪說長期都是內部裝修
[00:01:13.000 --> 00:01:15.000]  其實已經是倒閉了
[00:01:15.000 --> 00:01:20.000]  有人說繼續的進修,原來是沒事做
[00:01:20.000 --> 00:01:26.000]  也有人說想創業,原來創業就是失業的意思
[00:01:26.000 --> 00:01:30.000]  我有一次打電話給我的朋友
[00:01:30.000 --> 00:01:34.000]  問他吃了晚飯沒有?他說吃了
[00:01:34.000 --> 00:01:36.000]  我問他你在做什麼?
[00:01:36.000 --> 00:01:40.000]  他說在搞高溫液流的處理陶瓷
[00:01:40.000 --> 00:01:44.000]  我說你不是已經退休了嗎?
[00:01:44.000 --> 00:01:46.000]  為什麼還搞這麼高科技的東西?
[00:01:46.000 --> 00:01:48.000]  他笑笑口說
[00:01:48.000 --> 00:01:51.000]  其實他在廚房幫他太太洗碗
[00:01:51.000 --> 00:01:54.000]  所謂的高溫液流就是找熱水
[00:01:54.000 --> 00:01:58.000]  處理陶瓷就是洗碗洗碟
[00:01:58.000 --> 00:02:02.000]  舌頭說出來的話真的很好聽
[00:02:02.000 --> 00:02:06.000]  可以是讚美人,可以是罵人
[00:02:06.000 --> 00:02:10.000]  可以是安慰人,也可以是傷害人
[00:02:10.000 --> 00:02:14.000]  如果你是很有智慧來運用你的舌頭
[00:02:14.000 --> 00:02:16.000]  可能你可以成大事
[00:02:16.000 --> 00:02:20.000]  但是如果你不是這麼有智慧
[00:02:20.000 --> 00:02:22.000]  你可能會壞了大事
[00:02:22.000 --> 00:02:26.000]  在《針研》裡面超過了九十次
[00:02:26.000 --> 00:02:30.000]  告訴我們舌頭的力量,舌頭的重要性
[00:02:30.000 --> 00:02:33.000]  也是《針研》裡面最普遍的教導
[00:02:33.000 --> 00:02:38.000]  今天就是要跟大家講舌頭的智慧
[00:02:38.000 --> 00:02:41.000]  在《針研》的十八章二十一節
[00:02:41.000 --> 00:02:44.000]  說生死在舌頭的權下
[00:02:44.000 --> 00:02:46.000]  這個就是我們今天的經文
[00:02:46.000 --> 00:02:50.000]  舌頭真的很有力量
[00:02:50.000 --> 00:02:52.000]  可以掌管人的生死
[00:02:52.000 --> 00:02:54.000]  所以我們都要來學習
[00:02:54.000 --> 00:02:56.000]  怎樣運用我們的舌頭
[00:02:56.000 --> 00:02:59.000]  在《針研》的六章十六至十九節
[00:02:59.000 --> 00:03:03.000]  韋爺胡說有七件事是他所憎恨的
[00:03:03.000 --> 00:03:06.000]  其中有三件都是舌頭有關
[00:03:06.000 --> 00:03:10.000]  第一件是殺荒的舌頭就是說謊
[00:03:10.000 --> 00:03:13.000]  第二件是作假見證
[00:03:13.000 --> 00:03:17.000]  第三件是在弟兄中暴散紛爭的人
[00:03:17.000 --> 00:03:21.000]  使弟兄不和起紛爭的人
[00:03:21.000 --> 00:03:27.000]  在《雅各書》的三章六至八節說舌頭是火
[00:03:27.000 --> 00:03:31.000]  在八體當中舌頭是罪惡的世界
[00:03:31.000 --> 00:03:33.000]  可以污穢全身
[00:03:33.000 --> 00:03:36.000]  也可以毀壞一切
[00:03:36.000 --> 00:03:38.000]  可以成為殺蛋的工具
[00:03:38.000 --> 00:03:41.000]  《雅各》說各類的動物
[00:03:41.000 --> 00:03:46.000]  有走獸、飛禽、昆蟲、水中的動物
[00:03:46.000 --> 00:03:49.000]  都能夠被制服
[00:03:49.000 --> 00:03:52.000]  唯有舌頭不能被制服
[00:03:52.000 --> 00:03:54.000]  你想想在走獸當中
[00:03:54.000 --> 00:03:56.000]  有些很兇猛的動物
[00:03:56.000 --> 00:03:58.000]  獅子、老虎都可以被制服
[00:03:58.000 --> 00:04:02.000]  水中的鯨魚、鯊魚都可以被制服
[00:04:02.000 --> 00:04:05.000]  唯有舌頭沒有人能夠制服得住
[00:04:05.000 --> 00:04:10.000]  《雅各》說舌頭充滿了害死人的毒氣
[00:04:10.000 --> 00:04:13.000]  他剛才說舌頭是火
[00:04:13.000 --> 00:04:16.000]  中國人說星星之火可以燎原
[00:04:16.000 --> 00:04:22.000]  你想到舌頭能夠造成的後果有多厲害
[00:04:22.000 --> 00:04:25.000]  是一發不可收拾
[00:04:25.000 --> 00:04:29.000]  我們今天會說舌頭
[00:04:29.000 --> 00:04:32.000]  剛才走回去那節的經文說
[00:04:32.000 --> 00:04:35.000]  可以影響生死
[00:04:35.000 --> 00:04:37.000]  《針研》的十八章二十一節
[00:04:37.000 --> 00:04:39.000]  生就是正面的
[00:04:39.000 --> 00:04:41.000]  死就是負面的
[00:04:41.000 --> 00:04:43.000]  舌頭是有兩面的工作
[00:04:43.000 --> 00:04:45.000]  有正面有負面
[00:04:45.000 --> 00:04:48.000]  說得好令人絕處逢生
[00:04:48.000 --> 00:04:51.000]  說得不好可能是陷入絕境
[00:04:51.000 --> 00:04:53.000]  所以我們今天說舌頭的時候
[00:04:53.000 --> 00:04:55.000]  我們都會說兩方面的舌頭
[00:04:55.000 --> 00:04:57.000]  一方面是負面的
[00:04:57.000 --> 00:04:59.000]  是拆毀的舌頭
[00:04:59.000 --> 00:05:03.000]  我們會說是三種拆毀的舌頭
[00:05:03.000 --> 00:05:05.000]  第一種是霧失的話
[00:05:05.000 --> 00:05:07.000]  第二種是叛逆的話
[00:05:07.000 --> 00:05:11.000]  第三種是雪崩的話
[00:05:11.000 --> 00:05:14.000]  在正面的我們也會說三種
[00:05:14.000 --> 00:05:17.000]  我叫做建立的舌頭
[00:05:17.000 --> 00:05:19.000]  這些建立的舌頭也有三種
[00:05:19.000 --> 00:05:21.000]  第一種是公義的話
[00:05:21.000 --> 00:05:23.000]  第二種是造福的話
[00:05:23.000 --> 00:05:27.000]  第三種是受控制的話
[00:05:27.000 --> 00:05:31.000]  我們來看看第一種是負面的
[00:05:31.000 --> 00:05:33.000]  就是拆毀的話
[00:05:33.000 --> 00:05:36.000]  先苦後甜先說這些是負面的
[00:05:36.000 --> 00:05:39.000]  第一種是霧失的話
[00:05:39.000 --> 00:05:43.000]  在《針研》裡面是有說很多霧失的話的教導
[00:05:43.000 --> 00:05:46.000]  例如《針研》的十二章、十三章
[00:05:46.000 --> 00:05:48.000]  十五章和十六章
[00:05:48.000 --> 00:05:52.000]  尤其是《針研》的十五章二十八節
[00:05:52.000 --> 00:05:56.000]  說二人的心思量如何回答
[00:05:56.000 --> 00:05:59.000]  惡人的口吐出惡言
[00:05:59.000 --> 00:06:02.000]  一個是有智慧的人
[00:06:02.000 --> 00:06:05.000]  他是會想過才回答
[00:06:05.000 --> 00:06:07.000]  一個是愚蠢的人
[00:06:07.000 --> 00:06:09.000]  就會隨口而出
[00:06:09.000 --> 00:06:11.000]  想到什麼就說什麼
[00:06:11.000 --> 00:06:14.000]  John Wesley 約翰韋斯李
[00:06:14.000 --> 00:06:18.000]  他是創立秦道會的始創人
[00:06:18.000 --> 00:06:23.000]  他也是帶領英國人的福音派進入大獨興
[00:06:23.000 --> 00:06:27.000]  所以是很重要的一位人物
[00:06:27.000 --> 00:06:29.000]  當他有一次在講道的時候
