
[00:00:00.000 --> 00:00:01.500]  願我們平安
[00:00:01.500 --> 00:00:03.500]  我們一起來祈禱
[00:00:03.500 --> 00:00:05.500]  主天父感謝祢的恩典
[00:00:05.500 --> 00:00:07.500]  讓我們可以一同來敬拜祢
[00:00:07.500 --> 00:00:09.500]  也一同聆聽祢的話語
[00:00:09.500 --> 00:00:11.500]  祈求聖靈幫助我們
[00:00:11.500 --> 00:00:15.500]  可以活出一個更新的生命
[00:00:15.500 --> 00:00:17.500]  能夠時常喜樂
[00:00:17.500 --> 00:00:19.500]  榮耀見證主的名
[00:00:19.500 --> 00:00:21.500]  奉耶穌基督的名祈禱
[00:00:21.500 --> 00:00:26.500]  上個月我放假
[00:00:26.500 --> 00:00:28.500]  去了中國旅遊
[00:00:28.500 --> 00:00:30.500]  我不記得在哪個地方
[00:00:30.500 --> 00:00:32.500]  有一間餐館
[00:00:32.500 --> 00:00:35.500]  牆上貼了兩句說話
[00:00:35.500 --> 00:00:40.500]  金錢只是日用品
[00:00:40.500 --> 00:00:44.500]  快樂才是必需品
[00:00:44.500 --> 00:00:46.500]  我作為一位牧師
[00:00:46.500 --> 00:00:48.500]  也是基督徒
[00:00:48.500 --> 00:00:50.500]  我的反應是
[00:00:50.500 --> 00:00:52.500]  這兩句說話
[00:00:52.500 --> 00:00:54.500]  合不合乎聖經的教導呢
[00:00:54.500 --> 00:00:57.500]  錢是日用品
[00:00:57.500 --> 00:00:59.500]  我們都知道
[00:00:59.500 --> 00:01:03.500]  每天都要用的
[00:01:03.500 --> 00:01:07.500]  但我們是否應該追求快樂呢
[00:01:07.500 --> 00:01:10.500]  追求一個歡喜快樂的人生呢
[00:01:10.500 --> 00:01:14.500]  在舊約聖經裏面
[00:01:14.500 --> 00:01:17.500]  有一本最哲學性的書卷
[00:01:17.500 --> 00:01:19.500]  就是傳道書
[00:01:19.500 --> 00:01:21.500]  傳道者一開始就說
[00:01:21.500 --> 00:01:23.500]  虛空的虛空
[00:01:23.500 --> 00:01:25.500]  虛空的虛空
[00:01:25.500 --> 00:01:30.500]  意思是人生既短暫又極度虛空
[00:01:30.500 --> 00:01:32.500]  極度空虛
[00:01:32.500 --> 00:01:35.500]  然後他就花了不少篇幅說
[00:01:35.500 --> 00:01:39.500]  有權有勢的王所做的事
[00:01:39.500 --> 00:01:41.500]  都是虛空
[00:01:41.500 --> 00:01:43.500]  有錢可以享用
[00:01:43.500 --> 00:01:45.500]  都是虛空
[00:01:45.500 --> 00:01:49.500]  結果在第九章
[00:01:49.500 --> 00:01:51.500]  有一個小傑這樣說
[00:01:51.500 --> 00:01:55.500]  你只管歡歡喜喜吃你的飯
