
[00:00:00.000 --> 00:00:04.560]  弟兄姊妹,這幾天我越來越看見生命河不只是一個堂會而已
[00:00:04.560 --> 00:00:07.560]  生命河是一個movement
[00:00:07.560 --> 00:00:09.300]  是一個運動
[00:00:09.300 --> 00:00:13.060]  是一個屬靈覺醒的一個movement
[00:00:13.060 --> 00:00:16.660]  是一個信仰更新的一個movement
[00:00:16.660 --> 00:00:20.360]  我看見凡被生命河所觸鍋的生命
[00:00:20.360 --> 00:00:22.460]  都不再一樣了
[00:00:22.460 --> 00:00:25.700]  我看見凡生命河所流過的地方
[00:00:25.700 --> 00:00:27.560]  也都不再一樣了
[00:00:27.560 --> 00:00:30.060]  而弟兄姊,你要知道今天你坐在這裡
[00:00:30.060 --> 00:00:36.060]  你就是這個生命河movement其中的一員
[00:00:36.060 --> 00:00:37.860]  神要透過你
[00:00:37.860 --> 00:00:42.460]  使生命河一直湧流到萬國萬民
[00:00:42.460 --> 00:00:43.160]  Hallelujah
[00:00:43.160 --> 00:00:47.160]  跟你朋友說你就是生命河
[00:00:47.160 --> 00:00:50.660]  那到底生命河代表什麼呢?
[00:00:50.660 --> 00:00:52.060]  有一次我在禱告會當中
[00:00:52.060 --> 00:00:53.860]  神忽然提醒我
[00:00:53.860 --> 00:00:56.760]  其實神在我們過去這麼多年裡面
[00:00:56.760 --> 00:01:00.760]  已經賜給我們很多豐富的屬靈產業
[00:01:00.760 --> 00:01:03.960]  很多豐富的優良傳統
[00:01:03.960 --> 00:01:06.260]  你說牧師我們教會也有傳統嗎?
[00:01:06.260 --> 00:01:07.060]  是的
[00:01:07.060 --> 00:01:09.060]  我們教會也有傳統
[00:01:09.060 --> 00:01:11.060]  傳統不都是不好
[00:01:11.060 --> 00:01:13.060]  當然有些傳統好像包袱
[00:01:13.060 --> 00:01:15.160]  讓我們好像固步自封
[00:01:15.160 --> 00:01:16.460]  不能夠向前
[00:01:16.460 --> 00:01:18.760]  但事實上也有很多的傳統
[00:01:18.760 --> 00:01:21.460]  在我們生命當中是優良的傳統
[00:01:21.460 --> 00:01:25.160]  是需要我們繼續不斷去持守的
[00:01:25.160 --> 00:01:26.960]  所以我就把它稱之為是
[00:01:26.960 --> 00:01:30.060]  我們的屬靈產業
[00:01:30.060 --> 00:01:31.560]  不是傳統
[00:01:31.560 --> 00:01:34.360]  是屬靈產業
[00:01:34.360 --> 00:01:38.860]  是需要我們一代又一代要傳承下去的
[00:01:38.860 --> 00:01:39.760]  Amen
[00:01:39.760 --> 00:01:41.660]  那你說神在我們生命河
[00:01:41.660 --> 00:01:44.760]  賜給我們怎麼樣的屬靈產業呢?
[00:01:44.760 --> 00:01:48.560]  起碼我們看見三個很重要的屬靈產業
[00:01:48.560 --> 00:01:50.060]  神所賜給我們
[00:01:50.060 --> 00:01:51.160]  第一個
[00:01:51.160 --> 00:01:54.260]  就是我們的意象與策略
[00:01:54.260 --> 00:01:56.460]  我們的意象與策略
[00:01:56.460 --> 00:01:57.860]  從生命河一開始
[00:01:57.860 --> 00:02:01.260]  神就很清楚給我們意象與策略
[00:02:01.260 --> 00:02:03.260]  就是透過敬拜讚美
[00:02:03.260 --> 00:02:04.560]  聖靈更新
[00:02:04.560 --> 00:02:07.360]  小主教會全地轉化
[00:02:07.360 --> 00:02:10.360]  來建造神榮耀的教會
[00:02:10.360 --> 00:02:12.560]  建造神榮耀的教會
[00:02:12.560 --> 00:02:14.560]  就是我們的意象
[00:02:14.560 --> 00:02:15.960]  因為你看整本聖經
[00:02:15.960 --> 00:02:18.560]  神自始至終的心意
[00:02:18.560 --> 00:02:20.360]  就在教會
[00:02:20.360 --> 00:02:22.360]  當你打開聖經
[00:02:22.360 --> 00:02:25.260]  第一章創世紀第一章講到什麼?
