
[00:00:00.000 --> 00:00:08.000]  我們剛才讀的《老家福音》六章三十九至四十二節
[00:00:08.000 --> 00:00:15.000]  提到我們都是需要承認自己的不足
[00:00:15.000 --> 00:00:22.000]  才可以明白和去跟隨耶穌的教訓
[00:00:22.000 --> 00:00:29.000]  這個段落提到眼中有良木的比喻
[00:00:29.000 --> 00:00:37.000]  看到別人眼中的刺,但是看不到自己眼中原來是有良木
[00:00:37.000 --> 00:00:42.000]  忽視了自己不足,自己的缺乏
[00:00:42.000 --> 00:00:49.000]  接著耶穌用另外兩個比喻來解釋
[00:00:49.000 --> 00:01:00.000]  核子豈能帶領核子呢?可能兩個核子都掉進坑裡
[00:01:00.000 --> 00:01:06.000]  另外一個比喻是學生不能高於老師
[00:01:06.000 --> 00:01:11.000]  齊出當時宗教領袖他們的無能
[00:01:11.000 --> 00:01:22.000]  眼中良木說到這些領袖根本不配做群眾的帶領者
[00:01:22.000 --> 00:01:29.000]  這三個比喻對於猶太的宗教領袖一個批評
[00:01:29.000 --> 00:01:37.000]  這些領袖大概就是上下文提到有關的法尼塞人
[00:01:37.000 --> 00:01:43.000]  大家可以看看路加方六章第二節
[00:01:43.000 --> 00:01:47.000]  六章第二節
[00:01:47.000 --> 00:01:51.000]  這裡說有幾個法尼塞人說
[00:01:51.000 --> 00:01:57.000]  你們為什麼作安息日不可作的事呢?
[00:01:57.000 --> 00:02:01.000]  六章第七節
[00:02:01.000 --> 00:02:10.000]  文氏和法尼塞人窺探耶穌在安息日治病不治病
[00:02:10.000 --> 00:02:17.000]  要得把柄去告他
[00:02:17.000 --> 00:02:38.000]  另外是七章的三十節
[00:02:38.000 --> 00:02:47.000]  但法尼塞人和律法師沒有受過約翰的浸
[00:02:47.000 --> 00:02:55.000]  僅為自己廢棄了神的旨意
[00:02:55.000 --> 00:03:04.000]  當然主的回應不單單適用於他們的時代
[00:03:04.000 --> 00:03:09.000]  像今天在我們不同的處境當中
[00:03:09.000 --> 00:03:12.000]  我們都可以來使用
[00:03:12.000 --> 00:03:17.000]  這裡的比喻也說到
[00:03:17.000 --> 00:03:22.000]  我們需要去承認我們自己的有限不足
[00:03:22.000 --> 00:03:26.000]  以致我們可以有一個謙卑的心
[00:03:26.000 --> 00:03:32.000]  來聽得入神的話語、神的教導
[00:03:32.000 --> 00:03:38.000]  去明白耶穌的指引
[00:03:38.000 --> 00:03:45.000]  因為只有耶穌是滿有權柄的老師
[00:03:45.000 --> 00:03:50.000]  所以學生不能隨便自認是老師
[00:03:50.000 --> 00:03:55.000]  否則就像核子領核子一樣
[00:03:55.000 --> 00:03:58.000]  作為主的門徒
[00:03:58.000 --> 00:04:03.000]  我們可以效法主慰著別人
[00:04:03.000 --> 00:04:09.000]  去犧牲他自己的時間、生命
[00:04:09.000 --> 00:04:14.000]  他願意慰著福音來見證
[00:04:14.000 --> 00:04:17.000]  在六章的四十二節
[00:04:17.000 --> 00:04:21.000]  提到看不到自己眼中的良目
[00:04:21.000 --> 00:04:25.000]  就好像那些假冒為善的人
[00:04:25.000 --> 00:04:28.000]  他們不是表裡一致
[00:04:28.000 --> 00:04:33.000]  他們內心充滿一些污穢、罪惡
[00:04:33.000 --> 00:04:39.000]  自以為義、以為自己公義
[00:04:39.000 --> 00:04:44.000]  很多時都會批評、論斷其他人
[00:04:44.000 --> 00:04:49.000]  這樣、那樣、其他人的罪惡
[00:04:49.000 --> 00:04:55.000]  跟著四十三至四十五節的經文
[00:04:55.000 --> 00:04:59.000]  我們可以再看一看四十三節
[00:04:59.000 --> 00:05:03.000]  因為沒有好樹結壞果子
[00:05:03.000 --> 00:05:07.000]  也沒有壞樹結好果子
[00:05:07.000 --> 00:05:10.000]  凡樹木看果子
[00:05:10.000 --> 00:05:13.000]  就可以認出他來
[00:05:13.000 --> 00:05:18.000]  人不是從荊棘上摘無花果
[00:05:18.000 --> 00:05:22.000]  也不是從擲泥裡摘葡萄
[00:05:22.000 --> 00:05:26.000]  善人從他心裡所存的善
[00:05:26.000 --> 00:05:29.000]  就發出善來
[00:05:29.000 --> 00:05:32.000]  惡人從他心裡所存的惡
[00:05:32.000 --> 00:05:34.000]  就發出惡來
[00:05:34.000 --> 00:05:40.000]  因為心裡所充滿的口裡就說出來
[00:05:40.000 --> 00:05:43.000]  樹和果子的比喻
[00:05:43.000 --> 00:05:47.000]  進一步講到上一節提到
