
[00:00:00.000 --> 00:00:02.720]  今天的講題是「叛逆與馴服」
[00:00:02.720 --> 00:00:06.540]  到底怎樣才是叛逆?怎樣才是馴服呢?
[00:00:06.540 --> 00:00:10.980]  在1517年的時候
[00:00:10.980 --> 00:00:16.640]  馬丁路德因為反對當時教廷售賣贖罪券
[00:00:16.640 --> 00:00:21.120]  因為這些贖罪券的售賣都是斂財的
[00:00:21.120 --> 00:00:28.320]  他在教堂門外張貼了95條論點
[00:00:28.320 --> 00:00:31.200]  希望引起當時的人的討論
[00:00:31.200 --> 00:00:33.680]  大家一起來關注這件事
[00:00:33.680 --> 00:00:42.420]  這件事也因此導致他與教廷的嚴重決裂
[00:00:42.420 --> 00:00:47.680]  也由那時候開始展開了宗教改革運動
[00:00:47.680 --> 00:00:51.320]  基督教或者有些人稱為基督新教
[00:00:51.320 --> 00:00:56.160]  也由那時候開始從羅馬天主教分了出來
[00:00:56.160 --> 00:01:01.540]  大家覺得他是叛逆還是馴服呢?
[00:01:01.540 --> 00:01:03.900]  第二次世界大戰的時候
[00:01:03.900 --> 00:01:06.840]  德國神學家潘霍華
[00:01:06.840 --> 00:01:10.460]  他曾經參與反納粹主義運動
[00:01:10.460 --> 00:01:13.720]  也參與暗殺希特勒的行動
[00:01:13.720 --> 00:01:18.860]  並且因此而被捕入獄
[00:01:18.860 --> 00:01:23.720]  他被判刑入獄
[00:01:23.720 --> 00:01:28.260]  坐到德國差不多要投降
[00:01:28.260 --> 00:01:31.120]  在德國投降前一個月
[00:01:31.120 --> 00:01:36.280]  他就被槍決 被處決
[00:01:36.280 --> 00:01:40.900]  他又是叛逆還是馴服呢?
[00:01:40.900 --> 00:01:43.840]  以上兩位都是德國人
[00:01:43.840 --> 00:01:47.400]  接著說回一個中國人
[00:01:47.400 --> 00:01:54.840]  這位被譽為中國教會三大屬靈毀人之一的黃明道先生
[00:01:54.840 --> 00:01:59.800]  他在1955年被控反政府罪
[00:01:59.800 --> 00:02:01.500]  判刑15年
[00:02:01.500 --> 00:02:07.000]  在第二年因為他恐懼被槍決
[00:02:07.000 --> 00:02:12.600]  於是他否認自己一直所堅持的信念
[00:02:12.600 --> 00:02:15.680]  簽署了配國書
[00:02:15.680 --> 00:02:19.560]  他承認自己是反革命份子
[00:02:19.560 --> 00:02:21.600]  之後他雖然被釋放
[00:02:21.600 --> 00:02:27.960]  但是因為他精神受到嚴重的折磨
[00:02:27.960 --> 00:02:29.960]  所以在釋放之後
[00:02:29.960 --> 00:02:35.440]  他有一段時間幾乎有精神崩潰
[00:02:35.440 --> 00:02:37.840]  經過一年多的時間
[00:02:37.840 --> 00:02:39.920]  他才慢慢恢復
[00:02:39.920 --> 00:02:43.760]  在這個時候他受到良心的催逼
[00:02:43.760 --> 00:02:48.440]  於是他和太太一起走進公安局
[00:02:48.440 --> 00:02:54.800]  去否認他先前所簽下的配國書
[00:02:54.800 --> 00:03:01.480]  並且對家主身上的罪名一一否認
[00:03:01.480 --> 00:03:04.560]  於是他們兩人再次入獄
[00:03:04.560 --> 00:03:07.120]  當時是1958年
[00:03:07.120 --> 00:03:13.160]  由1958年坐到1979年才有機會釋放
[00:03:13.160 --> 00:03:16.880]  當時因為整個政治環境改變了
[00:03:16.880 --> 00:03:20.720]  政府想釋放他
[00:03:20.720 --> 00:03:27.400]  但當黃明道先生看到釋放文件的時候
[00:03:27.400 --> 00:03:31.520]  上面寫著他是反革命罪犯
[00:03:31.520 --> 00:03:33.960]  當時他非常生氣
[00:03:33.960 --> 00:03:36.880]  並且他說
[00:03:36.880 --> 00:03:38.960]  我在上帝的面前
[00:03:38.960 --> 00:03:40.800]  我承認自己是一個罪人
[00:03:40.800 --> 00:03:42.880]  但是在國家的法律面前
[00:03:42.880 --> 00:03:45.120]  我從來沒有犯過任何的罪
[00:03:45.120 --> 00:03:49.080]  並且他堅持不肯離開監獄
[00:03:49.080 --> 00:03:56.480]  當時監獄當局唯有騙他
[00:03:56.480 --> 00:04:01.280]  才令他肯離開監獄
[00:04:01.280 --> 00:04:06.080]  其實他前後一共坐了23年監獄
[00:04:06.080 --> 00:04:11.680]  大家覺得他是叛逆還是信服呢?
[00:04:11.680 --> 00:04:14.480]  還有《聖經》中的仕途保樂
[00:04:14.480 --> 00:04:22.000]  他跟前面兩位坐牢多於吃飯
[00:04:22.000 --> 00:04:26.400]  他的反對者羅織了很多的罪名來控告他
[00:04:26.400 --> 00:04:30.080]  在這些反對者的眼中他是大逆不道的
