
[00:00:00.000 --> 00:00:03.000]  (主席)各位弟兄姊妹平安,早晨
[00:00:03.000 --> 00:00:05.000]  今天是婦女主人
[00:00:05.000 --> 00:00:10.000]  剛好我們這兩年講解性叛徒
[00:00:10.000 --> 00:00:14.000]  是修會的會規跟語言有關係
[00:00:14.000 --> 00:00:17.000]  而安排的經訓
[00:00:17.000 --> 00:00:20.000]  已非所書,又是跟語言有關係
[00:00:20.000 --> 00:00:26.000]  就不是我們所講的三個女性走在一起一個「虛」
[00:00:26.000 --> 00:00:29.000]  這句話其實都不一定低面的
[00:00:29.000 --> 00:00:34.000]  其實講神造人女性比較善於表達
[00:00:34.000 --> 00:00:36.000]  我看我兩個孫子
[00:00:36.000 --> 00:00:40.000]  一個到兩三歲都擔心她不會說話
[00:00:40.000 --> 00:00:42.000]  「Ee-ah-ah」這樣
[00:00:42.000 --> 00:00:48.000]  但女孫未到一歲已經「呢度嗰度呢樣嗰樣」
[00:00:48.000 --> 00:00:49.000]  「This that」這樣
[00:00:49.000 --> 00:00:52.000]  你看那個言語的發展
[00:00:52.000 --> 00:00:56.000]  你就發現到神造女性
[00:00:56.000 --> 00:00:59.000]  她們對語言比較敏感
[00:00:59.000 --> 00:01:03.000]  她們喜歡溝通,善於表達
[00:01:03.000 --> 00:01:05.000]  男性就只有做的
[00:01:05.000 --> 00:01:09.000]  好像阿當,淚流滿額
[00:01:09.000 --> 00:01:13.000]  或者汗流滿額
[00:01:13.000 --> 00:01:17.000]  然後比較內斂
[00:01:17.000 --> 00:01:21.000]  少去表達她內心的一種感受
[00:01:21.000 --> 00:01:26.000]  在今天一個資訊科技非常發達
[00:01:26.000 --> 00:01:30.000]  但言語信息卻很混亂的一個世代裏
[00:01:30.000 --> 00:01:33.000]  我覺得這個課題不單止是姐妹
[00:01:33.000 --> 00:01:38.000]  是我們所有人都應該來學習的
[00:01:38.000 --> 00:01:40.000]  不單止聖經
[00:01:40.000 --> 00:01:47.000]  其實世界各地方的道德倫理或者文明
[00:01:47.000 --> 00:01:50.000]  都看到言語的重要性
[00:01:50.000 --> 00:01:54.000]  一言興邦,一言可以喪邦
[00:01:54.000 --> 00:02:02.000]  言語在文明的傳遞和福音的傳遞上
[00:02:02.000 --> 00:02:05.000]  有一個很重要的價值
[00:02:05.000 --> 00:02:08.000]  譬如我們人與人之間溝通
[00:02:08.000 --> 00:02:10.000]  我們可以通過聲音
[00:02:10.000 --> 00:02:12.000]  可以通過視象
[00:02:12.000 --> 00:02:14.000]  可以通過文字
[00:02:14.000 --> 00:02:18.000]  可以通過符號來表達
[00:02:18.000 --> 00:02:24.000]  最近有幾位資體發了給我一幅漫畫
[00:02:24.000 --> 00:02:32.000]  這個漫畫我聽說在網絡上很多人去看
[00:02:32.000 --> 00:02:33.000]  有幾個版本
[00:02:33.000 --> 00:02:37.000]  一個版本完全沒有答案
[00:02:37.000 --> 00:02:41.000]  一個版本將答案放在旁邊
[00:02:41.000 --> 00:02:47.000]  這個漫畫家學幾百年前一個荷蘭的畫家
[00:02:47.000 --> 00:02:54.000]  將荷蘭的諺語用一個圖畫表達出來
[00:02:54.000 --> 00:02:57.000]  在這裡如果你不看答案
[00:02:57.000 --> 00:03:02.000]  你都不知道他隱藏了81句歇後語
[00:03:02.000 --> 00:03:05.000]  言語更高深的運用
[00:03:05.000 --> 00:03:07.000]  不是直接表達
[00:03:07.000 --> 00:03:09.000]  而是曲折表達
[00:03:09.000 --> 00:03:12.000]  歇後語是什麼呢?曲折表達
[00:03:12.000 --> 00:03:15.000]  你那裡看到有個人在床下砍柴
[00:03:15.000 --> 00:03:20.000]  即是想表達撞板
[00:03:20.000 --> 00:03:24.000]  你又看到那棵樹上有隻豬拿刀上樹
[00:03:24.000 --> 00:03:26.000]  還有拉牛上樹
[00:03:26.000 --> 00:03:30.000]  你就知道對牛彈琴有多辛苦
[00:03:30.000 --> 00:03:33.000]  中國人的語言很豐富
[00:03:33.000 --> 00:03:36.000]  豐富到一個地步不單止只是溝通
[00:03:36.000 --> 00:03:39.000]  不單止是全程達意
[00:03:39.000 --> 00:03:44.000]  可以演變成很多娛樂、藝術和歇後語
[00:03:44.000 --> 00:03:47.000]  就是一種曲折表達
[00:03:47.000 --> 00:03:53.000]  不將自己尷尬的情況或者真正的需要說出來
[00:03:53.000 --> 00:04:00.000]  留有空間讓人去想像語言的指向是怎樣
[00:04:00.000 --> 00:04:03.000]  人類之所以能夠生存
[00:04:03.000 --> 00:04:07.000]  我覺得就是因為我們有語言文字
[00:04:07.000 --> 00:04:13.000]  能夠將那些生存的知識、技巧傳遞下去
[00:04:13.000 --> 00:04:16.000]  你想想我們人又沒有恐龍那麼強壯
[00:04:16.000 --> 00:04:18.000]  人在那裡,恐龍不在那裡
[00:04:18.000 --> 00:04:20.000]  我們有隻眼
[00:04:20.000 --> 00:04:25.000]  但是我們又不及蝙蝠那種感應能力那麼強
[00:04:25.000 --> 00:04:29.000]  我們的鼻又不及獵犬那麼厲害
[00:04:29.000 --> 00:04:36.000]  我們吃東西的消化力又不及一牛和羊
[00:04:36.000 --> 00:04:37.000]  為什麼呢?
[00:04:37.000 --> 00:04:40.000]  牠吃草,牠已經可以產生一些肉給你吃
[00:04:40.000 --> 00:04:43.000]  你吃草你試一下有沒有肉長出來
[00:04:43.000 --> 00:04:45.000]  你一定不行
[00:04:45.000 --> 00:04:51.000]  我們要喝水,駱駝是可以很久不喝水
[00:04:51.000 --> 00:04:56.000]  或者牠預先喝很多水,慢慢來解汗
[00:04:56.000 --> 00:05:00.000]  你可不可以今天喝十瓶,或者現在喝十瓶
[00:05:00.000 --> 00:05:03.000]  那你今天不喝水,不行
[00:05:03.000 --> 00:05:08.000]  我們人是在這個自然界裡面非常脆弱
[00:05:08.000 --> 00:05:13.000]  但是很奇特的就是我們通過撞板之後
[00:05:13.000 --> 00:05:19.000]  所獲得的生存的知識和技能
[00:05:19.000 --> 00:05:22.000]  能夠通過語言文字傳遞下去
[00:05:22.000 --> 00:05:27.000]  下一代的人不需要重新經過行雷閃電
[00:05:27.000 --> 00:05:29.000]  先曉得熔火
[00:05:29.000 --> 00:05:34.000]  甚至在技術上能夠繼續去改進
[00:05:34.000 --> 00:05:41.000]  所以我們看見語言文字在文化的傳承
[00:05:41.000 --> 00:05:46.000]  在人與人之間的溝通上是非常重要
[00:05:46.000 --> 00:05:50.000]  甚至有人類學家說人和動物的分別
[00:05:50.000 --> 00:05:56.000]  有語言文字是其中一種很重要的特徵
[00:05:56.000 --> 00:06:00.000]  來到在我們信仰上我們都發現到
[00:06:00.000 --> 00:06:06.000]  原來語言文字對我們的信仰的教導、傳承
[00:06:06.000 --> 00:06:11.000]  對福音真理的傳播都是很重要的
[00:06:11.000 --> 00:06:13.000]  以前的使徒傳福音
