
[00:00:00.000 --> 00:00:03.800]  耶穌和門徒在黑西瑪利園祈禱
[00:00:03.800 --> 00:00:06.400]  祂知道最後的戰爭已經開始
[00:00:06.400 --> 00:00:10.200]  祂要和撒旦作最後正面的接觸
[00:00:10.200 --> 00:00:14.800]  聖經記載耶穌當時憂愁、驚恐、極其難過
[00:00:14.800 --> 00:00:17.800]  甚至憂傷,幾乎要死
[00:00:17.800 --> 00:00:22.200]  禱告的時候,汗珠好像大血點滴在地上
[00:00:22.200 --> 00:00:24.800]  當時耶穌還在祈禱
[00:00:24.800 --> 00:00:30.600]  道成肉身的耶穌進入我們人性的深處和我們聯合
[00:00:30.600 --> 00:00:32.600]  祂就像我們一樣
[00:00:32.600 --> 00:00:35.000]  因為假如祂不是真正的人
[00:00:35.000 --> 00:00:39.800]  假如祂不是帶著人本身的人性死在十字架上
[00:00:39.800 --> 00:00:43.000]  祂的救贖對我們沒有意義
[00:00:43.000 --> 00:00:46.000]  耶穌自己首先走過我們要走的路
[00:00:46.000 --> 00:00:50.200]  耶穌三次的救贖,祂的救贖就是在我們身上
[00:00:50.200 --> 00:00:55.800]  耶穌自己首先走過我們要走的路,耶穌三次的祈禱都是說
[00:00:55.800 --> 00:01:00.400]  父啊,倘若可行,求祢叫這杯離開我
[00:01:00.400 --> 00:01:05.000]  然而,不要照我的意思,只要照祢的意思
[00:01:05.000 --> 00:01:10.600]  父神沒有答應耶穌的祈求,沒有將十格的虎杯拿走
[00:01:10.600 --> 00:01:14.800]  接著耶穌對門徒說,起來,我們走吧
[00:01:14.800 --> 00:01:20.800]  經文給我們看到,雖然祈求拿走虎杯的禱告,未蒙英文
[00:01:20.800 --> 00:01:27.800]  但藉著禱告,耶穌得著力量去迎接將來要面臨的挑戰、困難和苦難
[00:01:27.800 --> 00:01:31.200]  經文給我們看到,禱告並沒有改變事實
[00:01:31.200 --> 00:01:33.400]  但是禱告改變了人
[00:01:33.400 --> 00:01:37.200]  祈禱不改變事物,祈禱改變了我們
[00:01:37.200 --> 00:01:42.600]  我們在世上所遇到的大小困難,確實是會令我們憂傷、難過
[00:01:42.600 --> 00:01:46.000]  從赫西瑪利元基督的掙扎和禱告
[00:01:46.000 --> 00:01:49.400]  讓我們再一次肯定神對保羅所說
[00:01:49.400 --> 00:01:52.200]  我的恩典足夠你一切的需要
[00:01:52.200 --> 00:01:56.600]  我的能力在人的軟弱中最見功效
