
[00:00:00.000 --> 00:00:05.000]  今天和大家一起來看一段馬克福音的經文
[00:00:05.000 --> 00:00:08.360]  這段經文也有一點點的特別
[00:00:08.360 --> 00:00:11.880]  雖然它有三個不同的場景
[00:00:11.880 --> 00:00:15.680]  其實開始就說到耶穌和法利賽人的對話
[00:00:15.680 --> 00:00:20.980]  然後就是耶穌在船上跟門徒有一些對話
[00:00:20.980 --> 00:00:24.640]  最後耶穌就醫治好一個核子
[00:00:24.640 --> 00:00:28.020]  所以今天的題目就是在耶穌醫治核子裡面
[00:00:28.020 --> 00:00:31.800]  和核子的對話我用了來做今天的題目
[00:00:31.800 --> 00:00:34.900]  叫做「你看見什麼?」
[00:00:34.900 --> 00:00:38.120]  好像有一點點其實我們看這個核子
[00:00:38.120 --> 00:00:40.560]  和前面耶穌和門徒
[00:00:40.560 --> 00:00:43.120]  耶穌和法利賽人有沒有什麼關係呢?
[00:00:43.120 --> 00:00:47.360]  其實當中大家有一個同樣的訊息
[00:00:47.360 --> 00:00:51.600]  就是讓我們能夠知道怎樣來有真正的看見
[00:00:51.600 --> 00:00:55.240]  所以我先邀請大家一起來讀完這一段經文
[00:00:55.240 --> 00:00:59.800]  在馬克福音的第八章十一節到二十六節
[00:00:59.800 --> 00:01:01.240]  我們看到螢光幕的
[00:01:01.240 --> 00:01:03.400]  邀請大家一起來讀這段經文
[00:01:03.400 --> 00:01:05.060]  預備起
[00:01:05.060 --> 00:01:08.280]  法利賽人出來盤問耶穌
[00:01:08.280 --> 00:01:13.040]  求祂從天上顯過神跡給他們看
[00:01:13.040 --> 00:01:15.280]  想要試探祂
[00:01:15.280 --> 00:01:19.360]  耶穌心裡深深地嘆息說
[00:01:19.360 --> 00:01:22.800]  這世代為什麼求神跡呢?
[00:01:22.800 --> 00:01:25.320]  我實在告訴你們
[00:01:25.320 --> 00:01:29.080]  沒有神跡給這世代看
[00:01:29.080 --> 00:01:31.280]  他就離開他們
[00:01:31.280 --> 00:01:34.920]  又上船往海那邊去了
[00:01:34.920 --> 00:01:37.160]  門徒忘了帶餅
[00:01:37.160 --> 00:01:40.120]  在船上除了一個餅
[00:01:40.120 --> 00:01:42.400]  沒有別的食物
[00:01:42.400 --> 00:01:44.880]  耶穌祝福他們說
[00:01:44.880 --> 00:01:46.880]  你們要謹慎
[00:01:46.880 --> 00:01:52.040]  防備法利賽人的孝和希律的孝
[00:01:52.040 --> 00:01:54.640]  他們彼此議論說
[00:01:54.640 --> 00:01:58.080]  這是因為我們沒有餅吧?
[00:01:58.080 --> 00:02:00.920]  耶穌看出來就說
[00:02:00.920 --> 00:02:05.520]  你們為什麼因為沒有餅就議論呢?
[00:02:05.520 --> 00:02:07.840]  你們還不醒悟?
[00:02:07.840 --> 00:02:10.000]  還不明白嗎?
[00:02:10.000 --> 00:02:13.720]  你們的心還是如幻嗎?
[00:02:13.720 --> 00:02:17.240]  你們有眼睛看不見嗎?
[00:02:17.240 --> 00:02:20.240]  有耳朵聽不見嗎?
[00:02:20.240 --> 00:02:22.280]  也不記得嗎?
[00:02:22.280 --> 00:02:24.720]  我張開那五個餅
[00:02:24.720 --> 00:02:26.720]  分給五千人
[00:02:26.720 --> 00:02:29.080]  你們收拾的零碎
[00:02:29.080 --> 00:02:32.120]  裝滿了多少蠟紙呢?
[00:02:32.120 --> 00:02:34.880]  他們說十二個
[00:02:34.880 --> 00:02:37.520]  又張開那七個餅
