
[00:00:00.000 --> 00:00:03.000]  大英師妹,今天我們繼續和大家去看看
[00:00:03.000 --> 00:00:05.000]  上一次我們其實是在說聖靈的果子
[00:00:05.000 --> 00:00:07.000]  和平平安
[00:00:07.000 --> 00:00:09.000]  上一次已經說了一半
[00:00:09.000 --> 00:00:11.000]  這次就說下半節
[00:00:11.000 --> 00:00:13.000]  下半節是C篇46篇
[00:00:13.000 --> 00:00:15.000]  剛才跟大家讀的
[00:00:15.000 --> 00:00:17.000]  廣東話有一句
[00:00:17.000 --> 00:00:21.000]  有沒有聽過?
[00:00:21.000 --> 00:00:23.000]  有啦,廣東人就會聽過
[00:00:23.000 --> 00:00:26.000]  天跌下來當皮琴
[00:00:28.000 --> 00:00:30.000]  其實誰可以呢?
[00:00:30.000 --> 00:00:32.000]  我可以,是不是真的可以?
[00:00:32.000 --> 00:00:34.000]  天跌下來這麼大件事,你都可以當皮琴?
[00:00:34.000 --> 00:00:36.000]  這麼隨悅而安嗎?
[00:00:36.000 --> 00:00:39.000]  是不是真的可以呢?
[00:00:39.000 --> 00:00:41.000]  說就真的容易
[00:00:41.000 --> 00:00:43.000]  真的,你經歷過
[00:00:43.000 --> 00:00:46.000]  很大的挑戰危難來到的時候
[00:00:46.000 --> 00:00:49.000]  是不是真的仍然這麼樂觀,這麼豁達呢?
[00:00:49.000 --> 00:00:52.000]  上一次說到
[00:00:52.000 --> 00:00:55.000]  這個世界很不和平
[00:00:55.000 --> 00:00:58.000]  很多,無論是有煙的戰爭
[00:00:58.000 --> 00:01:00.000]  或者無煙的戰爭
[00:01:00.000 --> 00:01:02.000]  我們怎樣可以在這個世界裡面
[00:01:02.000 --> 00:01:04.000]  得到真正的平安
[00:01:04.000 --> 00:01:06.000]  很難
[00:01:06.000 --> 00:01:09.000]  還有我們說這個世界不斷的變
[00:01:09.000 --> 00:01:12.000]  甚至是變得越來越差
[00:01:12.000 --> 00:01:16.000]  唯有
[00:01:16.000 --> 00:01:19.000]  C篇46篇上一次跟大家分享就是
[00:01:19.000 --> 00:01:21.000]  無論這個世界怎樣改變
[00:01:21.000 --> 00:01:23.000]  變得越來越差
[00:01:23.000 --> 00:01:25.000]  兵臨城下的時候
[00:01:25.000 --> 00:01:27.000]  只要有神在這裡
[00:01:27.000 --> 00:01:29.000]  和你在一起
[00:01:29.000 --> 00:01:32.000]  祂和你在一起
[00:01:32.000 --> 00:01:34.000]  祂是永遠掌權的王
[00:01:34.000 --> 00:01:36.000]  以致我們能夠
[00:01:36.000 --> 00:01:38.000]  經歷神給我們這個平安
[00:01:38.000 --> 00:01:40.000]  所以今天我們看一下
[00:01:40.000 --> 00:01:42.000]  神是永遠掌權的
[00:01:42.000 --> 00:01:44.000]  第一點
[00:01:44.000 --> 00:01:46.000]  看一下祂的作為
[00:01:46.000 --> 00:01:49.000]  第八到第九節我們一起再讀
[00:01:49.000 --> 00:01:53.000]  你們來看耶和華的作為
[00:01:53.000 --> 00:01:56.000]  看祂使地怎樣荒涼
[00:01:56.000 --> 00:01:59.000]  祂只息刀兵直到地極
[00:01:59.000 --> 00:02:01.000]  祂折弓斷槍
[00:02:01.000 --> 00:02:04.000]  把戰車焚燒在火中
[00:02:04.000 --> 00:02:10.000]  記得上次跟大家說到
[00:02:10.000 --> 00:02:13.000]  這首詩篇我們要很知道祂的背景
[00:02:13.000 --> 00:02:16.000]  才能夠更加明白祂想說些什麼
[00:02:16.000 --> 00:02:19.000]  詩篇四十六篇的背景我再說多一次
[00:02:19.000 --> 00:02:22.000]  猶大國晚期很弱
[00:02:22.000 --> 00:02:24.000]  他是靠進貢給亞述
[00:02:24.000 --> 00:02:27.000]  以致亞述不攻打他
[00:02:27.000 --> 00:02:30.000]  他還可以保住自己的國家
[00:02:30.000 --> 00:02:32.000]  在當時來說
[00:02:32.000 --> 00:02:36.000]  是很危險的
[00:02:36.000 --> 00:02:38.000]  但是當時猶大國
[00:02:38.000 --> 00:02:40.000]  他的王熙西加王
[00:02:40.000 --> 00:02:43.000]  就是和亞述有聯繫
[00:02:43.000 --> 00:02:45.000]  以致年年進貢
