
[00:00:00.000 --> 00:00:03.920]  很開心可以和大家一起讀上帝的說話
[00:00:03.920 --> 00:00:06.440]  也很開心可以一起來敬拜主
[00:00:06.440 --> 00:00:08.080]  我們看的經文
[00:00:08.080 --> 00:00:11.600]  在提摩太前書二章八至十五節
[00:00:11.600 --> 00:00:15.200]  請大家和我一起讀完這幾節的經文
[00:00:15.200 --> 00:00:20.760]  好 我們一起來
[00:00:20.760 --> 00:00:21.960]  一二三
[00:00:21.960 --> 00:00:25.920]  我願男人無憤怒 無爭論
[00:00:25.920 --> 00:00:29.320]  舉起聖潔的手 隨處禱告
[00:00:29.320 --> 00:00:32.240]  又願女人廉恥自首
[00:00:32.240 --> 00:00:34.520]  以正派衣裳為裝飾
[00:00:34.520 --> 00:00:37.760]  不以編髮 黃金 珍珠
[00:00:37.760 --> 00:00:40.120]  和貴價的衣裳為裝飾
[00:00:40.120 --> 00:00:41.800]  只要有善行
[00:00:41.800 --> 00:00:45.200]  這才與自稱是敬神的女人相宜
[00:00:45.200 --> 00:00:48.960]  女人要沉靜學道 一味地馴服
[00:00:48.960 --> 00:00:51.280]  我不許女人講道
[00:00:51.280 --> 00:00:53.560]  也不許她嚇管男人
[00:00:53.560 --> 00:00:55.000]  只要沉靜
[00:00:55.000 --> 00:00:56.960]  因為先做的是亞當
[00:00:56.960 --> 00:00:58.720]  後做的是夏娃
[00:00:58.720 --> 00:01:00.720]  且不是亞當被引誘
[00:01:00.720 --> 00:01:02.640]  乃是女人被引誘
[00:01:02.640 --> 00:01:04.240]  陷在敘裡
[00:01:04.240 --> 00:01:08.120]  然而女人若常存信心 愛心
[00:01:08.120 --> 00:01:09.640]  有聖潔自首
[00:01:09.640 --> 00:01:12.400]  就必在生產上得救
[00:01:12.400 --> 00:01:14.400]  請接我們一起祈禱
[00:01:14.400 --> 00:01:17.560]  主耶穌我們感謝祢給我們有祢寶貴的說話
[00:01:17.560 --> 00:01:19.920]  主耶穌願意我們打響他們的心
[00:01:19.920 --> 00:01:22.360]  來載著祢自己的話語
[00:01:22.360 --> 00:01:23.920]  有求親愛的聖靈
[00:01:23.920 --> 00:01:25.720]  祢教導我們去明白
[00:01:25.720 --> 00:01:27.920]  也教導我們來淺行
[00:01:27.920 --> 00:01:30.080]  我們同心仰望祢
[00:01:30.080 --> 00:01:32.800]  奉救主耶穌基督的名頭
[00:01:32.800 --> 00:01:33.800]  阿們
[00:01:33.800 --> 00:01:36.680]  這段經文非常困難
[00:01:36.680 --> 00:01:39.160]  特別是剛才大家如果聽到我讀到
[00:01:39.160 --> 00:01:40.680]  最後那幾節經文的時候
[00:01:40.680 --> 00:01:42.360]  我不許女人講道
[00:01:42.360 --> 00:01:43.680]  大家會不會覺得
[00:01:43.680 --> 00:01:45.160]  有些很震撼呢
[00:01:45.160 --> 00:01:47.600]  今天剛好是劉姑娘來講道
[00:01:47.600 --> 00:01:48.920]  是一個女人
[00:01:48.920 --> 00:01:51.440]  這段經文其實是要講些什麼呢
[00:01:51.440 --> 00:01:54.520]  讓我們一起慢慢地進入
[00:01:54.520 --> 00:01:55.960]  以致我們能夠
[00:01:55.960 --> 00:01:57.640]  可以在當中了解到
