
[00:00:00.000 --> 00:00:00.700]  哈勒路亞
[00:00:00.700 --> 00:00:03.800]  看到華人真高興
[00:00:03.800 --> 00:00:07.200]  有這個禮拜我開拉
[00:00:07.200 --> 00:00:08.500]  聽得到嗎
[00:00:08.500 --> 00:00:11.800]  聽得到嗎
[00:00:11.800 --> 00:00:14.300]  他們都說聽得到
[00:00:14.300 --> 00:00:18.700]  啊 國光墓室你聽不到 那麻煩大了
[00:00:18.700 --> 00:00:22.200]  我這個禮拜都在 Orlando 啊
[00:00:22.200 --> 00:00:26.700]  因為美國的行道會140週年慶
[00:00:26.700 --> 00:00:29.300]  所以台灣來兩個墓者
[00:00:29.800 --> 00:00:31.500]  特別來因為很久沒有來了
[00:00:31.500 --> 00:00:33.600]  所以我就跟另外一位吳慕斯一起來
[00:00:33.600 --> 00:00:35.900]  所以這個禮拜都在他們當中
[00:00:35.900 --> 00:00:39.700]  都是因為行道會的歷史可能有人知道
[00:00:39.700 --> 00:00:40.800]  可能有人不知道
[00:00:40.800 --> 00:00:45.500]  行道會其實很早期在中國大陸就有醫院
[00:00:45.500 --> 00:00:46.800]  就有學校
[00:00:46.800 --> 00:00:50.700]  就有宣教士在那時候還在大陸的時候
[00:00:50.700 --> 00:00:53.600]  後來我們就到台灣嘛
[00:00:53.600 --> 00:00:56.800]  所以很多宣教士在裡面其實是訓道的
[00:00:56.800 --> 00:00:58.600]  為華人訓道
[00:00:58.600 --> 00:01:01.900]  所以行道會的歷史在華人當中其實很久了
[00:01:01.900 --> 00:01:04.100]  但是很多人不知道行道會
[00:01:04.100 --> 00:01:06.800]  他的英文叫 Evangelical Covenant Church
[00:01:06.800 --> 00:01:09.600]  也就是 Covenant 聖約的教會
[00:01:09.600 --> 00:01:11.900]  那他特別加了一個 Evangelical
[00:01:11.900 --> 00:01:14.400]  那這個教會這個教派從哪裡來呢
[00:01:14.400 --> 00:01:16.400]  他是從瑞典
[00:01:16.400 --> 00:01:21.700]  瑞典的國教信義中分出來了
[00:01:21.700 --> 00:01:24.100]  因為教會到了一個程度
[00:01:24.100 --> 00:01:25.900]  再也不傳福音了
[00:01:26.100 --> 00:01:28.600]  只是聚聚會人也不多
[00:01:28.600 --> 00:01:31.300]  所以就是有一批這樣的基督徒
[00:01:31.300 --> 00:01:33.600]  他們覺得聖經不是這個意思
[00:01:33.600 --> 00:01:35.600]  所以他們就從當中出來
[00:01:35.600 --> 00:01:37.700]  從當中出來以後呢
[00:01:37.700 --> 00:01:41.300]  就組成了一個團隊
[00:01:41.300 --> 00:01:42.600]  多少人我不太知道
[00:01:42.600 --> 00:01:44.600]  那個是很久很久以前的事情
[00:01:44.600 --> 00:01:46.200]  然後從這個裡面
[00:01:46.200 --> 00:01:48.800]  他們後來就移民到美國
[00:01:48.800 --> 00:01:51.700]  他們的 headquarters 在 Chicago
[00:01:52.200 --> 00:01:56.400]  Chicago 有大學 有醫院 有神學院
[00:01:56.400 --> 00:01:58.600]  有他們的辦公室
[00:01:58.600 --> 00:02:00.200]  所以行道會的影響
[00:02:00.200 --> 00:02:02.400]  其實他不是大教會
[00:02:02.400 --> 00:02:05.300]  美國大概頂多九百間
[00:02:05.300 --> 00:02:06.500]  不算大教派
[00:02:06.500 --> 00:02:09.400]  跟台灣的行道會在台灣是一樣
[00:02:09.400 --> 00:02:10.700]  我們真的是小宗派
[00:02:10.700 --> 00:02:13.600]  但是呢 他的一個特色就是
[00:02:13.600 --> 00:02:17.500]  他在各地大概十幾二十個國家都有宣教士
[00:02:17.500 --> 00:02:18.900]  而且一直都是這樣
[00:02:18.900 --> 00:02:21.400]  所以我這次參加他們的年會
[00:02:21.400 --> 00:02:22.600]  因為很久沒有來了
[00:02:22.600 --> 00:02:24.900]  以前十幾年前有來過
[00:02:24.900 --> 00:02:26.600]  在 Chicago 我去過
[00:02:26.600 --> 00:02:29.800]  但是呢 這次來我還是很感動
[00:02:29.800 --> 00:02:31.700]  因為他們當中很多的同工
[00:02:31.700 --> 00:02:35.300]  他們的爸爸 他們的祖父都是宣教士
[00:02:35.300 --> 00:02:38.300]  所以他們是一路這樣傳承下來的
[00:02:38.300 --> 00:02:40.600]  那一個的屬靈的傳承
[00:02:40.600 --> 00:02:43.900]  非常的 屬靈上非常的棒
[00:02:43.900 --> 00:02:45.500]  也是我很羨慕
[00:02:45.500 --> 00:02:48.300]  所以 而且他們因為是宣教士
[00:02:48.300 --> 00:02:51.600]  所以他們每一個人出來都會很多國的語言
[00:02:51.600 --> 00:02:54.300]  像我們當中有一位他年紀也比較大
[00:02:54.300 --> 00:02:55.800]  他是美國人嘛
[00:02:55.800 --> 00:02:58.100]  英文一定是他的母語
[00:02:58.100 --> 00:03:00.900]  然後他又在泰國宣教過十八年
[00:03:00.900 --> 00:03:02.100]  所以他會泰語
[00:03:02.100 --> 00:03:06.800]  然後因為美國很多那個南美的宣教士
[00:03:06.800 --> 00:03:08.300]  也很多南美的
[00:03:08.300 --> 00:03:10.700]  就他也會西班牙語
[00:03:10.700 --> 00:03:13.300]  然後他也學了一些法語
[00:03:13.300 --> 00:03:15.800]  所以在他們當中做同工的
[00:03:15.800 --> 00:03:18.700]  大概我看起來 這一個禮拜接觸
[00:03:18.700 --> 00:03:21.200]  大概每一個人都是三種語言
[00:03:21.200 --> 00:03:23.500]  就算不精也可以講
[00:03:23.500 --> 00:03:25.500]  哇 我非常的佩服
[00:03:25.500 --> 00:03:29.500]  所以我們就看到上帝在可能幾百年前
