
[00:00:00.000 --> 00:00:01.400]  好,弟兄姊妹,平安
[00:00:01.400 --> 00:00:03.400]  我們再一次低頭祈禱
[00:00:03.400 --> 00:00:05.400]  天父,我們感謝祢
[00:00:05.400 --> 00:00:07.600]  因為祢給我們祢的說話
[00:00:07.600 --> 00:00:10.800]  也給我們有機會一起去敬拜
[00:00:10.800 --> 00:00:13.200]  我們一起聚會,一起敬拜的時候
[00:00:13.200 --> 00:00:15.200]  我們聆聽祢的吩咐
[00:00:15.200 --> 00:00:19.200]  我們明白如何在世間上行事為人
[00:00:19.200 --> 00:00:22.000]  願祢的說話,願祢的聖經
[00:00:22.000 --> 00:00:23.800]  成為我們生活的指引
[00:00:23.800 --> 00:00:27.000]  我們今天所聽的這段經文
[00:00:27.000 --> 00:00:28.200]  求祢教導我們
[00:00:28.200 --> 00:00:29.800]  奉耶穌基督的名祈求
[00:00:29.800 --> 00:00:30.400]  阿門
[00:00:30.400 --> 00:00:32.000]  好,弟兄姊妹
[00:00:32.000 --> 00:00:35.000]  今天我們繼續思想哥林多前書的時候
[00:00:35.000 --> 00:00:38.000]  就去到第六章第一節到第八節
[00:00:38.000 --> 00:00:40.800]  這次保羅就跟哥林多人
[00:00:40.800 --> 00:00:42.800]  來討論一個問題
[00:00:42.800 --> 00:00:46.400]  這個問題就是說到告上法庭的問題
[00:00:46.400 --> 00:00:48.400]  這個告上法庭的問題
[00:00:48.400 --> 00:00:49.600]  事源是怎樣的呢?
[00:00:49.600 --> 00:00:52.800]  事源就是他們中間
[00:00:52.800 --> 00:00:54.800]  就有人去
[00:00:54.800 --> 00:00:56.800]  彼此打官司告上法庭了
[00:00:56.800 --> 00:00:58.000]  在六章第一節這樣說
[00:00:58.000 --> 00:01:00.800]  他說:你們中間有彼此相爭的事
[00:01:00.800 --> 00:01:03.000]  怎敢在不義的人面前求審
[00:01:03.000 --> 00:01:05.800]  不在聖徒面前求審呢?
[00:01:05.800 --> 00:01:11.400]  這一句話雖然講了不是很多東西
[00:01:11.400 --> 00:01:15.400]  但是基本上已經很清楚講了保羅的立場
[00:01:15.400 --> 00:01:16.600]  保羅的立場就是說
[00:01:16.600 --> 00:01:19.400]  他們哥林多人
[00:01:19.400 --> 00:01:20.800]  可能有兩個人
[00:01:20.800 --> 00:01:23.600]  他們彼此就有爭執
