
[00:00:00.000 --> 00:00:02.560]  各位電影姊妹,祝你平安喜樂
[00:00:02.560 --> 00:00:05.880]  又過了一天了,又一起讀聖經
[00:00:05.880 --> 00:00:10.760]  聖經人聖經事由生命樹宣教網絡提供
[00:00:10.760 --> 00:00:15.100]  希望我們多讀聖經,多認識上帝
[00:00:15.100 --> 00:00:17.400]  今次是作玄傳人
[00:00:17.400 --> 00:00:21.000]  如果昨天你還記得,就是講墨基使德
[00:00:21.000 --> 00:00:24.580]  墨基使德就是阿伯拉罕打勝仗回來之後
[00:00:24.580 --> 00:00:27.400]  要拿自己所獲的十分之一
[00:00:27.640 --> 00:00:31.740]  獻給至高神的祭司墨基使德
[00:00:31.740 --> 00:00:35.840]  因此墨基使德再次在希伯來斯出現
[00:00:35.840 --> 00:00:38.400]  被認為是上帝
[00:00:38.400 --> 00:00:39.940]  最高的祭司
[00:00:39.940 --> 00:00:42.500]  代表
[00:00:42.500 --> 00:00:43.780]  早些
[00:00:43.780 --> 00:00:46.340]  表達象徵耶穌基督
[00:00:46.340 --> 00:00:50.420]  因此墨基使德是一個平安的王
[00:00:50.420 --> 00:00:54.260]  阿伯拉罕也獻十分之一給他
[00:00:54.520 --> 00:00:57.860]  即是說墨基使德是一個很高的位置
[00:00:57.860 --> 00:01:04.000]  今次就看作玄傳人,就是上帝要求阿伯拉罕
[00:01:04.000 --> 00:01:07.320]  作玄傳人,今次聖經人聖經事
[00:01:07.320 --> 00:01:12.700]  來到講阿伯拉罕,阿伯蘭,你知道要講很久了
[00:01:12.700 --> 00:01:15.780]  蒼生基第十七章第一節,留意一下
[00:01:15.780 --> 00:01:20.900]  你用一個故事的方式去想,你會容易記得
[00:01:21.400 --> 00:01:24.980]  當時阿伯蘭九十九歲的時候
[00:01:24.980 --> 00:01:28.060]  耶和華就向他顯現
[00:01:28.060 --> 00:01:28.820]  顯現
[00:01:28.820 --> 00:01:34.200]  如何顯現?馬上出現還是在夢中?
[00:01:34.200 --> 00:01:39.580]  這個顯現就不像在夢中,可能是見到異象
[00:01:39.580 --> 00:01:40.600]  對他說
[00:01:40.600 --> 00:01:42.900]  我是全能的神
[00:01:42.900 --> 00:01:48.540]  你當在我面前作玄傳人
[00:01:48.800 --> 00:01:52.900]  九十九歲的時候,耶和華向阿伯蘭顯現
[00:01:52.900 --> 00:01:53.920]  對他說
[00:01:53.920 --> 00:01:55.720]  我是全能的神
[00:01:55.720 --> 00:02:01.860]  你當在我面前作玄傳人
[00:02:01.860 --> 00:02:07.500]  我就與你納若,使你的後裔極其繁多
[00:02:07.500 --> 00:02:10.060]  我就與你納若
[00:02:10.060 --> 00:02:15.420]  使你的後裔極其繁多,綠色的詞就是解釋注釋來的
[00:02:16.200 --> 00:02:19.520]  我是全能的神,我不特別解釋了
[00:02:19.520 --> 00:02:23.100]  我不是大能的神,是全能的神
[00:02:23.100 --> 00:02:24.140]  即是說
[00:02:24.140 --> 00:02:25.400]  在我面前講
[00:02:25.400 --> 00:02:27.720]  沒有一件事我做不到
[00:02:27.720 --> 00:02:30.280]  很難啊,沒有的
[00:02:30.280 --> 00:02:36.160]  當然有很多論證,以今天上帝能不能夠做一塊石,他自己舉不起
[00:02:36.160 --> 00:02:37.180]  這些
[00:02:37.180 --> 00:02:40.520]  我們不回答這種問題,因為這樣
[00:02:40.520 --> 00:02:41.540]  是那個
[00:02:41.540 --> 00:02:45.380]  問題上面本身是不邏輯
[00:02:45.640 --> 00:02:49.220]  我們不回答這些不邏輯的問題
[00:02:49.220 --> 00:02:50.000]  好了
[00:02:50.000 --> 00:02:51.520]  我是全能的神
[00:02:51.520 --> 00:02:56.640]  你當在我面前作玄傳人
[00:02:56.640 --> 00:03:00.240]  這個「你」字藍色括著
[00:03:00.240 --> 00:03:01.520]  就是
[00:03:01.520 --> 00:03:03.820]  希伯來文原文是沒有的
[00:03:03.820 --> 00:03:06.640]  我是全能的神
[00:03:06.640 --> 00:03:09.200]  當在我面前
[00:03:09.200 --> 00:03:09.960]  玄傳
[00:03:09.960 --> 00:03:13.280]  應該是這樣的,人字是沒有的
[00:03:13.800 --> 00:03:16.100]  這些字加上去
[00:03:16.100 --> 00:03:16.880]  是
[00:03:16.880 --> 00:03:19.940]  翻譯者想幫我們更加容易明白
[00:03:19.940 --> 00:03:21.220]  當
[00:03:21.220 --> 00:03:22.240]  halak
[00:03:22.240 --> 00:03:23.780]  halak
[00:03:23.780 --> 00:03:27.620]  在,但它是命令式
