
[00:00:00.000 --> 00:00:02.000]  鄧小妹 祝安
[00:00:02.000 --> 00:00:05.000]  今天是訓練短日
[00:00:05.000 --> 00:00:08.000]  而我要準備宣講的講題
[00:00:08.000 --> 00:00:12.000]  就是「正為上主成全信仰」
[00:00:12.000 --> 00:00:15.000]  課題就是「學習中實踐」
[00:00:15.000 --> 00:00:17.000]  「實踐中學習」
[00:00:17.000 --> 00:00:19.000]  從課題來說
[00:00:19.000 --> 00:00:22.000]  這裡涉及兩個的題目
[00:00:22.000 --> 00:00:24.000]  「學習」、「實踐」
[00:00:24.000 --> 00:00:26.000]  對於要求來說
[00:00:26.000 --> 00:00:29.000]  我們要學習哪一方面呢?
[00:00:29.000 --> 00:00:31.000]  又或者我們要問
[00:00:31.000 --> 00:00:33.000]  我們學習的目的
[00:00:33.000 --> 00:00:35.000]  又是為了什麼原因呢?
[00:00:35.000 --> 00:00:36.000]  另一方面
[00:00:36.000 --> 00:00:38.000]  作為要求
[00:00:38.000 --> 00:00:40.000]  我們又要實踐哪一方面呢?
[00:00:40.000 --> 00:00:42.000]  我們實踐的目的
[00:00:42.000 --> 00:00:44.000]  又是為了什麼原因呢?
[00:00:44.000 --> 00:00:47.000]  可能我們進一步可以去問
[00:00:47.000 --> 00:00:50.000]  實踐和學習兩者之間
[00:00:50.000 --> 00:00:52.000]  有什麼關係?
[00:00:52.000 --> 00:00:55.000]  我們能不能夠分開去討論呢?
[00:00:55.000 --> 00:00:59.000]  今天我想藉由《提摩派》後書
[00:00:59.000 --> 00:01:02.000]  三章十六至十七節
[00:01:02.000 --> 00:01:05.000]  和大家一起思想這些問題
[00:01:05.000 --> 00:01:08.000]  現在讓我們一起去重讀
[00:01:08.000 --> 00:01:12.000]  《提摩派》後書三章十六至十七節
[00:01:12.000 --> 00:01:15.000]  經文採用了新漢語的詞
[00:01:15.000 --> 00:01:17.000]  我們一起重讀
[00:01:17.000 --> 00:01:19.000]  預備開始
[00:01:19.000 --> 00:01:22.000]  聖經全高士同所默詞積
[00:01:22.000 --> 00:01:27.000]  對於教導、扎地、糾正、訓練、行事
[00:01:27.000 --> 00:01:29.000]  都是猶豫的
[00:01:29.000 --> 00:01:33.000]  讓熟成的人得到充分的裝備
[00:01:33.000 --> 00:01:36.000]  可以行各樣的事事
[00:01:36.000 --> 00:01:39.000]  在講解之先讓我們同心討論
[00:01:39.000 --> 00:01:46.000]  願真理的聖靈臨在我們的中間
[00:01:46.000 --> 00:01:50.000]  願你直聖年向我們的生命去說話
[00:01:50.000 --> 00:01:53.000]  正賜我們一顆天悲的心
[00:01:53.000 --> 00:01:57.000]  猶予我口中的言語被你使用
[00:01:57.000 --> 00:01:59.000]  成為神的話語
[00:01:59.000 --> 00:02:01.000]  我們同心圖譜
[00:02:01.000 --> 00:02:06.000]  奉靠造成肉身的耶穌基督之名祈求
[00:02:06.000 --> 00:02:08.000]  領子會
[00:02:08.000 --> 00:02:12.000]  相信大家很熟悉這段經文
[00:02:12.000 --> 00:02:15.000]  我試試用和合卷讀出
[00:02:15.000 --> 00:02:17.000]  聖經都是神所默示的
