
[00:00:00.000 --> 00:00:05.000]  這一年我們第一個禮拜都在講長大成熟,滿有基督長成的聲量。
[00:00:05.000 --> 00:00:09.000]  我記得我第一次我講了《頌運與夫所書》第四章十三節,
[00:00:09.000 --> 00:00:13.000]  我是說直到我們衆人在真道上同歸於一,
[00:00:13.000 --> 00:00:20.000]  認識上帝的兒子,得以長大成人,滿有基督長成的聲量。
[00:00:20.000 --> 00:00:26.000]  如果人家看到我們,就說你真是有基督的容美,
[00:00:26.000 --> 00:00:29.000]  你真是能夠代表基督徒,
[00:00:29.000 --> 00:00:34.000]  那麼你就真是滿有基督長成的聲量。
[00:00:34.000 --> 00:00:39.000]  因爲基督徒的意思是說小基督,
[00:00:39.000 --> 00:00:42.000]  所以我們要做,我們要像,
[00:00:42.000 --> 00:00:47.000]  我們要長成滿有基督長成的樣式。
[00:00:47.000 --> 00:00:51.000]  第二次我在講的是用約翰福音,
[00:00:51.000 --> 00:00:53.000]  獅子皆於葡萄樹,
[00:00:53.000 --> 00:00:56.000]  我來講我們要怎麼樣長大成熟。
[00:00:56.000 --> 00:01:01.000]  因爲獅子如果不皆於葡萄樹,就枯乾就死了,
[00:01:01.000 --> 00:01:06.000]  或者獅子長得不好,葡萄園的工人還要來修剪,
[00:01:06.000 --> 00:01:10.000]  還要來裁剪,還要來鋸,用到火裏面燒了,
[00:01:10.000 --> 00:01:14.000]  我好害怕,真怕我們被剪掉被鋸掉,
[00:01:14.000 --> 00:01:20.000]  雖然修剪的時候很痛,但是明年的葡萄會長得更棒。
[00:01:20.000 --> 00:01:24.000]  所以有的時候牧師講你沒有惡意,
[00:01:24.000 --> 00:01:28.000]  是希望你長得更好,能夠結實累累,
[00:01:28.000 --> 00:01:31.000]  滿有基督長成的身量。
[00:01:31.000 --> 00:01:35.000]  我第三次講的是用路加福音第二章52節講,
[00:01:35.000 --> 00:01:38.000]  他說耶穌的智慧和身量,
[00:01:38.000 --> 00:01:43.000]  並神和人喜悅他的心,都一起增長。
[00:01:43.000 --> 00:01:47.000]  身量他有一個括弧,或做年紀,
[00:01:47.000 --> 00:01:51.000]  所以耶穌的智慧就是我們今天講的IQ,
[00:01:51.000 --> 00:01:54.000]  他的身量或者是年紀,
[00:01:54.000 --> 00:01:57.000]  年長的人,他的閱歷比較廣,
[00:01:57.000 --> 00:01:59.000]  他的知識也比較豐富,
[00:01:59.000 --> 00:02:02.000]  讀到博士的人,像我們的永強,
[00:02:02.000 --> 00:02:05.000]  那麼他的知識都會更豐富。
[00:02:05.000 --> 00:02:08.000]  所以這叫做KQ,Knowledge,
[00:02:08.000 --> 00:02:12.000]  定神和人喜悅他的心。
[00:02:12.000 --> 00:02:16.000]  人喜歡你表示說你的情商很好,
[00:02:16.000 --> 00:02:18.000]  你的emotional quotient很好,
[00:02:18.000 --> 00:02:20.000]  你怎麼樣知道處理事情,
[00:02:20.000 --> 00:02:22.000]  你怎麼樣知道待人處事,
[00:02:22.000 --> 00:02:25.000]  還有一個就是神喜歡你,
[00:02:25.000 --> 00:02:27.000]  表示你的GQ很高,
[00:02:27.000 --> 00:02:30.000]  是不是,神特別恩寵待你,
[00:02:30.000 --> 00:02:34.000]  英文說,you have found favor in his eyes,
[00:02:34.000 --> 00:02:38.000]  在他的眼中,他特別喜歡你。
[00:02:38.000 --> 00:02:42.000]  所以IQ,KQ,GQ,EQ,
[00:02:42.000 --> 00:02:45.000]  這個耶穌都很高。
[00:02:45.000 --> 00:02:47.000]  我們可能讀了博士,
[00:02:47.000 --> 00:02:50.000]  但是連一頓飯都不會炒,
[00:02:50.000 --> 00:02:52.000]  或者一句話都不會說,
[00:02:52.000 --> 00:02:54.000]  這個就有點偏了。
[00:02:54.000 --> 00:02:56.000]  我們可能很會做人,
[00:02:56.000 --> 00:02:58.000]  但是變成了一個香院了,
[00:02:58.000 --> 00:03:01.000]  什麼都好,沒有了原則了,
[00:03:01.000 --> 00:03:03.000]  這個EQ雖然好,
[00:03:03.000 --> 00:03:06.000]  但是其他的也就不行了。
[00:03:06.000 --> 00:03:09.000]  所以重要的是說GQ要好,
[00:03:09.000 --> 00:03:13.000]  因爲認識神是智慧的開端,
[00:03:13.000 --> 00:03:16.000]  認識那至聖者是聰明。
[00:03:16.000 --> 00:03:19.000]  所以我們在世有小聰明,
[00:03:19.000 --> 00:03:22.000]  但是常常聰明反爲聰明悟,
[00:03:22.000 --> 00:03:27.000]  所以我們要竭力追求保守我們的GQ,
[00:03:27.000 --> 00:03:30.000]  我們從神而來聳天的智慧。
[00:03:30.000 --> 00:03:32.000]  我又一次講,
[00:03:32.000 --> 00:03:34.000]  用撒末爾記上我講說,
[00:03:34.000 --> 00:03:36.000]  大魏王被掃羅追殺,
[00:03:36.000 --> 00:03:38.000]  逃到曠野,
[00:03:38.000 --> 00:03:40.000]  躲在亞都蘭洞裏面,
[00:03:40.000 --> 00:03:42.000]  好多人來投靠他。
[00:03:42.000 --> 00:03:44.000]  聖經上面說,
[00:03:44.000 --> 00:03:48.000]  都是窮困的,欠債的,心裏有壓抑的。
[00:03:48.000 --> 00:03:51.000]  如果說你要建國,你要創國,
[00:03:51.000 --> 00:03:53.000]  你要建立教會,
[00:03:53.000 --> 00:03:55.000]  你希望是什麼人來幫你啊?
[00:03:55.000 --> 00:03:58.000]  那最棒的,對不對?
[00:03:58.000 --> 00:04:00.000]  那最大能的勇士來幫你。
[00:04:00.000 --> 00:04:02.000]  爲什麼這些欠債的,
[00:04:02.000 --> 00:04:04.000]  窮困的,心裏有壓抑的,
[00:04:04.000 --> 00:04:06.000]  換句話說,今天的標準來說,
[00:04:06.000 --> 00:04:09.000]  沒有人要的,來幫你。
[00:04:09.000 --> 00:04:11.000]  這些四百名,
[00:04:11.000 --> 00:04:15.000]  到了大魏出來成國征戰的時候,
[00:04:15.000 --> 00:04:19.000]  大魏說他們是四百名勇士啊。
[00:04:19.000 --> 00:04:22.000]  有的勇士手拿着刀,
[00:04:22.000 --> 00:04:24.000]  拿起來殺敵人,
[00:04:24.000 --> 00:04:26.000]  就放不下了。
[00:04:26.000 --> 00:04:28.000]  流了汗,流了血,
[00:04:28.000 --> 00:04:30.000]  幹了又溼,溼了又幹,
[00:04:30.000 --> 00:04:32.000]  最後整個刀柄連在手上面,
[00:04:32.000 --> 00:04:34.000]  拿都拿不下來了。
[00:04:34.000 --> 00:04:36.000]  還有說一個狙擊槍來,
[00:04:36.000 --> 00:04:39.000]  就殺死了三百個人。
[00:04:39.000 --> 00:04:41.000]  我就開玩笑說那是機關槍嗎?
[00:04:41.000 --> 00:04:43.000]  不是的,那是毛槍。
[00:04:43.000 --> 00:04:46.000]  就是表示說拿起來就一路殺到底,
[00:04:46.000 --> 00:04:48.000]  爲了大魏得國,
[00:04:48.000 --> 00:04:50.000]  所以成爲大魏的勇士。
[00:04:50.000 --> 00:04:53.000]  我們也是一樣,弟兄姐妹朋友們,
[00:04:53.000 --> 00:04:55.000]  我們在這個地方爲主來征戰,
[00:04:55.000 --> 00:04:58.000]  我們常常說要得勝而有餘,
[00:04:58.000 --> 00:05:00.000]  我們憑什麼得勝而有餘?
[00:05:00.000 --> 00:05:02.000]  我們都是欠債的,我們都是窘困的,
[00:05:02.000 --> 00:05:05.000]  我們都是心裏有壓抑的,
[00:05:05.000 --> 00:05:08.000]  我們都是許許多多的不完全的,
[00:05:08.000 --> 00:05:12.000]  但是神要讓我們成爲大魏的勇士,
[00:05:12.000 --> 00:05:15.000]  神國的英雄,基督的精兵,
[00:05:15.000 --> 00:05:17.000]  這是我們所再次要求神的,
[00:05:17.000 --> 00:05:19.000]  讓我們在520網東,
[00:05:19.000 --> 00:05:22.000]  讓我們在90號網東能夠爲神來征戰,
[00:05:22.000 --> 00:05:24.000]  得勝而有餘,
[00:05:24.000 --> 00:05:26.000]  這是神允許我們的,
[00:05:26.000 --> 00:05:28.000]  如果我們有一個願意的心,
[00:05:28.000 --> 00:05:32.000]  這些都是簡單的事情,不是嗎?
[00:05:32.000 --> 00:05:34.000]  上次我講到,
[00:05:34.000 --> 00:05:39.000]  我們一個人從出生到長成,
[00:05:39.000 --> 00:05:41.000]  到長大成人,
[00:05:41.000 --> 00:05:44.000]  是一個非常複雜的過程,
[00:05:44.000 --> 00:05:46.000]  所以我們要長大成人,
[00:05:46.000 --> 00:05:49.000]  滿有基督的長成的聖人也真不容易,
[00:05:49.000 --> 00:05:51.000]  聖經上面說,
[00:05:51.000 --> 00:05:53.000]  哈拿跟伊利加拿,
[00:05:53.000 --> 00:05:55.000]  哈拿不會生孩子,
[00:05:55.000 --> 00:05:57.000]  他就痛痛哭泣,
[00:05:57.000 --> 00:06:00.000]  來到聖殿求神賜給他一個兒子,
[00:06:00.000 --> 00:06:03.000]  後來神果然賜給他一個兒子,
[00:06:03.000 --> 00:06:05.000]  那就是叫做撒末爾,
[00:06:05.000 --> 00:06:07.000]  意思就是說,
[00:06:07.000 --> 00:06:09.000]  我這個是從神來的,
[00:06:09.000 --> 00:06:13.000]  他就許了願把兒子送到聖殿裏面去服侍神,
[00:06:13.000 --> 00:06:15.000]  服侍大祭司伊利,
[00:06:15.000 --> 00:06:17.000]  後來接着又生了好多孩子,
[00:06:17.000 --> 00:06:20.000]  撒末爾成爲以色列的先知,
[00:06:20.000 --> 00:06:23.000]  有的時候我們要懷孕都很難,
[00:06:23.000 --> 00:06:27.000]  更不用說我們再出生小孩子也非常難,
[00:06:27.000 --> 00:06:30.000]  生出來了長大也非常難,
[00:06:30.000 --> 00:06:32.000]  長成基督的聖人那更難,
[00:06:32.000 --> 00:06:34.000]  那是難善加難,
[00:06:34.000 --> 00:06:36.000]  但是神允許我們,
[00:06:36.000 --> 00:06:38.000]  只要我們再一次來到他的面前,
[00:06:38.000 --> 00:06:39.000]  我們向他求,
[00:06:39.000 --> 00:06:41.000]  哈拿也能生,
[00:06:41.000 --> 00:06:43.000]  不能生的只要來到神的面前,
[00:06:43.000 --> 00:06:45.000]  我們也會有生屬靈的兒子,
[00:06:45.000 --> 00:06:49.000]  讓我們能夠再一次爲神國來培育天國的勇士,
[00:06:49.000 --> 00:06:50.000]  神國的英雄,
[00:06:50.000 --> 00:06:51.000]  基督的禁病,
[00:06:51.000 --> 00:06:53.000]  讓我們再一次長大成熟,
[00:06:53.000 --> 00:06:55.000]  滿有基督長成的聲量,
[00:06:55.000 --> 00:06:57.000]  哈雷路亞,
[00:06:57.000 --> 00:06:59.000]  今天我要來講,
[00:06:59.000 --> 00:07:02.000]  什麼叫做沒長大不成熟啊,
[00:07:02.000 --> 00:07:04.000]  什麼叫長大了,
[00:07:04.000 --> 00:07:06.000]  要有一個指標嘛,
[00:07:06.000 --> 00:07:08.000]  有的時候我聽人家講說,
[00:07:08.000 --> 00:07:09.000]  那個人上天堂,
[00:07:09.000 --> 00:07:11.000]  那天堂我就不去了,
[00:07:11.000 --> 00:07:14.000]  那個真是不長大不成熟,
[00:07:14.000 --> 00:07:17.000]  讓許多人我們叫做跌倒,
[00:07:17.000 --> 00:07:19.000]  這就不好了,
[00:07:19.000 --> 00:07:21.000]  但是如果人家看到你就說,
[00:07:21.000 --> 00:07:22.000]  哎呀,
[00:07:22.000 --> 00:07:23.000]  你信的是什麼,
[00:07:23.000 --> 00:07:25.000]  我也要去信,
[00:07:25.000 --> 00:07:31.000]  那真的就是你自己已經爲神做了最好的榜樣,
[00:07:31.000 --> 00:07:33.000]  長大成熟的指標,
[00:07:33.000 --> 00:07:36.000]  其中有一個就是很明顯的,
[00:07:36.000 --> 00:07:39.000]  就是叫做奉獻,
[00:07:39.000 --> 00:07:41.000]  奉獻有兩種,
[00:07:41.000 --> 00:07:43.000]  第一種叫type,
[00:07:43.000 --> 00:07:44.000]  t-i-t-h-e,
[00:07:44.000 --> 00:07:46.000]  就是十一奉獻,
[00:07:46.000 --> 00:07:49.000]  第二種叫做offering,
[00:07:49.000 --> 00:07:52.000]  一般性的奉獻,
[00:07:52.000 --> 00:07:53.000]  我們每次奉獻,
[00:07:53.000 --> 00:07:56.000]  我們都放了一段瑪拉基書三章八道時節說,
[00:07:56.000 --> 00:08:01.000]  你們說我在哪裏盜取了神的物呢,
[00:08:01.000 --> 00:08:02.000]  然後跟着神說,
[00:08:02.000 --> 00:08:05.000]  你們在當納的十一奉獻上,
[00:08:05.000 --> 00:08:07.000]  你們盜取了神的物,
[00:08:07.000 --> 00:08:12.000]  這是當納的十一奉獻type,
[00:08:12.000 --> 00:08:14.000]  有一個小故事是這麼說,
[00:08:14.000 --> 00:08:16.000]  有一隻雞,
[00:08:16.000 --> 00:08:17.000]  一隻豬,
[00:08:17.000 --> 00:08:19.000]  他們走在鄉村道路上,
[00:08:19.000 --> 00:08:22.000]  經過一個小教堂,
[00:08:22.000 --> 00:08:25.000]  看到門口牌子上面寫着說,
[00:08:25.000 --> 00:08:27.000]  奉獻早餐會,
[00:08:27.000 --> 00:08:31.000]  供應你雞蛋和火腿,
[00:08:31.000 --> 00:08:32.000]  雞就說,
[00:08:32.000 --> 00:08:34.000]  不錯,
[00:08:34.000 --> 00:08:37.000]  我們也有所貢獻不是嗎,
[00:08:37.000 --> 00:08:39.000]  那個豬說,
[00:08:39.000 --> 00:08:40.000]  你看你,
[00:08:40.000 --> 00:08:43.000]  你那個不過是貢獻,
[00:08:43.000 --> 00:08:44.000]  你每生的雞蛋,
[00:08:44.000 --> 00:08:45.000]  我呢,
[00:08:45.000 --> 00:08:47.000]  我這可是犧牲我的命,
[00:08:47.000 --> 00:08:48.000]  您知道嗎,
[00:08:48.000 --> 00:08:51.000]  火腿是豬的腿,
[00:08:51.000 --> 00:08:53.000]  我們對奉獻,
[00:08:53.000 --> 00:08:55.000]  我們對十一奉獻,
[00:08:55.000 --> 00:08:57.000]  我們的心態是什麼,
[00:08:57.000 --> 00:09:01.000]  你是雞的貢獻的心態呢,
[00:09:01.000 --> 00:09:05.000]  還是豬的犧牲的心態呢,
[00:09:05.000 --> 00:09:07.000]  上個禮拜,
[00:09:07.000 --> 00:09:09.000]  我在聖何斯基在母堂那邊,
[00:09:09.000 --> 00:09:10.000]  生命和凌涼堂,
[00:09:10.000 --> 00:09:12.000]  我去參加特會,
[00:09:12.000 --> 00:09:14.000]  所以有許多的牧長,
[00:09:14.000 --> 00:09:18.000]  包括大家長周神助牧師等,
