
[00:00:00.000 --> 00:00:02.360]  今天要跟大家分享的題目
[00:00:02.360 --> 00:00:06.560]  「世界的亂局 誰主浮沉」
[00:00:06.560 --> 00:00:10.640]  當我們面對著這些亂局的時候
[00:00:10.640 --> 00:00:14.040]  肯定有很多人 不信的人 信了的人
[00:00:14.040 --> 00:00:15.280]  信了很久的人
[00:00:15.280 --> 00:00:18.640]  都會屢次問我們有關的問題
[00:00:18.640 --> 00:00:20.280]  到底神在哪裡
[00:00:20.280 --> 00:00:22.480]  我告訴大家
[00:00:22.480 --> 00:00:25.920]  如果我們不懂得在恰當的時候
[00:00:25.920 --> 00:00:28.120]  合情合理地說出一些
[00:00:28.120 --> 00:00:30.640]  令人信服的答案的時候
[00:00:30.640 --> 00:00:32.760]  其實我們就好像告訴他們
[00:00:32.760 --> 00:00:35.800]  他們的不信是合情合理的
[00:00:35.800 --> 00:00:37.400]  最近問得最多的是
[00:00:37.400 --> 00:00:38.920]  是什麼問題呢
[00:00:38.920 --> 00:00:42.680]  就是有關耳巴的問題
[00:00:42.680 --> 00:00:43.920]  神去了哪裡
[00:00:43.920 --> 00:00:46.600]  在安理會裡面
[00:00:46.600 --> 00:00:49.200]  多次 全部都贊成
[00:00:49.200 --> 00:00:52.120]  立刻要停止這些戰爭
[00:00:52.120 --> 00:00:54.200]  一個反對
[00:00:54.200 --> 00:00:56.880]  接著就繼續打下去
[00:00:56.880 --> 00:00:58.520]  「鵝屋」是這樣
[00:00:58.520 --> 00:01:00.920]  今天的「耳巴」又是這樣
[00:01:00.920 --> 00:01:02.360]  是因為這樣的緣故
[00:01:02.360 --> 00:01:05.120]  當我去到不同的教會講道的時候
[00:01:05.120 --> 00:01:07.200]  很多人都是問這些問題
[00:01:07.200 --> 00:01:09.280]  但是當我講完了的時候
[00:01:09.280 --> 00:01:11.560]  很多缺字的人
[00:01:11.560 --> 00:01:12.920]  為什麼
[00:01:12.920 --> 00:01:14.960]  原來他們看得見
[00:01:14.960 --> 00:01:18.720]  神三千五百多年前已經講
[00:01:18.720 --> 00:01:20.960]  二千年前又講
[00:01:20.960 --> 00:01:23.440]  接著在現在這個局勢裡面
[00:01:23.440 --> 00:01:25.040]  我們看得見的發展
[00:01:25.040 --> 00:01:28.120]  完全跟足聖經裡面的預言
[00:01:28.120 --> 00:01:29.240]  來去走
[00:01:29.240 --> 00:01:31.360]  我們記得
[00:01:31.360 --> 00:01:33.560]  猶太人每次亡國的時候
[00:01:33.560 --> 00:01:34.440]  被擄的時候
[00:01:34.440 --> 00:01:36.160]  被毒氣殺的時候
[00:01:36.160 --> 00:01:38.560]  你看看這些照片
[00:01:38.560 --> 00:01:39.840]  你就會知道
[00:01:39.840 --> 00:01:41.600]  巴比倫亡了他
[00:01:41.600 --> 00:01:44.000]  羅馬亡國亡了他
[00:01:44.000 --> 00:01:45.000]  接著
[00:01:45.000 --> 00:01:47.400]  希特勒
[00:01:47.400 --> 00:01:51.960]  毒氣殺死六百萬的人
[00:01:51.960 --> 00:01:54.800]  每一次遇到這些事的時間
[00:01:54.800 --> 00:01:57.240]  猶太人都在問一個問題
[00:01:57.240 --> 00:02:01.120]  「神啊,你在哪兒?」
[00:02:01.120 --> 00:02:02.920]  我們想不到的
[00:02:02.920 --> 00:02:05.920]  就是過去一年零八個多月的時間
[00:02:05.920 --> 00:02:09.120]  發出同樣呼叫聲的
[00:02:09.120 --> 00:02:10.680]  不是猶太人
[00:02:10.680 --> 00:02:12.760]  是巴勒斯坦人
[00:02:12.760 --> 00:02:17.800]  而那個令他們要發出這些聲音出來的
[00:02:17.800 --> 00:02:19.280]  就是因為他們
