
[00:00:00.000 --> 00:00:04.000]  廣佈堂的弟兄姊妹你好,先打個招呼
[00:00:04.000 --> 00:00:11.000]  剛才學清年青的弟兄姊妹選的歌,很觸動我
[00:00:11.000 --> 00:00:14.000]  One Voice
[00:00:14.000 --> 00:00:16.000]  過去這幾個月
[00:00:16.000 --> 00:00:19.000]  A lot of Noise
[00:00:19.000 --> 00:00:22.000]  Noise 和 Voice 是不同的
[00:00:22.000 --> 00:00:24.000]  真的不容易
[00:00:24.000 --> 00:00:29.000]  所以大家在這個時間,心情是可以理解的
[00:00:29.000 --> 00:00:33.000]  我多謝林牧師每年都請我來
[00:00:33.000 --> 00:00:37.000]  不過他今年給我的題目真是難說
[00:00:37.000 --> 00:00:42.000]  如何與新生代的青少年同行
[00:00:42.000 --> 00:00:45.000]  我剛才都和一些新來的握握手
[00:00:45.000 --> 00:00:48.000]  我在後面都和他們握握手
[00:00:48.000 --> 00:00:52.000]  很年輕,正在讀書
[00:00:52.000 --> 00:00:56.000]  所以他不認識我
[00:00:56.000 --> 00:01:00.000]  我真是醫生,曾經
[00:01:00.000 --> 00:01:02.000]  不過做了五年後
[00:01:02.000 --> 00:01:06.000]  陳邀請我做青年工作,做了很多年
[00:01:06.000 --> 00:01:13.000]  青年工作是令人很需要謙卑的一個行業
[00:01:13.000 --> 00:01:18.000]  新生代,現在五年就一代
[00:01:18.000 --> 00:01:23.000]  大學畢業的新生都不太明白他們在說什麼
[00:01:23.000 --> 00:01:26.000]  每一代都有他們的語言
[00:01:26.000 --> 00:01:28.000]  有他們的夢想
[00:01:28.000 --> 00:01:30.000]  有他們的祈求
[00:01:30.000 --> 00:01:32.000]  不容易的
[00:01:32.000 --> 00:01:36.000]  我發覺做青少年工作
[00:01:36.000 --> 00:01:39.000]  最重要的人是誰呢
[00:01:39.000 --> 00:01:41.000]  當然是主耶穌
[00:01:41.000 --> 00:01:45.000]  最重要的是父母
[00:01:45.000 --> 00:01:48.000]  爺爺奶奶公公婆婆
[00:01:48.000 --> 00:01:50.000]  你真是貼著他們
[00:01:50.000 --> 00:01:53.000]  是不是最重要
[00:01:53.000 --> 00:01:56.000]  你做青年工作是專業
[00:01:56.000 --> 00:01:58.000]  我是專業見他們很少
[00:01:58.000 --> 00:02:00.000]  所以你貼著他們
[00:02:00.000 --> 00:02:03.000]  我想知道是做父母的請舉手
[00:02:03.000 --> 00:02:05.000]  你們真是很重要
[00:02:05.000 --> 00:02:07.000]  留心聽
[00:02:07.000 --> 00:02:09.000]  我和你一起聽
[00:02:09.000 --> 00:02:12.000]  做爺爺奶奶公公婆婆請舉手
[00:02:12.000 --> 00:02:17.000]  都不少,我都是爺爺
[00:02:17.000 --> 00:02:22.000]  我發覺最重要的一個字是什麼呢
[00:02:22.000 --> 00:02:28.000]  是聆聽
[00:02:28.000 --> 00:02:30.000]  聆聽是不容易的
[00:02:30.000 --> 00:02:32.000]  為什麼呢
[00:02:32.000 --> 00:02:34.000]  我信了主沒多久
[00:02:34.000 --> 00:02:35.000]  我一個好朋友
[00:02:35.000 --> 00:02:37.000]  現在是幾十年的好朋友
[00:02:37.000 --> 00:02:40.000]  他和我一起讀醫科
[00:02:40.000 --> 00:02:42.000]  所以幾十年朋友
[00:02:42.000 --> 00:02:44.000]  我們成為好朋友
[00:02:44.000 --> 00:02:46.000]  他就送了一節聖經給我
[00:02:46.000 --> 00:02:49.000]  你想想幾十年前送一節聖經
[00:02:49.000 --> 00:02:50.000]  我都記得
[00:02:50.000 --> 00:02:52.000]  可見這段聖經多重要
[00:02:52.000 --> 00:02:54.000]  他送一段聖經給我
[00:02:54.000 --> 00:02:56.000]  在雅各書
