
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹 各位朋友
[00:00:03.000 --> 00:00:05.000]  主內平安
[00:00:05.000 --> 00:00:08.000]  今日是復活節的主日
[00:00:08.000 --> 00:00:11.000]  讓我們都存著感恩的心
[00:00:11.000 --> 00:00:16.000]  我們一同在主的殿一同敬拜
[00:00:16.000 --> 00:00:19.000]  我相信今日在我們當中
[00:00:19.000 --> 00:00:22.000]  有些是返了教會很多年
[00:00:22.000 --> 00:00:27.000]  亦都有些可能因為復活節返教會
[00:00:27.000 --> 00:00:30.000]  我們同樣歡迎你
[00:00:30.000 --> 00:00:34.000]  我們一起在聖經的說話上學習
[00:00:34.000 --> 00:00:39.000]  因為聖經的說話歷久常新
[00:00:39.000 --> 00:00:45.000]  讓我們再一次同心低頭禱告
[00:00:45.000 --> 00:00:46.000]  親愛的聖靈
[00:00:46.000 --> 00:00:50.000]  當我們打開你的話語的時候
[00:00:50.000 --> 00:00:52.000]  求你引導我們
[00:00:52.000 --> 00:00:56.000]  掌管我們每一個人的心思意念
[00:00:56.000 --> 00:00:59.000]  讓我們能夠進入真理
[00:00:59.000 --> 00:01:02.000]  明白真理 活出真理
[00:01:02.000 --> 00:01:05.000]  求你幫助我們
[00:01:05.000 --> 00:01:06.000]  聽我們的祈禱
[00:01:06.000 --> 00:01:08.000]  奉耶穌基督的聖名祈求
[00:01:08.000 --> 00:01:10.000]  阿門
[00:01:10.000 --> 00:01:15.000]  我想用一個故事開始今天的訊息
[00:01:15.000 --> 00:01:19.000]  假如一個很富有的人
[00:01:19.000 --> 00:01:21.000]  他找你
[00:01:21.000 --> 00:01:28.000]  他說我有一間有花園有泳池的獨立屋
[00:01:28.000 --> 00:01:32.000]  我很想你幫我打理這間屋
[00:01:32.000 --> 00:01:37.000]  因為我會離開香港一年的時間
[00:01:37.000 --> 00:01:42.000]  條件是你一定要住在那裡
[00:01:42.000 --> 00:01:45.000]  你要在那裡幫他種花
[00:01:45.000 --> 00:01:49.000]  剪草 清潔 打理泳池等等
[00:01:49.000 --> 00:01:54.000]  你不能夠請其他人去做
[00:01:54.000 --> 00:01:56.000]  他答應你
[00:01:56.000 --> 00:01:59.000]  一年之後當他回來
[00:01:59.000 --> 00:02:03.000]  他會給你一百萬的薪酬
[00:02:03.000 --> 00:02:08.000]  並且他會把那間屋送給你
[00:02:08.000 --> 00:02:12.000]  不過他不會跟你簽合約
[00:02:12.000 --> 00:02:14.000]  他要你相信他
[00:02:14.000 --> 00:02:20.000]  一年之後真的有錢和有屋送給你
[00:02:20.000 --> 00:02:25.000]  我不知道你會怎樣去選擇
[00:02:25.000 --> 00:02:28.000]  或者你會怎樣去做決定
[00:02:28.000 --> 00:02:31.000]  如果你答應的話
[00:02:31.000 --> 00:02:35.000]  可能是有一些犧牲
[00:02:35.000 --> 00:02:40.000]  可能你會犧牲了一年的時間
[00:02:40.000 --> 00:02:42.000]  犧牲了你生活的模式
[00:02:42.000 --> 00:02:47.000]  你現在那份你很喜歡的工作等等
[00:02:47.000 --> 00:02:50.000]  不過你有盼望
[00:02:50.000 --> 00:02:54.000]  那個盼望就是當那個人回來的時候
[00:02:54.000 --> 00:02:58.000]  你有很豐厚的回報
[00:02:58.000 --> 00:03:01.000]  就在你考慮的時候
[00:03:01.000 --> 00:03:05.000]  你身邊的朋友可能會給你意見
[00:03:05.000 --> 00:03:09.000]  這個人是信得過的 值得信的
[00:03:09.000 --> 00:03:11.000]  或者這個人是信不過的
[00:03:11.000 --> 00:03:13.000]  千萬不要相信
[00:03:13.000 --> 00:03:20.000]  但是最終還是要你自己去做一個決定
[00:03:20.000 --> 00:03:23.000]  我想說什麼呢
[00:03:23.000 --> 00:03:29.000]  信念和行動是息息相關的
[00:03:29.000 --> 00:03:36.000]  而你的行動就是取決於你的信念
[00:03:36.000 --> 00:03:41.000]  耶穌復活和祂再回來的訊息
[00:03:41.000 --> 00:03:46.000]  也需要人去做一個決擇
[00:03:46.000 --> 00:03:54.000]  而這個信念也會帶來相應的行動和生活
[00:03:54.000 --> 00:03:56.000]  或者有朋友跟你說
[00:03:56.000 --> 00:03:59.000]  耶穌復活是不可信的
[00:03:59.000 --> 00:04:04.000]  那你就繼續你自己現在的生活模式
[00:04:04.000 --> 00:04:08.000]  又或者有些基督徒跟你說
[00:04:08.000 --> 00:04:12.000]  耶穌的復活是真的 是可信的
[00:04:12.000 --> 00:04:17.000]  是值得你將你的生命交託給他
[00:04:17.000 --> 00:04:21.000]  我相信好像剛才那個故事的主角
[00:04:21.000 --> 00:04:30.000]  你一定會盡力去查考一下耶穌復活的證據
[00:04:30.000 --> 00:04:37.000]  現在就讓我們一起從剛才主席跟我們讀出的經文
[00:04:37.000 --> 00:04:43.000]  去看一下耶穌離開這個世界和祂復活的時候
[00:04:43.000 --> 00:04:48.000]  聖經的記載
[00:04:48.000 --> 00:04:52.000]  耶穌在十字架上第一次的呼喊
[00:04:52.000 --> 00:04:57.000]  就記載了在第45和46節
