
[00:00:00.000 --> 00:00:03.200]  好 剛纔我們試會已經講了
[00:00:03.200 --> 00:00:08.480]  今天是我們最後一個主日 是不是
[00:00:08.480 --> 00:00:13.280]  那麼也是我們菲律比書最後一次的信息
[00:00:13.280 --> 00:00:16.360]  所以保羅在菲律比書講到最後的時候呢
[00:00:16.360 --> 00:00:19.960]  他就講了這一段
[00:00:19.960 --> 00:00:25.400]  這一段聖經裏面呢 其實分成有三點
[00:00:25.400 --> 00:00:28.760]  其實每一點都可以仔細地來講
[00:00:28.760 --> 00:00:33.600]  但是今天我就用簡短的時間跟大家來分享這三點
[00:00:33.600 --> 00:00:35.220]  第一個 保羅在這裏說
[00:00:35.220 --> 00:00:40.760]  願榮耀歸給我們的父神 直到永永遠遠
[00:00:40.760 --> 00:00:43.000]  阿門
[00:00:43.000 --> 00:00:46.120]  不要小看這句話
[00:00:46.120 --> 00:00:53.400]  願榮耀歸給我們的父神 直到永遠
[00:00:53.400 --> 00:00:55.240]  保羅 我們講過他在菲律比書
[00:00:55.240 --> 00:00:58.440]  寫菲律比書的時候他是在哪裏
[00:00:58.440 --> 00:01:00.920]  他在監牢裏面
[00:01:00.920 --> 00:01:04.280]  所以保羅在這個菲律比書講到後面的時候
[00:01:04.280 --> 00:01:06.440]  他喜樂一共講了十六次 對不對
[00:01:06.440 --> 00:01:09.000]  我們講說在菲律比書 對不對
[00:01:09.000 --> 00:01:15.360]  喜樂 要靠近喜樂 你們要喜樂 你要常常喜樂 是不是
[00:01:15.360 --> 00:01:22.120]  所以保羅到最後他說願榮耀歸給神
[00:01:22.120 --> 00:01:25.520]  現在就是說 不管這一年如何
[00:01:25.520 --> 00:01:28.920]  可能你經過風風雨雨
[00:01:28.920 --> 00:01:32.720]  你經過人生很多的高山低谷
[00:01:32.720 --> 00:01:37.240]  你覺得 這一年怎麼這麼糟糕
[00:01:37.240 --> 00:01:41.920]  未來這一年可不可以給我一點好日子過
[00:01:41.920 --> 00:01:43.600]  現在就是說我沒有辦法保證
[00:01:43.600 --> 00:01:46.800]  你未來的一年就有好日子
[00:01:46.800 --> 00:01:49.720]  但是我可以保證未來這一年
[00:01:49.720 --> 00:01:53.600]  神一定在你的生命當中要帶領你乘風破浪
[00:01:53.600 --> 00:01:54.960]  阿門
[00:01:54.960 --> 00:01:56.840]  同樣的 親愛的丟子妹
[00:01:56.840 --> 00:01:59.240]  這一年不管你經歷多少
[00:01:59.240 --> 00:02:01.760]  不管你有多少的難處
[00:02:01.760 --> 00:02:04.120]  生病的難處
[00:02:04.120 --> 00:02:08.720]  可能親愛的人生病
[00:02:08.720 --> 00:02:13.200]  可能家庭有問題 失業
[00:02:13.200 --> 00:02:14.600]  但是丟子妹
[00:02:14.600 --> 00:02:19.160]  你仍然要把榮耀歸給這一位獨一的真神
[00:02:19.160 --> 00:02:22.080]  阿門
[00:02:22.080 --> 00:02:27.320]  保羅在這裏講這句話他不是自己在那邊喫香的喝辣的講
[00:02:27.320 --> 00:02:29.760]  他是在監獄裏面講這句話
[00:02:29.760 --> 00:02:33.920]  他說願榮耀歸給我們的父神
[00:02:33.920 --> 00:02:37.640]  直到永遠
[00:02:37.640 --> 00:02:41.280]  爲什麼要榮耀歸給神呢
[00:02:41.280 --> 00:02:42.960]  上帝啊
[00:02:42.960 --> 00:02:46.000]  你太自我了吧
[00:02:46.000 --> 00:02:51.160]  爲什麼不能夠榮耀分給我一點呢
[00:02:51.160 --> 00:02:53.120]  親愛的丟子妹
[00:02:53.120 --> 00:02:57.560]  保羅最有資格講這句話了
[00:02:57.560 --> 00:03:00.840]  但是他在人生最低谷的時候
[00:03:00.840 --> 00:03:05.320]  甚至人生命的指望都可能沒有了
[00:03:05.320 --> 00:03:08.640]  他竟然說願榮耀歸給神
[00:03:08.640 --> 00:03:17.840]  在以塞亞書43章第7節
[00:03:17.840 --> 00:03:19.760]  我們一起來唸好不好 來 請
[00:03:19.760 --> 00:03:22.720]  凡稱爲我名下的人
[00:03:22.720 --> 00:03:26.320]  是我爲自己的榮耀創造的
[00:03:26.320 --> 00:03:33.360]  是我所做成所造作的
[00:03:33.360 --> 00:03:37.240]  凡稱爲我名下的人
[00:03:37.240 --> 00:03:44.480]  凡是信靠主耶穌稱爲他子民的人
[00:03:44.480 --> 00:03:48.800]  上帝說是我爲自己的榮耀創造的
[00:03:48.800 --> 00:03:49.840]  所以跟你旁邊說
[00:03:49.840 --> 00:03:55.640]  你是爲了神的榮耀創造的
[00:03:55.640 --> 00:03:56.880]  親愛的丟子妹
[00:03:56.880 --> 00:03:59.120]  這一個事情非常的重要
[00:03:59.120 --> 00:04:05.360]  這一個經節講明瞭我們人的受造的目的
[00:04:05.360 --> 00:04:06.360]  換句話說
[00:04:06.360 --> 00:04:07.640]  也讓我們知道了
[00:04:07.640 --> 00:04:12.080]  原來神在我們身上的那個目的是什麼
[00:04:12.080 --> 00:04:15.680]  今天很多人不知道自己的人生是爲什麼而活
[00:04:15.680 --> 00:04:17.520]  今天有多少的年輕人
[00:04:17.520 --> 00:04:18.960]  在這個就業環境
[00:04:18.960 --> 00:04:21.280]  這個一片不好的情況當中
[00:04:21.280 --> 00:04:23.720]  真是感覺茫然
[00:04:23.720 --> 00:04:28.760]  不知道到底要做什麼纔好
[00:04:28.760 --> 00:04:31.840]  甚至有人一輩子在那邊做做做
[00:04:31.840 --> 00:04:34.120]  一輩子在那邊辛苦的工作
[00:04:34.120 --> 00:04:39.000]  還是不知道自己的人生到底是爲什麼
[00:04:39.000 --> 00:04:42.040]  所以今天你需要知道一件事情
[00:04:42.040 --> 00:04:44.200]  上帝說得很清楚了
[00:04:44.200 --> 00:04:49.760]  你是爲了他自己的榮耀創造的
[00:04:49.760 --> 00:04:56.240]  阿門
[00:04:56.240 --> 00:04:59.600]  聖經當中有關榮耀的經文
[00:04:59.600 --> 00:05:03.640]  多達了三百多節
[00:05:03.640 --> 00:05:06.720]  聖誕節剛過還記得嗎
[00:05:06.720 --> 00:05:11.360]  當這個天使向這些牧羊人在報好信息的時候
[00:05:11.360 --> 00:05:13.520]  說什麼
[00:05:13.520 --> 00:05:15.440]  我報給你們一個大好的消息
[00:05:15.440 --> 00:05:16.760]  因爲今天在大衛的城裏
[00:05:16.760 --> 00:05:18.440]  爲你們生了一位救主
[00:05:18.440 --> 00:05:20.880]  就是主基督對不對
[00:05:20.880 --> 00:05:24.160]  然後天使在裏面高聲唱着
[00:05:24.160 --> 00:05:27.960]  願榮耀歸給神
[00:05:27.960 --> 00:05:29.320]  然後下面說什麼
[00:05:29.320 --> 00:05:34.800]  平安歸給他所喜悅的人
[00:05:34.800 --> 00:05:37.280]  所以天使在一開始的時候
[00:05:37.280 --> 00:05:39.680]  就講了這一個很重要的一個信息
[00:05:39.680 --> 00:05:42.320]  榮耀要歸給上帝
[00:05:42.320 --> 00:05:45.200]  平安就會歸給人
[00:05:45.200 --> 00:05:47.640]  當你把榮耀歸給上帝
[00:05:47.640 --> 00:05:49.320]  平安就歸給你
[00:05:49.320 --> 00:05:50.960]  阿門
[00:05:50.960 --> 00:05:53.320]  你常常不歸給榮耀給神
[00:05:53.320 --> 00:05:54.800]  你竊取神的榮耀
[00:05:54.800 --> 00:05:59.200]  所以你心裏不得平安
[00:05:59.200 --> 00:06:01.440]  你要清楚知道神說的話
[00:06:01.440 --> 00:06:02.960]  你一定要照着
[00:06:02.960 --> 00:06:05.400]  因爲他說話算話
[00:06:05.400 --> 00:06:08.280]  聖經裏面很多這一類的經文
[00:06:08.280 --> 00:06:09.920]  保留在他的書信裏面
[00:06:09.920 --> 00:06:12.480]  常常在結尾的時候
[00:06:12.480 --> 00:06:19.400]  他常常就是說這麼一句話
[00:06:19.400 --> 00:06:21.640]  在書裏面
[00:06:21.640 --> 00:06:24.320]  剛纔我們在詩歌裏面有一段講到這個
[00:06:24.320 --> 00:06:25.840]  是不是
[00:06:25.840 --> 00:06:27.800]  榮耀是什麼
[00:06:27.800 --> 00:06:43.480]  聖潔榮耀尊貴能力都歸給你
[00:06:43.480 --> 00:06:46.880]  當書裏面講到那些
[00:06:46.880 --> 00:06:49.920]  各族各民各方的人聚集在一起的時候
[00:06:49.920 --> 00:06:51.600]  他們最後就大聲的說
[00:06:51.600 --> 00:06:54.520]  榮耀 宋戰 尊貴 權柄
[00:06:54.520 --> 00:06:56.680]  很多啊一直
[00:06:56.680 --> 00:06:58.360]  都歸給神
[00:06:58.360 --> 00:07:00.720]  都歸做寶座的羔羊
[00:07:00.720 --> 00:07:06.760]  都歸做在寶座上面的神
[00:07:06.760 --> 00:07:08.720]  但是你記得一件事情
[00:07:08.720 --> 00:07:10.720]  撒旦的墮落
[00:07:10.720 --> 00:07:14.160]  就是因爲他要竊取上帝的榮耀
[00:07:14.160 --> 00:07:16.520]  他要取代上帝的榮耀
