
[00:00:00.000 --> 00:00:03.480]  我在美國讀書、博士的時候
[00:00:03.480 --> 00:00:06.560]  我就去一間教會那裡幫忙侍奉
[00:00:06.560 --> 00:00:11.200]  就是幫忙他們的英文聚會
[00:00:11.200 --> 00:00:13.760]  是一個青年的英文聚會
[00:00:13.760 --> 00:00:16.600]  幫了很多年
[00:00:16.600 --> 00:00:18.800]  到差不多最後的時候
[00:00:18.800 --> 00:00:20.280]  我就離開了
[00:00:20.280 --> 00:00:21.320]  我跟他們說
[00:00:21.320 --> 00:00:22.280]  我走了
[00:00:22.280 --> 00:00:25.400]  你們要找我另外一個人的了
[00:00:25.400 --> 00:00:29.000]  他們就開始面試人員之類的東西
[00:00:29.600 --> 00:00:34.760]  有一次我跟一幫青年人在預備聚會
[00:00:34.760 --> 00:00:36.800]  其中一個青年人跟我說
[00:00:36.800 --> 00:00:38.840]  「康,不要走啦」
[00:00:38.840 --> 00:00:40.800]  另外一個就說
[00:00:40.800 --> 00:00:44.240]  「人家要走了,人家要去教神學」
[00:00:44.240 --> 00:00:46.800]  叫我留下來的人就說
[00:00:46.800 --> 00:00:48.400]  「你覺得他很不開心嗎?」
[00:00:48.400 --> 00:00:50.280]  「在這裡不知道多開心」
[00:00:50.280 --> 00:00:53.280]  一直到那時候我其實是沒有想過的
[00:00:53.280 --> 00:00:54.280]  不過他這樣說完之後
[00:00:54.280 --> 00:00:56.240]  我又想「是啊,其實我也挺開心的」
[00:00:56.240 --> 00:00:57.560]  「為什麼要走呢?」
[00:00:58.080 --> 00:00:59.920]  我最後離開就是因為
[00:00:59.920 --> 00:01:05.560]  我對神學的訓練之類的東西很有負擔
[00:01:05.560 --> 00:01:07.480]  我就離開了
[00:01:07.480 --> 00:01:10.320]  不過當時我也有想過
[00:01:10.320 --> 00:01:14.160]  「是啊,跟從主實在也不是那麼不開心的事情」
[00:01:14.160 --> 00:01:16.640]  「我侍奉了,在教會那裡侍奉」
[00:01:16.640 --> 00:01:18.560]  「也挺開心的」
[00:01:18.560 --> 00:01:20.560]  「但是今天我們的經文」
[00:01:20.560 --> 00:01:21.880]  「主耶穌基督說」
[00:01:21.880 --> 00:01:24.000]  「若有人要跟從我」
[00:01:24.000 --> 00:01:27.320]  「是要寫記背起十字架」
[00:01:27.320 --> 00:01:29.880]  「而跟從耶穌的」
[00:01:29.880 --> 00:01:33.120]  「這是三個命令式的動詞來的」
[00:01:33.120 --> 00:01:36.920]  「實在我會用這三個命令式的動詞」
[00:01:36.920 --> 00:01:39.320]  「來做我所說的框架的」
[00:01:39.320 --> 00:01:42.760]  「為什麼耶穌好像假設了」
[00:01:42.760 --> 00:01:48.360]  「跟從祂有一個帶有負面意義的東西呢?」
[00:01:48.360 --> 00:01:49.560]  「剛才我也說了」
[00:01:49.560 --> 00:01:51.600]  「我們跟從主可能很開心的」
[00:01:51.600 --> 00:01:54.480]  「跟著侍奉主有什麼不開心的呢?」
[00:01:55.400 --> 00:01:58.200]  「從歷史的角度來看,我們是明白的」
[00:01:58.200 --> 00:02:01.080]  「因為從歷史的角度來看」
[00:02:01.080 --> 00:02:05.000]  「背起十字架是一個不歸之路」
[00:02:05.000 --> 00:02:07.800]  「誰背起十字架走到盡頭」
[00:02:07.800 --> 00:02:09.840]  「就是釘在十字架那裡」
[00:02:09.840 --> 00:02:11.760]  「是一個死刑來的」
[00:02:11.760 --> 00:02:13.320]  「既然是這樣的」
[00:02:13.320 --> 00:02:15.080]  「誰肯背起十字架」
[00:02:15.080 --> 00:02:18.640]  「一定要寫記才肯背起十字架的」
[00:02:18.640 --> 00:02:20.160]  「我們今天每個人」
[00:02:20.160 --> 00:02:23.920]  「都有一個所謂自然生存的本能」
