
[00:00:00.000 --> 00:00:04.280]  我們今晚會繼續播出埃及記
[00:00:04.280 --> 00:00:07.880]  開始了一個新的題目
[00:00:07.880 --> 00:00:11.280]  就是「撥翼與憐憫王」
[00:00:11.280 --> 00:00:12.840]  今晚跟大家分享的
[00:00:12.840 --> 00:00:15.160]  可能大家都很熟悉的記載
[00:00:15.160 --> 00:00:18.440]  大家可能又會聽過
[00:00:18.440 --> 00:00:20.000]  又會很熟悉的故事
[00:00:20.000 --> 00:00:22.480]  甚至看過他的電影也不一定
[00:00:22.480 --> 00:00:24.560]  因為我們今晚所說的
[00:00:24.560 --> 00:00:27.800]  就是拜金牛毒
[00:00:27.800 --> 00:00:32.160]  以色列人撥翼是一個很經典的例子
[00:00:32.160 --> 00:00:34.880]  就是這個金牛毒的故事
[00:00:34.880 --> 00:00:37.360]  埃及記就提到
[00:00:37.360 --> 00:00:43.160]  摩西他上山領受神的誡命和律法
[00:00:43.160 --> 00:00:46.280]  然後神就說要跟人立約
[00:00:46.280 --> 00:00:50.200]  以色列人要做神的子民
[00:00:50.200 --> 00:00:53.400]  然後耶和華要做祂的主
[00:00:53.400 --> 00:00:55.200]  然後摩西下山的時候
[00:00:55.200 --> 00:00:58.480]  在二十四章的時候,我想你們之前也有看過
[00:00:58.480 --> 00:01:00.280]  就是他下山的時候
[00:01:00.280 --> 00:01:03.240]  他就把耶和華的命令典章
[00:01:03.240 --> 00:01:05.080]  都跟百姓說了
[00:01:05.080 --> 00:01:07.600]  然後他們的回應就是
[00:01:07.600 --> 00:01:09.560]  耶和華所吩咐的
[00:01:09.560 --> 00:01:13.880]  我們都必續行
[00:01:13.880 --> 00:01:16.320]  而上一次埃及記
[00:01:16.320 --> 00:01:18.600]  不知道大家有沒有印象
[00:01:18.600 --> 00:01:21.000]  他是說關於建造會幕的
[00:01:21.000 --> 00:01:24.280]  因為之後摩西就上山了
[00:01:24.280 --> 00:01:27.320]  他上山之前就吩咐大家
[00:01:27.320 --> 00:01:29.000]  你要等我們回來
[00:01:29.000 --> 00:01:31.560]  因為他和約書亞會上去
[00:01:31.560 --> 00:01:36.400]  在山上神就跟摩西說
[00:01:36.400 --> 00:01:38.640]  怎樣去建造會幕
[00:01:38.640 --> 00:01:41.160]  因為神是很愛人
[00:01:41.160 --> 00:01:42.800]  很想跟人在一起
[00:01:42.800 --> 00:01:44.880]  要住在人的中間
[00:01:44.880 --> 00:01:46.800]  但是山下發生了什麼事呢
[00:01:46.800 --> 00:01:48.760]  就是我們今天所分享的
[00:01:48.760 --> 00:01:51.880]  阿倫就叫人去做一些金牛毒
[00:01:51.880 --> 00:01:56.520]  就在三十二章記載
[00:01:56.520 --> 00:01:58.560]  阿倫叫人做金牛毒
[00:01:58.560 --> 00:02:03.040]  並且向他們去獻祭
[00:02:03.040 --> 00:02:04.680]  然後大家一起說
[00:02:04.680 --> 00:02:08.920]  這個是令我們出埃及的神
[00:02:08.920 --> 00:02:10.760]  神知道他就發烈怒
[00:02:10.760 --> 00:02:12.680]  要滅絕他的百姓
[00:02:12.680 --> 00:02:16.240]  但是摩西他就懷疑
[00:02:16.240 --> 00:02:17.640]  摩西下山的時候
[00:02:17.640 --> 00:02:20.360]  他看到原來真的有隻牛毒在那裡
[00:02:20.360 --> 00:02:22.280]  然後到他發烈怒
[00:02:22.280 --> 00:02:26.320]  然後將神的法版摔碎了
[00:02:26.320 --> 00:02:29.200]  摩西就吩咐要燒了那隻牛
[00:02:29.200 --> 00:02:30.480]  要磨碎它
[00:02:30.480 --> 00:02:33.280]  然後還要將它沖到水裡
[00:02:33.280 --> 00:02:35.320]  要大家去喝了那些水
[00:02:35.320 --> 00:02:39.280]  要以色列人吃喝他們自己的罪
[00:02:39.280 --> 00:02:42.040]  摩西並且去問責阿倫
[00:02:42.040 --> 00:02:44.760]  而且去呼召人灰改
[00:02:44.760 --> 00:02:49.720]  當時被殺的百姓有三千個人
[00:02:49.720 --> 00:02:53.200]  摩西之後他再次為百姓
[00:02:53.200 --> 00:02:55.600]  去向神祷告
[00:02:55.600 --> 00:02:58.840]  最後挽回了神的心意
[00:02:58.840 --> 00:03:00.520]  神就有他的憐憫
[00:03:00.520 --> 00:03:02.040]  有他的赦免
[00:03:02.040 --> 00:03:03.760]  依然參見他的使者
[00:03:03.760 --> 00:03:05.400]  去帶領以色列人
[00:03:05.400 --> 00:03:08.560]  去行他抗邪的路
[00:03:08.560 --> 00:03:09.520]  看這個經文的時候
[00:03:09.520 --> 00:03:13.000]  我覺得其實大家都會很熟悉
[00:03:13.000 --> 00:03:15.520]  很多人都聽過這個故事
[00:03:15.520 --> 00:03:18.600]  我很想去思考的是什麼呢
[00:03:18.600 --> 00:03:22.120]  是這個帶金牛毒的記載
[00:03:22.120 --> 00:03:25.080]  其實在我們的生命裡面
