
[00:00:00.000 --> 00:00:05.000]  我們一起有一個祈禱
[00:00:05.000 --> 00:00:09.000]  我們的主,施恩的神
[00:00:09.000 --> 00:00:12.000]  祢將救恩賜給我們
[00:00:12.000 --> 00:00:16.000]  實在祢的救恩是賜給整個大地
[00:00:16.000 --> 00:00:19.000]  全人類的救恩
[00:00:19.000 --> 00:00:24.000]  當我們得到這個救恩,這個福音的時候
[00:00:24.000 --> 00:00:28.000]  我們同時也要領受這個福音的使命
[00:00:28.000 --> 00:00:32.000]  將福音透過我們傳開去
[00:00:32.000 --> 00:00:34.000]  求主幫助
[00:00:34.000 --> 00:00:37.000]  讓我們從祢的話語當中
[00:00:37.000 --> 00:00:40.000]  得到啟迪
[00:00:40.000 --> 00:00:43.000]  也得到一種督促
[00:00:43.000 --> 00:00:45.000]  得到力量
[00:00:45.000 --> 00:00:49.000]  成為一個福音的見證人
[00:00:49.000 --> 00:00:51.000]  祈禱奉耶穌基督的名
[00:00:51.000 --> 00:00:54.000]  誠心所願
[00:00:54.000 --> 00:00:59.000]  剛才讀了很長的經文,大家放心,我不會說很長的
[00:00:59.000 --> 00:01:05.000]  因為經文本身已經交代了相當我今天要講的內容
[00:01:05.000 --> 00:01:12.000]  讀的經文有兩段,一段是路加福音,一段是在聶王記上的
[00:01:12.000 --> 00:01:18.000]  首先我要講講以尼亞這位先知的背景
[00:01:18.000 --> 00:01:24.000]  大家拿著聖經,遣去舊約的最後一卷書
[00:01:24.000 --> 00:01:32.000]  就是新約前面,簡單來說就是馬來福音的前面,就是《馬拉基書》
[00:01:32.000 --> 00:01:45.000]  《馬拉基書》的第四章
[00:01:48.000 --> 00:01:51.000]  第五節
[00:01:51.000 --> 00:01:57.000]  漢吶,耶和華大兒可畏之日未到之前
[00:01:57.000 --> 00:02:02.000]  我要差遣以尼亞先知到你們那裡去
[00:02:02.000 --> 00:02:06.000]  他必使父親的心轉向兒女
[00:02:06.000 --> 00:02:09.000]  兒女的心轉向父親
[00:02:09.000 --> 00:02:12.000]  免得我來就坐這地
[00:02:12.000 --> 00:02:17.000]  這裡是舊約的結束句
[00:02:17.000 --> 00:02:28.000]  聖卷的舊約是在這句話那裡完卷的,結束的
[00:02:28.000 --> 00:02:39.000]  所以這句話所指涉的是一個非常重要的題目
[00:02:39.000 --> 00:02:48.000]  漢吶,我在耶和華大兒可畏的日子,即是上帝要審判要回來的時候
[00:02:48.000 --> 00:02:53.000]  先知以尼亞會再出現
[00:02:53.000 --> 00:02:57.000]  以色列人的期盼、祈禱
[00:02:57.000 --> 00:03:01.000]  而他的目的是什麼呢?
[00:03:01.000 --> 00:03:04.000]  他要叫人們回轉
[00:03:04.000 --> 00:03:15.000]  你就會稍稍感覺到,以尼亞其實是一個非常之不凡的人物
[00:03:15.000 --> 00:03:19.000]  很重要、很不凡的人物
[00:03:19.000 --> 00:03:24.000]  在新約的聖經裡面,有很多時候都提到他
[00:03:24.000 --> 00:03:28.000]  當施洗約翰出現的時候,人們就說這個會不會是呢?
[00:03:28.000 --> 00:03:32.000]  就是以尼亞,因為舊約的聖經有這樣的預告
[00:03:32.000 --> 00:03:35.000]  當耶穌問門徒的時候,人們說我是誰的時候
[00:03:35.000 --> 00:03:39.000]  門徒就猜了,有些人說你是以尼亞
[00:03:39.000 --> 00:03:46.000]  那個就是舊約裡面,馬拉基先知所預言、預告說要來的那個
[00:03:46.000 --> 00:03:52.000]  所以我想重複說,以尼亞在以色列人的心目當中
[00:03:52.000 --> 00:03:59.000]  是一個很崇高、很偉大的人物、很期盼的人物
[00:03:59.000 --> 00:04:06.000]  特別要說的是,在耶穌基督在山上變相的時候
