
[00:00:00.000 --> 00:00:02.000]  好,鄧姐妹,早晨。
[00:00:02.000 --> 00:00:05.000]  我跟大家分享一個小小的經歷。
[00:00:05.000 --> 00:00:08.000]  話說有一天,我去超市買車厘子。
[00:00:08.000 --> 00:00:11.000]  當我去付錢的時候,有一位太太就問我:
[00:00:11.000 --> 00:00:13.000]  「今天有車厘子賣嗎?」
[00:00:13.000 --> 00:00:17.000]  其實我當時是在跟人做什麼的,是在講電話的。
[00:00:17.000 --> 00:00:20.000]  然後我就很自然地回應了太太:
[00:00:20.000 --> 00:00:23.000]  「是啊!在門口那裡,在開箱,你快點去買吧!」
[00:00:23.000 --> 00:00:26.000]  「已經在排隊了,每個人都在等」。
[00:00:26.000 --> 00:00:28.000]  然後太太繼續問:
[00:00:28.000 --> 00:00:30.000]  「今天是多少錢一磅?」
[00:00:30.000 --> 00:00:31.000]  然後我就跟她說:
[00:00:31.000 --> 00:00:34.000]  「20元而已,你快點去吧,不買帽子了!」
[00:00:34.000 --> 00:00:38.000]  鄧姐妹,你記得我剛才在跟人做什麼的嗎?
[00:00:38.000 --> 00:00:40.000]  是在講電話的,對不對?
[00:00:40.000 --> 00:00:44.000]  於是電話裡的人,完全聽到我所說的話。
[00:00:44.000 --> 00:00:46.000]  然後她就這樣回應我:
[00:00:46.000 --> 00:00:49.000]  「嘩!你什麼時候變成了太太的口吻?」
[00:00:49.000 --> 00:00:50.000]  這樣回應我。
[00:00:50.000 --> 00:00:52.000]  接著,一星期還沒過,
[00:00:52.000 --> 00:00:56.000]  話說有一天要跟那些婦女筆賞。
[00:00:56.000 --> 00:00:58.000]  接著我就要問路了,
[00:00:58.000 --> 00:01:00.000]  接著要搭地鐵,問那些弟兄姊妹,
[00:01:00.000 --> 00:01:02.000]  要搭地鐵要轉什麼線?
[00:01:02.000 --> 00:01:04.000]  接著要去什麼出口去出閘?
[00:01:04.000 --> 00:01:10.000]  你知道,婦女們買東西總會有一輛小車的,對不對?
[00:01:10.000 --> 00:01:12.000]  為什麼不承認呢?
[00:01:12.000 --> 00:01:15.000]  其實我也不例外,
[00:01:15.000 --> 00:01:18.000]  我有一輛奔馳在家裡,知道嗎?
[00:01:18.000 --> 00:01:20.000]  我總是拿著一輛奔馳出門的。
[00:01:20.000 --> 00:01:22.000]  接著又有弟兄姊妹跟我說:
