
[00:00:00.000 --> 00:00:02.100]  我們的主題是
[00:00:02.100 --> 00:00:04.800]  基督之寶靜在舊約
[00:00:04.800 --> 00:00:08.100]  我們讀的現在都是舊約
[00:00:08.100 --> 00:00:11.800]  舊約是一個影子指向新約的實體
[00:00:11.800 --> 00:00:13.900]  所以我們讀舊約跟讀新約
[00:00:13.900 --> 00:00:16.500]  其實有一點基本上的不一樣
[00:00:16.500 --> 00:00:19.100]  我們不是讀一些預言的故事
[00:00:19.100 --> 00:00:21.900]  但是我們也不可以把這個舊約的故事
[00:00:21.900 --> 00:00:24.400]  直接的應用在我們的身上
[00:00:24.400 --> 00:00:26.300]  相反我們要思想
[00:00:26.300 --> 00:00:29.800]  它這個故事怎麼樣引我們到主耶穌基督
[00:00:29.800 --> 00:00:31.300]  在主耶穌基督裏面
[00:00:31.300 --> 00:00:34.900]  我們再應用到我們自己的身上
[00:00:34.900 --> 00:00:39.200]  好 如果你有跟着我們念聖經的話
[00:00:39.200 --> 00:00:45.100]  那今天我們應該是念《獵王紀上》第十九二十章
[00:00:45.100 --> 00:00:49.400]  明天就繼續二十一二十章《獵王紀上》
[00:00:49.400 --> 00:00:51.300]  今天我會預備
[00:00:51.300 --> 00:00:54.600]  我爲大家預備了一個
[00:00:54.600 --> 00:00:57.800]  加油站是以麗莎的護照
[00:00:57.800 --> 00:01:02.800]  因爲就是在《獵王紀上》第十九章
[00:01:02.800 --> 00:01:05.400]  我們已經進入歷史的部分
[00:01:05.400 --> 00:01:07.900]  歷史的部分有它的一定的挑戰
[00:01:07.900 --> 00:01:10.700]  其實當你讀舊約聖經的時候
[00:01:10.700 --> 00:01:14.700]  如果你不明白舊約聖經的歷史背景
[00:01:14.700 --> 00:01:17.400]  其實很容易就迷失方向
[00:01:17.400 --> 00:01:19.000]  所以我想今天開始的時候
[00:01:19.000 --> 00:01:21.500]  我想跟大家一起去看一下
[00:01:21.500 --> 00:01:24.900]  舊約的一些它的歷史大綱
[00:01:24.900 --> 00:01:27.400]  其實不難
[00:01:27.400 --> 00:01:31.600]  只是我們沒有機會很有系統地去學習
[00:01:31.600 --> 00:01:36.800]  其實你一明白了這個歷史架構
[00:01:36.800 --> 00:01:41.800]  其實對你讀舊約聖經是很有幫助
[00:01:41.800 --> 00:01:43.800]  以色列的歷史從哪裏開始?
[00:01:43.800 --> 00:01:46.800]  我們可以說它的歷史從亞伯拉罕開始
[00:01:46.800 --> 00:01:48.200]  亞伯拉罕的護照
[00:01:48.200 --> 00:01:51.600]  最近我們在教會的聖誕節的時候
[00:01:51.600 --> 00:01:54.800]  我講了兩篇關於亞伯拉罕的
[00:01:54.800 --> 00:01:59.000]  一個是他的創世紀第十二章的護照
[00:01:59.000 --> 00:02:02.500]  另外一個是他二十二章他的大考
[00:02:02.500 --> 00:02:06.300]  他獻上他的兒子以沙
[00:02:06.300 --> 00:02:08.100]  如果你沒有機會還沒有聽過
[00:02:08.100 --> 00:02:11.500]  你可以考慮去聆聽
[00:02:11.500 --> 00:02:13.400]  或者是你聽不懂外文化
[00:02:13.400 --> 00:02:17.400]  也會後來我們也會有這個文字版
[00:02:17.400 --> 00:02:18.800]  你都可以去讀
[00:02:18.800 --> 00:02:22.600]  然後你就明白這個舊約跟新約的關係
[00:02:22.600 --> 00:02:24.900]  以色列人的歷史 舊約的歷史
[00:02:24.900 --> 00:02:28.400]  我們可以這樣說從亞伯拉罕開始
[00:02:28.400 --> 00:02:31.400]  亞伯拉罕以沙 雅各
[00:02:31.400 --> 00:02:38.100]  後來在約瑟的時候去了埃及
[00:02:38.100 --> 00:02:41.200]  但是約瑟自己在創世紀的結局的時候
[00:02:41.200 --> 00:02:45.500]  已經說我們一定會出埃及
[00:02:45.500 --> 00:02:51.200]  大概到摩西的時候公元前1440年
[00:02:51.200 --> 00:02:54.600]  這當然每一個學者有很多不同的看法
[00:02:54.600 --> 00:02:56.600]  這只是一個大概的數目
[00:02:56.600 --> 00:03:02.400]  終於上帝通過摩西帶以色列人出埃及
[00:03:02.400 --> 00:03:07.200]  出埃及進迦南本來不是一個很久的事情
[00:03:07.200 --> 00:03:09.200]  可能幾個月就已經可以
[00:03:09.200 --> 00:03:11.700]  但是因爲以色列人的叛逆
[00:03:11.700 --> 00:03:12.700]  他們的罪
[00:03:12.700 --> 00:03:17.300]  於是結果他們在曠野四十年的叛逆
[00:03:17.300 --> 00:03:20.000]  四十年上帝廢除了第一代
[00:03:20.000 --> 00:03:25.000]  以至第二代纔有機會進入迦南之地
[00:03:25.000 --> 00:03:30.000]  迦南地是約瑟雅記跟十世紀的記載
[00:03:30.000 --> 00:03:32.000]  很可惜到十世紀的時候
[00:03:32.000 --> 00:03:35.800]  你發覺是一個非常混亂的時代
[00:03:35.800 --> 00:03:38.800]  以色列人做自己眼中看爲對
[00:03:38.800 --> 00:03:41.300]  上帝眼中看爲惡的事情
[00:03:41.300 --> 00:03:44.500]  於是他們呼喊我們需要一個王
[00:03:44.500 --> 00:03:47.500]  我們需要一個好的君王來統治我們
[00:03:47.500 --> 00:03:51.000]  於是帶我們進入以色列人的君王時代
[00:03:51.000 --> 00:03:54.500]  君王時代裏面第一個君王是掃羅
[00:03:54.500 --> 00:03:58.000]  不是一個好王帝很快就被上帝所廢除
[00:03:58.000 --> 00:03:59.500]  第二個君王是大魏
[00:03:59.500 --> 00:04:01.500]  是上帝所揀選的皇帝
[00:04:01.500 --> 00:04:05.000]  但是也不是一個完美的皇帝
[00:04:05.000 --> 00:04:07.500]  如果你記得我們前一段時間
[00:04:07.500 --> 00:04:10.500]  在讀薩木爾記的時候
[00:04:10.500 --> 00:04:15.500]  你會看到薩木爾記講了兩個君王的上升與衰落
[00:04:15.500 --> 00:04:17.500]  一個是掃羅
[00:04:17.500 --> 00:04:21.500]  後來你連大魏也有他的上升與衰落
[00:04:21.500 --> 00:04:24.000]  到你進入獵王紀
[00:04:24.000 --> 00:04:25.500]  就是我們現在的時候
[00:04:25.500 --> 00:04:27.000]  所羅門纔出來
[00:04:27.000 --> 00:04:32.500]  所羅門也是一個上升衰落的一個pattern
[00:04:32.500 --> 00:04:36.500]  我們在上個禮拜的加油站裏面
[00:04:36.500 --> 00:04:40.000]  我特地提到所羅門的這個衰落
[00:04:40.000 --> 00:04:44.500]  他又不是最終的大魏之子那個英雄
[00:04:44.500 --> 00:04:46.000]  所羅門王的罪
[00:04:46.000 --> 00:04:50.500]  不單只是個人影響到整個國家
[00:04:50.500 --> 00:04:54.500]  他因爲他愛外邦的女子
[00:04:54.500 --> 00:05:00.500]  因爲他去敬拜外邦人的偶像
[00:05:00.500 --> 00:05:03.000]  所以以至以色列人墮落
[00:05:03.000 --> 00:05:05.000]  坐在罪的裏面
[00:05:05.000 --> 00:05:07.000]  因爲這個罪的緣故
[00:05:07.000 --> 00:05:10.500]  上帝把這個以色列人的國一分爲二
[00:05:10.500 --> 00:05:13.000]  讓他們成爲南國北國
[00:05:13.000 --> 00:05:15.500]  如果你讀過一些舊約的歷史
[00:05:15.500 --> 00:05:18.000]  你知道南國叫做猶大國
[00:05:18.000 --> 00:05:20.000]  主要是大魏的支派
[00:05:20.000 --> 00:05:23.000]  然後北國是以色列
[00:05:23.000 --> 00:05:27.000]  然後北國基本上是一個很腐敗
[00:05:27.000 --> 00:05:28.000]  很墮落
[00:05:28.000 --> 00:05:32.000]  拜假神的一個地方
[00:05:32.000 --> 00:05:33.000]  因爲這樣的緣故
[00:05:33.000 --> 00:05:38.500]  上帝讓亞蘇這個國家來把他們滅掉
