
[00:00:00.000 --> 00:00:04.360]  今天要講《士師記》第十章和第十一章的頭
[00:00:04.360 --> 00:00:09.640]  經常有人說我講到沒人記得我講什麼
[00:00:09.640 --> 00:00:11.640]  所以問問你們
[00:00:11.640 --> 00:00:16.320]  究竟《士師記》裡面一共有多少個士師
[00:00:16.320 --> 00:00:17.320]  記不記得?
[00:00:17.320 --> 00:00:21.840]  一共是十二個士師
[00:00:21.840 --> 00:00:25.540]  又記不記得我講了多少個士師?
[00:00:25.540 --> 00:00:27.880]  講了五個
[00:00:27.880 --> 00:00:32.440]  俄陀列、爾弗山家
[00:00:32.440 --> 00:00:35.180]  他們用的武器非常特別
[00:00:35.180 --> 00:00:38.260]  所以我叫他們做神外用的兵器
[00:00:38.260 --> 00:00:44.600]  還有第四位是呂士斯、底波拉
[00:00:44.600 --> 00:00:46.880]  第五位是基甸
[00:00:46.880 --> 00:00:49.040]  我講了基甸很多的故事
[00:00:49.040 --> 00:00:51.040]  所以大家應該記得他
[00:00:51.040 --> 00:00:56.920]  今天要跟大家講第六個、第七個和第八個
[00:00:56.920 --> 00:01:00.360]  第八個耶佛巴的故事我講不完
[00:01:00.360 --> 00:01:01.800]  我要下次再講
[00:01:01.800 --> 00:01:03.520]  但是今天跟大家講的是
[00:01:03.520 --> 00:01:06.920]  陀拉、艾爾、耶佛巴
[00:01:06.920 --> 00:01:12.480]  《聖經》裡面有很多圣德瑞拉、灰姑娘的故事
[00:01:12.480 --> 00:01:16.960]  好像美國的林肯總統
[00:01:16.960 --> 00:01:22.280]  由一個窮小子搖身一變成為白宮的主人
[00:01:22.280 --> 00:01:25.360]  在《聖經》裡面也有很多的故事
[00:01:25.360 --> 00:01:31.720]  一開始有些人是被人藐視、被人厭棄
[00:01:31.720 --> 00:01:36.040]  但是後來得到權勢、得到榮耀
[00:01:36.040 --> 00:01:39.880]  就好像《聖經》裡面的弱失
[00:01:39.880 --> 00:01:42.560]  他是被困在囚牢
[00:01:42.560 --> 00:01:44.800]  甚至是一個死囚
[00:01:44.800 --> 00:01:46.560]  但是搖身一變
[00:01:46.560 --> 00:01:49.680]  變成了一人之下、萬人之上
[00:01:49.680 --> 00:01:53.120]  變成了埃及的宰相
[00:01:53.120 --> 00:01:58.960]  很多人都很喜歡這些陀拉、灰姑娘的故事
[00:01:58.960 --> 00:02:01.480]  希望自己能夠一樣
[00:02:01.480 --> 00:02:04.600]  有一天飛上枝頭變成鳳凰
[00:02:04.600 --> 00:02:09.680]  突然間有錢有權有勢
[00:02:09.680 --> 00:02:14.120]  今天的耶佛巴這個故事就是這樣的一個故事
[00:02:14.120 --> 00:02:17.600]  耶佛巴是被人藐視、被人厭棄
[00:02:17.600 --> 00:02:21.960]  但是後來成為了以色列人的民族英雄
[00:02:21.960 --> 00:02:27.080]  帶領以色列人勝過亞門人、勝過斐理士人
[00:02:27.080 --> 00:02:31.080]  其實耶佛巴就是一個耶穌基督的御像
[00:02:31.080 --> 00:02:32.800]  耶穌基督的影子
[00:02:32.800 --> 00:02:34.880]  因為耶穌基督也是
[00:02:34.880 --> 00:02:38.720]  第一次來臨被人歧視、藐視
[00:02:38.720 --> 00:02:40.760]  但是他將會再次來臨
[00:02:40.760 --> 00:02:45.240]  得到他的榮耀、得到他的尊貴
[00:02:45.240 --> 00:02:52.120]  你說陀拉和艾爾,聖經裡沒有很多的經文
[00:02:52.120 --> 00:02:54.040]  但是我今天會讓大家看到
[00:02:54.040 --> 00:02:57.200]  就算陀拉和艾爾的身上
[00:02:57.200 --> 00:03:00.880]  我們也能夠看到耶穌基督的影子
[00:03:00.880 --> 00:03:01.960]  你說真的?
[00:03:01.960 --> 00:03:04.680]  是的,我們一起來看看
[00:03:04.680 --> 00:03:08.760]  其實我們看到以色列人在三方面
[00:03:08.760 --> 00:03:13.320]  他們在屬靈上出現了很大的問題
[00:03:13.320 --> 00:03:15.120]  第一個問題是什麼?
