
[00:00:00.000 --> 00:00:08.000]  今天跟大家思考的題目叫做《心動不虐行動》
[00:00:08.000 --> 00:00:10.000]  是來自哪一卷書?
[00:00:10.000 --> 00:00:12.000]  是《耶利米書》
[00:00:12.000 --> 00:00:14.000]  《耶利米書》熟不熟呢?
[00:00:14.000 --> 00:00:16.000]  就問大家有多少章
[00:00:16.000 --> 00:00:18.000]  一年有多少個禮拜?
[00:00:18.000 --> 00:00:20.000]  52個禮拜
[00:00:20.000 --> 00:00:22.000]  對,52個禮拜
[00:00:22.000 --> 00:00:24.000]  每天提一章就剛剛好一年
[00:00:24.000 --> 00:00:26.000]  不是每天,是每個星期提一章
[00:00:26.000 --> 00:00:28.000]  所以它有總共多少章?
[00:00:28.000 --> 00:00:30.000]  有多少章?52章
[00:00:30.000 --> 00:00:32.000]  52章《耶利米書》
[00:00:32.000 --> 00:00:34.000]  今刻我就和大家去選
[00:00:34.000 --> 00:00:36.000]  裡面的一小段來講
[00:00:36.000 --> 00:00:38.000]  這小段是什麼呢?
[00:00:38.000 --> 00:00:40.000]  要有一個叫做"Whole Picture"
[00:00:40.000 --> 00:00:42.000]  剛才我們一起慶拜
[00:00:42.000 --> 00:00:44.000]  在慶拜裡面
[00:00:44.000 --> 00:00:46.000]  這個房間關了燈
[00:00:46.000 --> 00:00:48.000]  除了哪裡有光?
[00:00:48.000 --> 00:00:50.000]  台上
[00:00:50.000 --> 00:00:52.000]  在一眾的黑暗裡面
[00:00:52.000 --> 00:00:54.000]  台上有光
[00:00:54.000 --> 00:00:56.000]  其實就是焦點所在
[00:00:56.000 --> 00:00:58.000]  大家在燈光底下知道
[00:00:58.000 --> 00:01:00.000]  我們的焦點是慶拜神
[00:01:00.000 --> 00:01:02.000]  同樣我用這個蠟燭來形容
[00:01:02.000 --> 00:01:04.000]  今天要講的道
[00:01:04.000 --> 00:01:06.000]  要和大家去看的經文
[00:01:06.000 --> 00:01:08.000]  就好像蠟燭那樣
[00:01:08.000 --> 00:01:10.000]  那是什麼意思呢?
[00:01:10.000 --> 00:01:12.000]  就是整個52章的《耶利米書》
[00:01:12.000 --> 00:01:14.000]  其實比較黑暗的
[00:01:14.000 --> 00:01:16.000]  很灰的
[00:01:16.000 --> 00:01:18.000]  它在前面又灰
[00:01:18.000 --> 00:01:20.000]  我今天和大家看的那一段蠟燭
[00:01:20.000 --> 00:01:22.000]  其實介乎30到33章
[00:01:22.000 --> 00:01:24.000]  總共有多少章?
[00:01:24.000 --> 00:01:26.000]  4章
[00:01:26.000 --> 00:01:28.000]  這4章的前面
[00:01:28.000 --> 00:01:30.000]  是黑暗的
[00:01:30.000 --> 00:01:32.000]  說什麼呢?
[00:01:32.000 --> 00:01:34.000]  就是耶利米一次兩次三次
[00:01:34.000 --> 00:01:36.000]  不斷去責備他們
[00:01:36.000 --> 00:01:38.000]  說他們離棄神
[00:01:38.000 --> 00:01:40.000]  一次兩次呼籲他們回來
[00:01:40.000 --> 00:01:42.000]  甚至跟神說哭得
[00:01:42.000 --> 00:01:44.000]  我的頭好像一個泉源
[00:01:44.000 --> 00:01:46.000]  我的頭好像一個泉源
[00:01:46.000 --> 00:01:48.000]  我的頭好像一個泉源
[00:01:48.000 --> 00:01:50.000]  我的頭好像一個泉源
[00:01:50.000 --> 00:01:52.000]  我的眼淚就像泉水一樣
[00:01:52.000 --> 00:01:54.000]  為自己的同胞哭
[00:01:54.000 --> 00:01:56.000]  因為不斷在這一個蠟燭的前面
[00:01:56.000 --> 00:01:58.000]  黑暗的那些
[00:01:58.000 --> 00:02:00.000]  就說自己的百姓犯的離棄神的罪
[00:02:00.000 --> 00:02:02.000]  即將會受審
[00:02:02.000 --> 00:02:04.000]  甚至說到會被擄
[00:02:04.000 --> 00:02:06.000]  多少年?有沒有印象?
[00:02:06.000 --> 00:02:08.000]  70年
[00:02:08.000 --> 00:02:10.000]  在前面說這些東西
[00:02:10.000 --> 00:02:12.000]  後面呢?也是的
[00:02:12.000 --> 00:02:14.000]  後面就去責備
[00:02:14.000 --> 00:02:16.000]  說那些君王
[00:02:16.000 --> 00:02:18.000]  說那些百姓
[00:02:18.000 --> 00:02:20.000]  你們要迴轉悔改
[00:02:20.000 --> 00:02:22.000]  就是死的
[00:02:22.000 --> 00:02:24.000]  滅國的
[00:02:24.000 --> 00:02:26.000]  後面這段大概就是亡國之前
[00:02:26.000 --> 00:02:28.000]  一年左右發生的事
[00:02:28.000 --> 00:02:30.000]  在這個
[00:02:30.000 --> 00:02:32.000]  這麼黑暗的
[00:02:32.000 --> 00:02:34.000]  經文裏面
[00:02:34.000 --> 00:02:36.000]  我們稱之為亡國先知
[00:02:36.000 --> 00:02:38.000]  有沒有印象?
[00:02:38.000 --> 00:02:40.000]  因為在這麼多先知裏面
[00:02:40.000 --> 00:02:42.000]  是他親自說
[00:02:42.000 --> 00:02:44.000]  會的!發生了!發生了!
[00:02:44.000 --> 00:02:46.000]  然後到真正見證
[00:02:46.000 --> 00:02:48.000]  就好像最近
[00:02:48.000 --> 00:02:50.000]  我不太喜歡回鄉下日本
[00:02:50.000 --> 00:02:52.000]  為什麼?因為即將
[00:02:52.000 --> 00:02:54.000]  7月5日
[00:02:54.000 --> 00:02:56.000]  「嘩」嘛!
[00:02:56.000 --> 00:02:58.000]  有地震嘛!
[00:02:58.000 --> 00:03:00.000]  我們就在地震前
[00:03:00.000 --> 00:03:02.000]  和地震後這段期間
[00:03:02.000 --> 00:03:04.000]  我們會拉長一點
[00:03:04.000 --> 00:03:06.000]  我們會對這段
[00:03:06.000 --> 00:03:08.000]  界線去日本之前
[00:03:08.000 --> 00:03:10.000]  經常都去啦!可能過了這段時間之後
[00:03:10.000 --> 00:03:12.000]  無奈我們又會
[00:03:12.000 --> 00:03:14.000]  又回鄉下日本
[00:03:14.000 --> 00:03:16.000]  只是在《耶利米》這本書裏面
[00:03:16.000 --> 00:03:18.000]  也是這樣
[00:03:18.000 --> 00:03:20.000]  中間這段30到33章
[00:03:20.000 --> 00:03:22.000]  就好像一支蠟燭
[00:03:22.000 --> 00:03:24.000]  突然間變了顏色
[00:03:24.000 --> 00:03:26.000]  前面那些是黑漆漆
[00:03:26.000 --> 00:03:28.000]  整個房間都黑漆漆
[00:03:28.000 --> 00:03:30.000]  突然間在房間
[00:03:30.000 --> 00:03:32.000]  在52章中間30到33章
[00:03:32.000 --> 00:03:34.000]  4章裏面就有一支蠟燭
[00:03:34.000 --> 00:03:36.000]  我知什麼是蠟燭呢?
[00:03:36.000 --> 00:03:38.000]  我不是說過的
[00:03:38.000 --> 00:03:40.000]  蠟燭的前面不是說
[00:03:40.000 --> 00:03:42.000]  你們要悔改呀!要滅亡呀!
[00:03:42.000 --> 00:03:44.000]  突然間
[00:03:44.000 --> 00:03:46.000]  到30章一開頭
[00:03:46.000 --> 00:03:48.000]  就無話可說你會回來了
[00:03:48.000 --> 00:03:50.000]  你會回歸,是這樣說話
[00:03:50.000 --> 00:03:52.000]  然後裏面又再說
[00:03:52.000 --> 00:03:54.000]  我以永遠的慈愛愛你
[00:03:54.000 --> 00:03:56.000]  前面還在罵
[00:03:56.000 --> 00:03:58.000]  這裏就轉軚了,轉通
[00:03:58.000 --> 00:04:00.000]  還說你是我的愛子
[00:04:00.000 --> 00:04:02.000]  哇!說這些話
[00:04:02.000 --> 00:04:04.000]  轉通,然後
[00:04:04.000 --> 00:04:06.000]  去到33章打後又去到
[00:04:06.000 --> 00:04:08.000]  那個通是黑漆漆的,罵你
[00:04:08.000 --> 00:04:10.000]  那些來的
[00:04:10.000 --> 00:04:12.000]  他是一個親自見證著
[00:04:12.000 --> 00:04:14.000]  國家由他把口酸告滅亡
[00:04:14.000 --> 00:04:16.000]  到
[00:04:16.000 --> 00:04:18.000]  真正經歷滅亡的一個先知
[00:04:18.000 --> 00:04:20.000]  所以他是一個什麼先知畫?
[00:04:20.000 --> 00:04:22.000]  亡國先知,還有他有另一個
[00:04:22.000 --> 00:04:24.000]  稱號的,有本書都用這個名字
[00:04:24.000 --> 00:04:26.000]  叫做淚眼先知耶利米
[00:04:26.000 --> 00:04:28.000]  因為他真的
[00:04:28.000 --> 00:04:44.000]  寫在裏面哭,哭到為自己國家即將要敗亡
[00:04:44.000 --> 00:04:46.000]  他人生侍奉了40年
[00:04:46.000 --> 00:04:48.000]  就見證國家
[00:04:48.000 --> 00:04:50.000]  被擄了,破敗了
[00:04:50.000 --> 00:04:52.000]  整場被火焚燒
[00:04:52.000 --> 00:04:54.000]  那個聖殿所有的金都刨下來
[00:04:54.000 --> 00:04:56.000]  毀壞了
[00:04:56.000 --> 00:04:58.000]  他是這樣的一個先知
[00:04:58.000 --> 00:05:00.000]  跟你說
[00:05:00.000 --> 00:05:02.000]  最後見證要發生
[00:05:02.000 --> 00:05:04.000]  對他來說有多痛?
[00:05:04.000 --> 00:05:06.000]  40年,由他開始侍奉
[00:05:06.000 --> 00:05:08.000]  到親自見證,死了40年
[00:05:08.000 --> 00:05:10.000]  我自己今年
[00:05:10.000 --> 00:05:12.000]  侍奉了20年
[00:05:12.000 --> 00:05:14.000]  已經跟同學們慶祝了
[00:05:14.000 --> 00:05:16.000]  20年的畢業
[00:05:16.000 --> 00:05:18.000]  我心想
[00:05:18.000 --> 00:05:20.000]  如果我侍奉都好像是
[00:05:20.000 --> 00:05:22.000]  由起始
[00:05:22.000 --> 00:05:24.000]  到末了都沒有人聽
[00:05:24.000 --> 00:05:26.000]  其實在開初你回去看看
[00:05:26.000 --> 00:05:28.000]  第一章除了說
